invoice_id,customer_id,invoice_date,due_date,invoice_amount,currency,description,invoice_status
INV0050,CUST0437,2026-03-08,2026-03-23,57481.25,INR,SaaS Subscription,Pending
INV0051,CUST0163,2026-06-13,2026-06-28,135412.14,INR,Data Analytics Module,Paid
INV0052,CUST0008,2026-04-02,2026-05-02,81202.44,INR,Digital Marketing Campaign,Paid
INV0053,CUST0222,2026-03-08,2026-04-07,22295.29,INR,SaaS Subscription,Paid
INV0054,CUST0347,2026-06-06,2026-07-21,92971.23,INR,Cloud Infrastructure Hosting,Paid
INV0055,CUST0226,2026-05-24,2026-07-08,190671.09,INR,IT Consulting Services,Paid
INV0056,CUST0025,2026-01-18,2026-02-17,13251.73,INR,IT Consulting Services,Paid
INV0057,CUST0494,2026-04-29,2026-06-13,33757.57,INR,Cybersecurity Audit,Paid
INV0058,CUST0496,2026-01-20,2026-02-04,40204.74,INR,API Integration Fee,Paid
INV0059,CUST0179,2026-02-05,2026-02-20,126841.45,INR,Logistics & Freight Services,Paid
INV0060,CUST0305,2026-02-04,2026-03-21,68899.66,INR,Digital Marketing Campaign,Paid
INV0061,CUST0202,2026-01-27,2026-02-11,129725.17,INR,SaaS Subscription,Paid
INV0062,CUST0047,2026-02-21,2026-04-07,1411.56,INR,Data Analytics Module,Paid
INV0063,CUST0382,2026-06-07,2026-06-22,139076.6,INR,Logistics & Freight Services,Paid
INV0064,CUST0276,2026-01-21,2026-03-07,3414.54,INR,Data Analytics Module,Paid
INV0065,CUST0136,2026-01-31,2026-02-15,2402.03,INR,Logistics & Freight Services,Paid
INV0066,CUST0360,2026-06-04,2026-07-04,178538.03,INR,Logistics & Freight Services,Paid
INV0067,CUST0366,2026-03-03,2026-04-17,19807.39,INR,Data Analytics Module,Paid
INV0068,CUST0397,2026-02-27,2026-03-29,50006.63,INR,Digital Marketing Campaign,Paid
INV0069,CUST0456,2026-05-15,2026-06-29,30032.98,INR,Enterprise License Fee,Pending
INV0070,CUST0136,2026-06-07,2026-07-22,75070.87,INR,API Integration Fee,Paid
INV0071,CUST0005,2026-02-15,2026-03-17,4834.33,INR,SaaS Subscription,Paid
INV0072,CUST0068,2026-01-05,2026-01-20,2702.94,INR,Enterprise License Fee,Paid
INV0073,CUST0017,2026-02-21,2026-03-08,1903.02,INR,Cloud Infrastructure Hosting,Paid
INV0074,CUST0043,2026-01-21,2026-02-05,38215.48,INR,Digital Marketing Campaign,Paid
INV0075,CUST0387,2026-04-24,2026-05-09,14850.9,INR,Data Analytics Module,Paid
INV0076,CUST0398,2026-06-04,2026-07-04,22310.14,INR,Enterprise License Fee,Paid
INV0077,CUST0250,2026-06-25,2026-07-10,2804.91,INR,Data Analytics Module,Paid
INV0078,CUST0279,2026-03-22,2026-04-06,119573.13,INR,Logistics & Freight Services,Paid
INV0079,CUST0281,2026-01-24,2026-02-08,14103.78,INR,Cybersecurity Audit,Paid
INV0080,CUST0440,2026-06-06,2026-06-21,64327.38,INR,IT Consulting Services,Paid
INV0081,CUST0115,2026-04-30,2026-06-14,62548.67,INR,API Integration Fee,Paid
INV0082,CUST0063,2026-03-22,2026-04-06,15719.35,INR,Cybersecurity Audit,Paid
INV0083,CUST0203,2026-06-27,2026-07-12,3393.32,INR,Cybersecurity Audit,Paid
INV0084,CUST0086,2026-02-02,2026-02-17,62932.36,INR,Data Analytics Module,Paid
INV0085,CUST0441,2026-03-24,2026-04-08,795.78,INR,Cloud Infrastructure Hosting,Paid
INV0086,CUST0391,2026-03-11,2026-03-26,1559.55,INR,Cloud Infrastructure Hosting,Paid
INV0087,CUST0199,2026-01-20,2026-02-04,1375.02,INR,SaaS Subscription,Paid
INV0088,CUST0140,2026-05-17,2026-06-01,10012.54,INR,API Integration Fee,Paid
INV0089,CUST0326,2026-01-17,2026-02-01,7641.58,INR,Enterprise License Fee,Paid
INV0090,CUST0024,2026-03-16,2026-04-30,34425.9,INR,Data Analytics Module,Paid
INV0091,CUST0362,2026-02-10,2026-03-27,117251.06,INR,Data Analytics Module,Paid
INV0092,CUST0371,2026-01-14,2026-02-28,123740.45,INR,Cybersecurity Audit,Paid
INV0093,CUST0261,2026-04-30,2026-06-14,3207.22,INR,Digital Marketing Campaign,Paid
INV0094,CUST0236,2026-02-15,2026-03-02,190182.21,INR,Cybersecurity Audit,Paid
INV0095,CUST0210,2026-03-19,2026-05-03,16244.75,INR,SaaS Subscription,Paid
INV0096,CUST0372,2026-06-07,2026-07-07,142115.1,INR,API Integration Fee,Paid
INV0097,CUST0437,2026-05-07,2026-05-22,17569.24,INR,Data Analytics Module,Paid
INV0098,CUST0195,2026-02-09,2026-03-11,71617.48,INR,IT Consulting Services,Paid
INV0099,CUST0243,2026-04-23,2026-05-23,6693.63,INR,Data Analytics Module,Paid
INV0100,CUST0273,2026-06-01,2026-07-16,95268.72,INR,Annual Maintenance Contract,Paid
INV0101,CUST0113,2026-05-15,2026-05-30,112773.91,INR,IT Consulting Services,Paid
INV0102,CUST0093,2026-01-15,2026-02-14,11725.04,INR,Enterprise License Fee,Paid
INV0103,CUST0441,2026-01-09,2026-02-23,2422.4,INR,Cybersecurity Audit,Paid
INV0104,CUST0430,2026-06-12,2026-07-27,75463.93,INR,API Integration Fee,Paid
INV0105,CUST0411,2026-03-02,2026-03-17,4098.29,INR,Annual Maintenance Contract,Paid
INV0106,CUST0037,2026-01-16,2026-01-31,70744.74,INR,Logistics & Freight Services,Paid
INV0107,CUST0381,2026-06-21,2026-07-06,17700.81,INR,Annual Maintenance Contract,Paid
INV0108,CUST0329,2026-05-10,2026-06-24,19753.16,INR,Data Analytics Module,Pending
INV0109,CUST0196,2026-06-15,2026-07-30,71978.75,INR,Digital Marketing Campaign,Paid
INV0110,CUST0137,2026-06-05,2026-07-20,182011.76,INR,IT Consulting Services,Paid
INV0111,CUST0039,2026-05-14,2026-06-13,10234.06,INR,SaaS Subscription,Paid
INV0112,CUST0333,2026-04-09,2026-05-24,18158.5,INR,Digital Marketing Campaign,Paid
INV0113,CUST0236,2026-04-26,2026-05-26,142304.98,INR,Digital Marketing Campaign,Paid
INV0114,CUST0465,2026-03-01,2026-04-15,78881.25,INR,Enterprise License Fee,Paid
INV0115,CUST0207,2026-01-29,2026-03-15,772.26,INR,Cybersecurity Audit,Paid
INV0116,CUST0088,2026-02-07,2026-02-22,55135.07,INR,Logistics & Freight Services,Paid
INV0117,CUST0033,2026-05-05,2026-06-04,148988.17,INR,API Integration Fee,Paid
INV0118,CUST0211,2026-04-20,2026-05-05,12188.78,INR,API Integration Fee,Paid
INV0119,CUST0201,2026-02-17,2026-03-19,50045.43,INR,SaaS Subscription,Paid
INV0120,CUST0291,2026-01-23,2026-02-22,172033.46,INR,Data Analytics Module,Paid
INV0121,CUST0409,2026-03-28,2026-05-12,93334.99,INR,API Integration Fee,Paid
INV0122,CUST0046,2026-05-04,2026-06-03,1914.57,INR,Data Analytics Module,Paid
INV0123,CUST0208,2026-05-04,2026-06-18,14659.58,INR,Logistics & Freight Services,Paid
INV0124,CUST0059,2026-02-27,2026-03-14,73099.46,INR,Digital Marketing Campaign,Paid
INV0125,CUST0425,2026-02-01,2026-03-03,8937.17,INR,Annual Maintenance Contract,Paid
INV0126,CUST0038,2026-03-25,2026-05-09,8386.34,INR,IT Consulting Services,Paid
INV0127,CUST0041,2026-06-23,2026-08-07,34895.47,INR,IT Consulting Services,Paid
INV0128,CUST0365,2026-04-03,2026-04-18,149642.71,INR,API Integration Fee,Paid
INV0129,CUST0019,2026-04-26,2026-05-11,195580.93,INR,API Integration Fee,Paid
INV0130,CUST0077,2026-04-13,2026-05-28,17264.29,INR,Enterprise License Fee,Paid
INV0131,CUST0218,2026-01-30,2026-03-16,45331.57,INR,Digital Marketing Campaign,Paid
INV0132,CUST0180,2026-01-21,2026-03-07,74508.78,INR,Annual Maintenance Contract,Paid
INV0133,CUST0389,2026-02-19,2026-04-05,2330.85,INR,IT Consulting Services,Pending
INV0134,CUST0253,2026-05-14,2026-06-13,19680.69,INR,IT Consulting Services,Paid
INV0135,CUST0413,2026-05-23,2026-07-07,1330.94,INR,API Integration Fee,Paid
INV0136,CUST0229,2026-04-30,2026-05-15,40275.69,INR,Digital Marketing Campaign,Paid
INV0137,CUST0356,2026-06-27,2026-07-12,13105.94,INR,Cloud Infrastructure Hosting,Pending
INV0138,CUST0205,2026-04-25,2026-06-09,4070.98,INR,API Integration Fee,Paid
INV0139,CUST0301,2026-06-02,2026-07-17,23890.0,INR,SaaS Subscription,Paid
INV0140,CUST0203,2026-06-02,2026-07-02,112179.58,INR,Data Analytics Module,Paid
INV0141,CUST0377,2026-04-27,2026-06-11,6249.41,INR,Cybersecurity Audit,Paid
INV0142,CUST0281,2026-03-05,2026-04-04,40283.94,INR,Enterprise License Fee,Paid
INV0143,CUST0391,2026-06-20,2026-07-05,62722.09,INR,Cloud Infrastructure Hosting,Paid
INV0144,CUST0275,2026-02-17,2026-03-04,1935.15,INR,Cybersecurity Audit,Paid
INV0145,CUST0258,2026-03-15,2026-04-14,3625.31,INR,Logistics & Freight Services,Paid
INV0146,CUST0351,2026-02-10,2026-03-12,2074.17,INR,IT Consulting Services,Paid
INV0147,CUST0484,2026-01-22,2026-02-06,193785.39,INR,Data Analytics Module,Paid
INV0148,CUST0313,2026-05-04,2026-05-19,103616.63,INR,SaaS Subscription,Paid
INV0149,CUST0313,2026-04-07,2026-04-22,60298.58,INR,API Integration Fee,Paid
INV0150,CUST0083,2026-04-16,2026-05-31,105903.09,INR,Logistics & Freight Services,Paid
INV0151,CUST0245,2026-04-22,2026-05-07,2907.19,INR,Cybersecurity Audit,Paid
INV0152,CUST0173,2026-01-12,2026-02-11,4813.18,INR,Cybersecurity Audit,Paid
INV0153,CUST0339,2026-04-25,2026-06-09,52788.93,INR,API Integration Fee,Paid
INV0154,CUST0069,2026-02-12,2026-03-29,39134.36,INR,Digital Marketing Campaign,Paid
INV0155,CUST0284,2026-01-23,2026-02-22,74391.65,INR,IT Consulting Services,Paid
INV0156,CUST0260,2026-01-29,2026-02-13,137417.47,INR,Logistics & Freight Services,Paid
INV0157,CUST0313,2026-05-06,2026-06-20,75686.84,INR,SaaS Subscription,Paid
INV0158,CUST0069,2026-02-21,2026-03-08,36290.79,INR,Enterprise License Fee,Paid
INV0159,CUST0451,2026-05-17,2026-07-01,68245.1,INR,Cybersecurity Audit,Paid
INV0160,CUST0399,2026-03-21,2026-04-05,1349.9,INR,Cybersecurity Audit,Paid
INV0161,CUST0076,2026-01-03,2026-02-17,11705.07,INR,Logistics & Freight Services,Paid
INV0162,CUST0129,2026-04-15,2026-05-15,6279.41,INR,Cloud Infrastructure Hosting,Paid
INV0163,CUST0460,2026-02-14,2026-03-01,20792.11,INR,Cybersecurity Audit,Paid
INV0164,CUST0072,2026-05-18,2026-06-17,24306.85,INR,Digital Marketing Campaign,Paid
INV0165,CUST0482,2026-05-01,2026-06-15,7076.17,INR,Cloud Infrastructure Hosting,Paid
INV0166,CUST0307,2026-03-28,2026-04-27,1145.19,INR,API Integration Fee,Paid
INV0167,CUST0362,2026-03-24,2026-04-23,2574.76,INR,Cybersecurity Audit,Paid
INV0168,CUST0283,2026-06-10,2026-07-25,17674.02,INR,Annual Maintenance Contract,Paid
INV0169,CUST0303,2026-03-20,2026-05-04,788.78,INR,Annual Maintenance Contract,Paid
INV0170,CUST0435,2026-01-08,2026-02-07,16814.69,INR,Annual Maintenance Contract,Paid
INV0171,CUST0031,2026-01-11,2026-01-26,12994.79,INR,Cybersecurity Audit,Paid
INV0172,CUST0154,2026-05-29,2026-06-28,125990.66,INR,Cloud Infrastructure Hosting,Paid
INV0173,CUST0492,2026-02-27,2026-03-14,2744.0,INR,SaaS Subscription,Paid
INV0174,CUST0460,2026-05-03,2026-05-18,41642.41,INR,IT Consulting Services,Paid
INV0175,CUST0047,2026-02-20,2026-04-06,60453.13,INR,API Integration Fee,Paid
INV0176,CUST0106,2026-04-11,2026-04-26,22173.63,INR,Cybersecurity Audit,Paid
INV0177,CUST0051,2026-04-28,2026-06-12,1735.42,INR,Data Analytics Module,Paid
INV0178,CUST0024,2026-06-03,2026-06-18,38623.54,INR,Logistics & Freight Services,Paid
INV0179,CUST0252,2026-04-30,2026-05-30,1381.14,INR,Logistics & Freight Services,Paid
INV0180,CUST0097,2026-03-11,2026-04-25,660.2,INR,Enterprise License Fee,Paid
INV0181,CUST0427,2026-04-05,2026-05-05,47661.41,INR,Enterprise License Fee,Paid
INV0182,CUST0220,2026-06-15,2026-06-30,12567.33,INR,SaaS Subscription,Paid
INV0183,CUST0325,2026-04-20,2026-06-04,44622.91,INR,Cybersecurity Audit,Paid
INV0184,CUST0434,2026-02-04,2026-03-06,21743.62,INR,IT Consulting Services,Paid
INV0185,CUST0374,2026-06-29,2026-08-13,37960.34,INR,Digital Marketing Campaign,Paid
INV0186,CUST0061,2026-05-20,2026-07-04,15581.54,INR,Annual Maintenance Contract,Paid
INV0187,CUST0449,2026-04-07,2026-05-22,3878.1,INR,Data Analytics Module,Paid
INV0188,CUST0466,2026-04-16,2026-05-01,64829.8,INR,Logistics & Freight Services,Paid
INV0189,CUST0473,2026-01-09,2026-02-08,182788.89,INR,API Integration Fee,Paid
INV0190,CUST0416,2026-02-16,2026-03-18,45985.31,INR,Enterprise License Fee,Paid
INV0191,CUST0159,2026-05-25,2026-06-09,169328.02,INR,Digital Marketing Campaign,Paid
INV0192,CUST0330,2026-04-01,2026-05-16,2436.35,INR,Cybersecurity Audit,Paid
INV0193,CUST0398,2026-01-27,2026-02-11,557.48,INR,Digital Marketing Campaign,Paid
INV0194,CUST0335,2026-05-25,2026-06-09,55920.8,INR,API Integration Fee,Paid
INV0195,CUST0484,2026-01-21,2026-03-07,12951.73,INR,Cloud Infrastructure Hosting,Paid
INV0196,CUST0479,2026-01-02,2026-01-17,2031.72,INR,Logistics & Freight Services,Paid
INV0197,CUST0145,2026-02-12,2026-03-29,676.86,INR,Cloud Infrastructure Hosting,Paid
INV0198,CUST0319,2026-04-29,2026-06-13,39193.26,INR,Data Analytics Module,Paid
INV0199,CUST0133,2026-01-23,2026-03-09,2415.41,INR,API Integration Fee,Paid
INV0200,CUST0175,2026-01-24,2026-02-08,152141.57,INR,Cloud Infrastructure Hosting,Paid
INV0201,CUST0409,2026-03-06,2026-04-20,975.62,INR,Data Analytics Module,Paid
INV0202,CUST0139,2026-01-16,2026-03-02,176912.83,INR,Digital Marketing Campaign,Paid
INV0203,CUST0139,2026-03-04,2026-04-18,105512.1,INR,Digital Marketing Campaign,Paid
INV0204,CUST0379,2026-02-14,2026-03-16,51121.34,INR,API Integration Fee,Paid
INV0205,CUST0336,2026-04-10,2026-05-10,45149.32,INR,Annual Maintenance Contract,Paid
INV0206,CUST0318,2026-02-14,2026-03-31,4159.68,INR,Logistics & Freight Services,Paid
INV0207,CUST0249,2026-01-27,2026-03-13,35907.96,INR,Enterprise License Fee,Paid
INV0208,CUST0155,2026-01-17,2026-03-03,44752.65,INR,Cloud Infrastructure Hosting,Paid
INV0209,CUST0091,2026-04-19,2026-05-04,52001.56,INR,Cloud Infrastructure Hosting,Paid
INV0210,CUST0081,2026-04-06,2026-05-21,107037.54,INR,Cloud Infrastructure Hosting,Paid
INV0211,CUST0355,2026-04-20,2026-05-05,5587.29,INR,Enterprise License Fee,Paid
INV0212,CUST0167,2026-01-01,2026-01-31,1667.35,INR,Cloud Infrastructure Hosting,Paid
INV0213,CUST0353,2026-01-24,2026-02-23,20671.38,INR,API Integration Fee,Paid
INV0214,CUST0154,2026-05-09,2026-06-08,6641.4,INR,Data Analytics Module,Paid
INV0215,CUST0450,2026-04-22,2026-06-06,1955.29,INR,Data Analytics Module,Paid
INV0216,CUST0129,2026-03-04,2026-03-19,57042.08,INR,Cloud Infrastructure Hosting,Paid
INV0217,CUST0228,2026-04-20,2026-05-20,115503.4,INR,SaaS Subscription,Paid
INV0218,CUST0027,2026-04-16,2026-05-16,29654.74,INR,Cloud Infrastructure Hosting,Paid
INV0219,CUST0479,2026-03-28,2026-04-12,13609.14,INR,Logistics & Freight Services,Paid
INV0220,CUST0296,2026-06-03,2026-07-18,15777.92,INR,Annual Maintenance Contract,Paid
INV0221,CUST0304,2026-06-29,2026-08-13,199589.19,INR,Cybersecurity Audit,Paid
INV0222,CUST0106,2026-05-25,2026-07-09,32235.72,INR,API Integration Fee,Paid
INV0223,CUST0330,2026-03-05,2026-03-20,146872.62,INR,API Integration Fee,Paid
INV0224,CUST0462,2026-01-20,2026-02-04,52401.19,INR,Data Analytics Module,Paid
INV0225,CUST0245,2026-04-11,2026-05-26,45896.26,INR,Enterprise License Fee,Paid
INV0226,CUST0369,2026-01-20,2026-03-06,37762.63,INR,Enterprise License Fee,Paid
INV0227,CUST0114,2026-01-08,2026-01-23,182548.34,INR,SaaS Subscription,Paid
INV0228,CUST0334,2026-02-25,2026-03-27,4879.34,INR,API Integration Fee,Paid
INV0229,CUST0161,2026-03-31,2026-04-15,20254.4,INR,Cybersecurity Audit,Paid
INV0230,CUST0273,2026-04-14,2026-04-29,116058.08,INR,Data Analytics Module,Paid
INV0231,CUST0074,2026-01-30,2026-02-14,58488.81,INR,API Integration Fee,Paid
INV0232,CUST0404,2026-05-27,2026-06-26,59317.15,INR,Logistics & Freight Services,Paid
INV0233,CUST0129,2026-03-02,2026-04-01,170213.38,INR,Annual Maintenance Contract,Paid
INV0234,CUST0287,2026-01-17,2026-03-03,161533.75,INR,Annual Maintenance Contract,Paid
INV0235,CUST0199,2026-03-06,2026-04-20,124445.06,INR,Enterprise License Fee,Paid
INV0236,CUST0164,2026-06-06,2026-06-21,6106.33,INR,Cloud Infrastructure Hosting,Paid
INV0237,CUST0454,2026-05-17,2026-07-01,13512.68,INR,Enterprise License Fee,Paid
INV0238,CUST0217,2026-02-13,2026-03-30,4824.05,INR,API Integration Fee,Paid
INV0239,CUST0269,2026-04-06,2026-04-21,8326.88,INR,Annual Maintenance Contract,Paid
INV0240,CUST0355,2026-02-06,2026-03-23,4407.37,INR,Cloud Infrastructure Hosting,Partially_Paid
INV0241,CUST0366,2026-02-19,2026-03-21,3474.03,INR,IT Consulting Services,Paid
INV0242,CUST0277,2026-04-18,2026-05-03,41156.39,INR,Annual Maintenance Contract,Paid
INV0243,CUST0040,2026-05-06,2026-05-21,48028.94,INR,Annual Maintenance Contract,Paid
INV0244,CUST0287,2026-06-25,2026-08-09,12051.05,INR,Data Analytics Module,Paid
INV0245,CUST0279,2026-03-22,2026-05-06,29743.06,INR,SaaS Subscription,Paid
INV0246,CUST0478,2026-02-03,2026-03-05,185650.17,INR,Digital Marketing Campaign,Paid
INV0247,CUST0227,2026-02-22,2026-03-24,23747.55,INR,Digital Marketing Campaign,Paid
INV0248,CUST0050,2026-01-24,2026-02-08,28855.4,INR,Digital Marketing Campaign,Paid
INV0249,CUST0361,2026-06-21,2026-08-05,30103.71,INR,Cybersecurity Audit,Paid
INV0250,CUST0278,2026-02-25,2026-04-11,150144.42,INR,Data Analytics Module,Paid
INV0251,CUST0348,2026-01-15,2026-01-30,41724.73,INR,Data Analytics Module,Paid
INV0252,CUST0309,2026-04-08,2026-05-08,138627.89,INR,Cloud Infrastructure Hosting,Paid
INV0253,CUST0091,2026-05-01,2026-05-31,18641.32,INR,Annual Maintenance Contract,Paid
INV0254,CUST0357,2026-05-19,2026-06-03,15489.47,INR,Logistics & Freight Services,Paid
INV0255,CUST0112,2026-02-01,2026-02-16,3695.83,INR,Data Analytics Module,Paid
INV0256,CUST0176,2026-04-14,2026-05-14,63575.63,INR,API Integration Fee,Paid
INV0257,CUST0035,2026-02-03,2026-03-05,23889.55,INR,Cybersecurity Audit,Paid
INV0258,CUST0357,2026-04-09,2026-05-09,20116.5,INR,Cloud Infrastructure Hosting,Paid
INV0259,CUST0092,2026-04-30,2026-06-14,3150.05,INR,Cloud Infrastructure Hosting,Paid
INV0260,CUST0373,2026-04-12,2026-04-27,24387.94,INR,Cloud Infrastructure Hosting,Paid
INV0261,CUST0024,2026-02-19,2026-03-06,137122.77,INR,SaaS Subscription,Paid
INV0262,CUST0264,2026-02-02,2026-03-19,21919.58,INR,Annual Maintenance Contract,Paid
INV0263,CUST0139,2026-01-04,2026-02-03,47329.15,INR,Data Analytics Module,Paid
INV0264,CUST0235,2026-04-13,2026-05-28,27486.24,INR,Logistics & Freight Services,Paid
INV0265,CUST0242,2026-03-23,2026-04-07,24771.31,INR,Cybersecurity Audit,Paid
INV0266,CUST0105,2026-05-02,2026-05-17,34558.83,INR,Data Analytics Module,Paid
INV0267,CUST0007,2026-02-24,2026-04-10,98275.53,INR,Data Analytics Module,Paid
INV0268,CUST0489,2026-05-14,2026-06-28,194180.18,INR,IT Consulting Services,Paid
INV0269,CUST0100,2026-06-23,2026-07-23,122261.01,INR,SaaS Subscription,Paid
INV0270,CUST0480,2026-06-19,2026-07-04,72199.66,INR,API Integration Fee,Paid
INV0271,CUST0064,2026-01-25,2026-02-24,38099.72,INR,Cybersecurity Audit,Paid
INV0272,CUST0119,2026-05-08,2026-06-07,49091.55,INR,Cybersecurity Audit,Paid
INV0273,CUST0377,2026-01-19,2026-02-03,4008.44,INR,IT Consulting Services,Paid
INV0274,CUST0312,2026-03-08,2026-04-07,54760.9,INR,Data Analytics Module,Paid
INV0275,CUST0242,2026-02-02,2026-03-19,8051.17,INR,Data Analytics Module,Paid
INV0276,CUST0038,2026-02-13,2026-03-15,9781.68,INR,Cloud Infrastructure Hosting,Paid
INV0277,CUST0435,2026-05-22,2026-06-06,87502.05,INR,Digital Marketing Campaign,Paid
INV0278,CUST0496,2026-03-23,2026-05-07,70645.64,INR,Annual Maintenance Contract,Paid
INV0279,CUST0282,2026-06-09,2026-07-24,14317.3,INR,Cloud Infrastructure Hosting,Paid
INV0280,CUST0462,2026-04-29,2026-06-13,4017.37,INR,Logistics & Freight Services,Paid
INV0281,CUST0189,2026-02-09,2026-03-26,67793.09,INR,API Integration Fee,Paid
INV0282,CUST0491,2026-01-09,2026-01-24,1597.25,INR,Digital Marketing Campaign,Paid
INV0283,CUST0222,2026-01-08,2026-01-23,3201.68,INR,IT Consulting Services,Paid
INV0284,CUST0385,2026-05-13,2026-05-28,65102.69,INR,Data Analytics Module,Paid
INV0285,CUST0190,2026-06-07,2026-06-22,18449.01,INR,Cloud Infrastructure Hosting,Paid
INV0286,CUST0403,2026-01-30,2026-02-14,12295.3,INR,Digital Marketing Campaign,Paid
INV0287,CUST0364,2026-06-19,2026-08-03,4195.37,INR,Digital Marketing Campaign,Paid
INV0288,CUST0099,2026-01-07,2026-02-21,8897.32,INR,Annual Maintenance Contract,Paid
INV0289,CUST0256,2026-06-10,2026-06-25,31429.69,INR,Cybersecurity Audit,Paid
INV0290,CUST0327,2026-05-29,2026-06-28,186879.35,INR,Data Analytics Module,Paid
INV0291,CUST0281,2026-02-14,2026-03-31,113526.36,INR,IT Consulting Services,Paid
INV0292,CUST0146,2026-06-23,2026-08-07,161561.97,INR,Digital Marketing Campaign,Partially_Paid
