payment_id,invoice_id,customer_id,payment_date,amount,currency,gateway,gateway_reference,payment_method,payment_status
PAY0048,INV0048,CUST0180,2026-02-13,110975.23,INR,Stripe,GW-482619,UPI,SUCCESS
PAY0049,INV0049,CUST0440,2026-06-09,101753.71,INR,Razorpay,GW-682503,Card,SUCCESS
PAY0050,INV0050,CUST0437,2026-03-10,57481.25,INR,PayU,GW-215681,NetBanking,REFUNDED
PAY0051,INV0051,CUST0163,2026-06-18,135412.14,INR,Razorpay,GW-490729,Wallet,SUCCESS
PAY0052,INV0052,CUST0008,2026-04-05,81202.44,INR,Razorpay,GW-732490,UPI,SUCCESS
PAY0053,INV0053,CUST0222,2026-03-08,22295.29,INR,Razorpay,GW-339996,NetBanking,SUCCESS
PAY0054,INV0054,CUST0347,2026-06-07,92971.23,INR,Razorpay,GW-828496,UPI,SUCCESS
PAY0055,INV0055,CUST0226,2026-05-25,190671.09,INR,Razorpay,GW-534795,Card,SUCCESS
PAY0056,INV0056,CUST0025,2026-01-18,13251.73,INR,PayU,GW-916072,UPI,SUCCESS
PAY0057,INV0057,CUST0494,2026-04-29,33757.57,INR,Razorpay,GW-302713,Wallet,SUCCESS
PAY0058,INV0058,CUST0496,2026-01-22,40204.74,INR,Razorpay,GW-418384,UPI,SUCCESS
PAY0059,INV0059,CUST0179,2026-02-07,126841.45,INR,Stripe,GW-296780,NetBanking,SUCCESS
PAY0060,INV0060,CUST0305,2026-02-05,68899.66,INR,PayU,GW-596758,UPI,SUCCESS
PAY0061,INV0061,CUST0202,2026-01-29,129725.17,INR,PayU,GW-413148,NetBanking,SUCCESS
PAY0062,INV0062,CUST0047,2026-02-26,1411.56,INR,PayU,GW-198335,Card,SUCCESS
PAY0063,INV0063,CUST0382,2026-06-12,139076.6,INR,Cashfree,GW-165317,Card,SUCCESS
PAY0064,INV0064,CUST0276,2026-01-26,3414.54,INR,Razorpay,GW-595360,NetBanking,SUCCESS
PAY0065,INV0065,CUST0136,2026-01-31,2402.03,INR,Razorpay,GW-875951,Wallet,SUCCESS
PAY0066,INV0066,CUST0360,2026-06-05,178538.03,INR,Razorpay,GW-515803,Wallet,SUCCESS
PAY0067,INV0067,CUST0366,2026-03-08,19807.39,INR,PayU,GW-295695,UPI,SUCCESS
PAY0068,INV0068,CUST0397,2026-03-04,50006.63,INR,Razorpay,GW-761440,UPI,SUCCESS
PAY0069,INV0069,CUST0456,2026-05-15,30032.98,INR,Razorpay,GW-646912,NetBanking,FAILED
PAY0070,INV0070,CUST0136,2026-06-10,75070.87,INR,PayU,GW-582140,UPI,SUCCESS
PAY0071,INV0071,CUST0005,2026-02-20,4834.33,INR,Razorpay,GW-172888,UPI,SUCCESS
PAY0072,INV0072,CUST0068,2026-01-06,2702.94,INR,Stripe,GW-616686,NetBanking,SUCCESS
PAY0073,INV0073,CUST0017,2026-02-24,1903.02,INR,Cashfree,GW-995013,UPI,SUCCESS
PAY0074,INV0074,CUST0043,2026-01-21,38215.48,INR,Stripe,GW-103613,UPI,SUCCESS
PAY0075,INV0075,CUST0387,2026-04-24,14850.9,INR,Razorpay,GW-245017,Wallet,SUCCESS
PAY0076,INV0076,CUST0398,2026-06-08,22310.14,INR,Stripe,GW-313679,UPI,SUCCESS
PAY0077,INV0077,CUST0250,2026-06-27,2804.91,INR,Cashfree,GW-124276,Wallet,SUCCESS
PAY0078,INV0078,CUST0279,2026-03-25,119573.13,INR,Cashfree,GW-DUP-0068,NetBanking,SUCCESS
PAY0079,INV0079,CUST0281,2026-01-27,14103.78,INR,PayU,GW-335075,Wallet,SUCCESS
PAY0080,INV0080,CUST0440,2026-06-07,64327.38,INR,Stripe,GW-128322,Card,SUCCESS
PAY0081,INV0081,CUST0115,2026-04-30,62548.67,INR,Cashfree,GW-163143,UPI,SUCCESS
PAY0082,INV0082,CUST0063,2026-03-24,15719.35,INR,Stripe,GW-502758,Card,SUCCESS
PAY0083,INV0083,CUST0203,2026-06-28,3393.32,INR,Razorpay,GW-299636,Card,SUCCESS
PAY0084,INV0084,CUST0086,2026-02-03,62932.36,INR,PayU,GW-332215,NetBanking,SUCCESS
PAY0085,INV0085,CUST0441,2026-03-27,795.78,INR,Stripe,GW-854214,Wallet,SUCCESS
PAY0086,INV0086,CUST0391,2026-03-15,1559.55,INR,Cashfree,GW-671857,UPI,SUCCESS
PAY0087,INV0087,CUST0199,2026-01-21,1375.02,INR,Razorpay,GW-471707,NetBanking,SUCCESS
PAY0088,INV0088,CUST0140,2026-05-19,10012.54,INR,Razorpay,GW-694962,UPI,SUCCESS
PAY0089,INV0089,CUST0326,2026-01-18,7641.58,INR,Stripe,GW-DUP-0081,Wallet,SUCCESS
PAY0090,INV0090,CUST0024,2026-03-18,34425.9,INR,Stripe,GW-368393,NetBanking,SUCCESS
PAY0091,INV0091,CUST0362,2026-02-13,117251.06,INR,Cashfree,GW-141422,Card,SUCCESS
PAY0092,INV0092,CUST0371,2026-01-14,123740.45,INR,Cashfree,GW-150416,Card,SUCCESS
PAY0093,INV0093,CUST0261,2026-05-04,3207.22,INR,Cashfree,GW-394994,Card,SUCCESS
PAY0094,INV0094,CUST0236,2026-02-18,190182.21,INR,Razorpay,GW-DUP-0085,Card,SUCCESS
PAY0095,INV0095,CUST0210,2026-03-23,16244.75,INR,Cashfree,GW-279225,NetBanking,SUCCESS
PAY0096,INV0096,CUST0372,2026-06-10,142115.1,INR,Razorpay,GW-130880,NetBanking,SUCCESS
PAY0097,INV0097,CUST0437,2026-05-11,17569.24,INR,PayU,GW-427666,NetBanking,SUCCESS
PAY0098,INV0098,CUST0195,2026-02-12,71617.48,INR,Cashfree,GW-DUP-0094,NetBanking,SUCCESS
PAY0099,INV0099,CUST0243,2026-04-25,6693.63,INR,PayU,GW-563546,Wallet,SUCCESS
PAY0100,INV0100,CUST0273,2026-06-06,95268.72,INR,Cashfree,GW-634893,Wallet,SUCCESS
PAY0101,INV0101,CUST0113,2026-05-15,112773.91,INR,PayU,GW-797095,UPI,SUCCESS
PAY0102,INV0102,CUST0093,2026-01-18,11725.04,INR,Razorpay,GW-611207,Wallet,SUCCESS
PAY0103,INV0103,CUST0441,2026-01-09,2422.4,INR,PayU,GW-493009,Card,SUCCESS
PAY0104,INV0104,CUST0430,2026-06-17,75463.93,INR,PayU,GW-220842,Card,SUCCESS
PAY0105,INV0105,CUST0411,2026-03-06,4098.29,INR,Stripe,GW-586817,UPI,SUCCESS
PAY0106,INV0106,CUST0037,2026-01-18,70744.74,INR,PayU,GW-497248,UPI,SUCCESS
PAY0107,INV0107,CUST0381,2026-06-23,17700.81,INR,PayU,GW-699314,UPI,SUCCESS
PAY0108,INV0108,CUST0329,2026-05-10,19753.16,INR,PayU,GW-287614,NetBanking,FAILED
PAY0109,INV0109,CUST0196,2026-06-17,71978.75,INR,Stripe,GW-381693,Wallet,SUCCESS
PAY0110,INV0110,CUST0137,2026-06-10,182011.76,INR,Stripe,GW-DUP-0101,Card,SUCCESS
PAY0111,INV0111,CUST0039,2026-05-16,10234.06,INR,Cashfree,GW-930441,Card,SUCCESS
PAY0112,INV0112,CUST0333,2026-04-09,18158.5,INR,Cashfree,GW-741777,UPI,SUCCESS
PAY0113,INV0113,CUST0236,2026-05-01,142304.98,INR,Razorpay,GW-663719,UPI,SUCCESS
PAY0114,INV0114,CUST0465,2026-03-04,78881.25,INR,Stripe,GW-209793,Card,SUCCESS
PAY0115,INV0115,CUST0207,2026-02-01,772.26,INR,Stripe,GW-823405,Card,SUCCESS
PAY0116,INV0116,CUST0088,2026-02-11,55135.07,INR,Razorpay,GW-947919,NetBanking,SUCCESS
PAY0117,INV0117,CUST0033,2026-05-10,148988.17,INR,Razorpay,GW-613757,Wallet,SUCCESS
PAY0118,INV0118,CUST0211,2026-04-25,12188.78,INR,Cashfree,GW-612032,UPI,SUCCESS
PAY0119,INV0119,CUST0201,2026-02-21,50045.43,INR,Stripe,GW-526949,Card,SUCCESS
PAY0120,INV0120,CUST0291,2026-01-25,172033.46,INR,Razorpay,GW-428003,UPI,SUCCESS
PAY0121,INV0121,CUST0409,2026-04-01,93334.99,INR,Stripe,GW-740991,NetBanking,SUCCESS
PAY0122,INV0122,CUST0046,2026-05-04,1914.57,INR,PayU,GW-702987,NetBanking,SUCCESS
PAY0123,INV0123,CUST0208,2026-05-05,14659.58,INR,Razorpay,GW-273348,Card,SUCCESS
PAY0124,INV0124,CUST0059,2026-02-28,73099.46,INR,Razorpay,GW-699116,Wallet,SUCCESS
PAY0125,INV0125,CUST0425,2026-02-05,8937.17,INR,Razorpay,GW-768402,Card,SUCCESS
PAY0126,INV0126,CUST0038,2026-03-27,8386.34,INR,Stripe,GW-124935,Card,SUCCESS
PAY0127,INV0127,CUST0041,2026-06-27,34895.47,INR,Stripe,GW-475946,UPI,SUCCESS
PAY0128,INV0128,CUST0365,2026-04-03,149642.71,INR,PayU,GW-462580,UPI,SUCCESS
PAY0129,INV0129,CUST0019,2026-04-27,195580.93,INR,Stripe,GW-315514,Card,SUCCESS
PAY0130,INV0130,CUST0077,2026-04-14,17264.29,INR,Stripe,GW-627021,Card,SUCCESS
PAY0131,INV0131,CUST0218,2026-02-01,45331.57,INR,Stripe,GW-932655,Card,SUCCESS
PAY0132,INV0132,CUST0180,2026-01-25,74508.78,INR,Stripe,GW-871554,NetBanking,SUCCESS
PAY0133,INV0133,CUST0389,2026-02-24,2330.85,INR,Stripe,GW-569414,Card,FAILED
PAY0134,INV0134,CUST0253,2026-05-19,19680.69,INR,Cashfree,GW-525707,UPI,SUCCESS
PAY0135,INV0135,CUST0413,2026-05-28,1330.94,INR,Cashfree,GW-301529,UPI,SUCCESS
PAY0136,INV0136,CUST0229,2026-05-01,40275.69,INR,Cashfree,GW-765974,UPI,SUCCESS
PAY0137,INV0137,CUST0356,2026-06-29,13105.94,INR,Razorpay,GW-436881,NetBanking,REFUNDED
PAY0138,INV0138,CUST0205,2026-04-27,4070.98,INR,Razorpay,GW-650363,Card,SUCCESS
PAY0139,INV0139,CUST0301,2026-06-02,23890.0,INR,Cashfree,GW-459296,Wallet,SUCCESS
PAY0140,INV0140,CUST0203,2026-06-06,112179.58,INR,Cashfree,GW-636064,NetBanking,SUCCESS
PAY0141,INV0141,CUST0377,2026-04-30,6249.41,INR,PayU,GW-840238,Wallet,SUCCESS
PAY0142,INV0142,CUST0281,2026-03-08,40283.94,INR,Cashfree,GW-797911,NetBanking,SUCCESS
PAY0143,INV0143,CUST0391,2026-06-22,62722.09,INR,Cashfree,GW-199424,UPI,SUCCESS
PAY0144,INV0144,CUST0275,2026-02-19,1935.15,INR,Stripe,GW-289240,UPI,SUCCESS
PAY0145,INV0145,CUST0258,2026-03-18,3625.31,INR,Stripe,GW-540189,Wallet,SUCCESS
PAY0146,INV0146,CUST0351,2026-02-13,2074.17,INR,PayU,GW-889126,Wallet,SUCCESS
PAY0147,INV0147,CUST0484,2026-01-26,193785.39,INR,Cashfree,GW-318354,Wallet,SUCCESS
PAY0148,INV0148,CUST0313,2026-05-06,103616.63,INR,Razorpay,GW-694716,Card,SUCCESS
PAY0149,INV0149,CUST0313,2026-04-10,60298.58,INR,Razorpay,GW-918348,Card,SUCCESS
PAY0150,INV0150,CUST0083,2026-04-18,105903.09,INR,PayU,GW-DUP-0147,NetBanking,SUCCESS
PAY0151,INV0151,CUST0245,2026-04-24,2907.19,INR,Cashfree,GW-149812,Wallet,SUCCESS
PAY0152,INV0152,CUST0173,2026-01-15,4813.18,INR,Stripe,GW-DUP-0149,NetBanking,SUCCESS
PAY0153,INV0153,CUST0339,2026-04-30,52788.93,INR,PayU,GW-700831,NetBanking,SUCCESS
PAY0154,INV0154,CUST0069,2026-02-12,39134.36,INR,Cashfree,GW-543210,UPI,SUCCESS
PAY0155,INV0155,CUST0284,2026-01-26,74391.65,INR,Razorpay,GW-887917,Wallet,SUCCESS
PAY0156,INV0156,CUST0260,2026-01-31,137417.47,INR,Stripe,GW-139068,UPI,SUCCESS
PAY0157,INV0157,CUST0313,2026-05-10,75686.84,INR,Cashfree,GW-668977,UPI,SUCCESS
PAY0158,INV0158,CUST0069,2026-02-24,36290.79,INR,Cashfree,GW-185489,NetBanking,SUCCESS
PAY0159,INV0159,CUST0451,2026-05-19,68245.1,INR,Stripe,GW-311301,UPI,SUCCESS
PAY0160,INV0160,CUST0399,2026-03-22,1349.9,INR,Razorpay,GW-291938,UPI,SUCCESS
PAY0161,INV0161,CUST0076,2026-01-08,11705.07,INR,Stripe,GW-673758,NetBanking,SUCCESS
PAY0162,INV0162,CUST0129,2026-04-17,6279.41,INR,Razorpay,GW-312226,UPI,SUCCESS
PAY0163,INV0163,CUST0460,2026-02-19,20792.11,INR,Stripe,GW-598033,UPI,SUCCESS
PAY0164,INV0164,CUST0072,2026-05-20,24306.85,INR,PayU,GW-267759,UPI,SUCCESS
PAY0165,INV0165,CUST0482,2026-05-06,7076.17,INR,PayU,GW-572319,Wallet,SUCCESS
PAY0166,INV0166,CUST0307,2026-03-31,1145.19,INR,Cashfree,GW-826680,NetBanking,SUCCESS
PAY0167,INV0167,CUST0362,2026-03-25,2574.76,INR,Razorpay,GW-919502,UPI,SUCCESS
PAY0168,INV0168,CUST0283,2026-06-12,17674.02,INR,Razorpay,GW-748216,NetBanking,SUCCESS
PAY0169,INV0169,CUST0303,2026-03-20,788.78,INR,PayU,GW-602049,Card,SUCCESS
PAY0170,INV0170,CUST0435,2026-01-10,16814.69,INR,Razorpay,GW-167971,UPI,SUCCESS
PAY0171,INV0171,CUST0031,2026-01-13,12994.79,INR,Razorpay,GW-886455,Wallet,SUCCESS
PAY0172,INV0172,CUST0154,2026-05-30,125990.66,INR,Razorpay,GW-162676,UPI,SUCCESS
PAY0173,INV0173,CUST0492,2026-03-01,2744.0,INR,Stripe,GW-621272,UPI,SUCCESS
PAY0174,INV0174,CUST0460,2026-05-07,41642.41,INR,Razorpay,GW-391236,Card,SUCCESS
PAY0175,INV0175,CUST0047,2026-02-25,60453.13,INR,PayU,GW-139330,UPI,SUCCESS
PAY0176,INV0176,CUST0106,2026-04-13,22173.63,INR,Cashfree,GW-760793,Card,SUCCESS
PAY0177,INV0177,CUST0051,2026-05-01,1735.42,INR,Cashfree,GW-234525,Card,SUCCESS
PAY0178,INV0178,CUST0024,2026-06-05,38623.54,INR,PayU,GW-703041,NetBanking,SUCCESS
PAY0179,INV0179,CUST0252,2026-05-02,1381.14,INR,Stripe,GW-637692,UPI,SUCCESS
PAY0180,INV0180,CUST0097,2026-03-15,660.2,INR,PayU,GW-552189,UPI,SUCCESS
PAY0181,INV0181,CUST0427,2026-04-10,47661.41,INR,Cashfree,GW-234119,UPI,SUCCESS
PAY0182,INV0182,CUST0220,2026-06-18,12567.33,INR,PayU,GW-193420,Wallet,SUCCESS
PAY0183,INV0183,CUST0325,2026-04-24,44622.91,INR,Stripe,GW-300482,Wallet,SUCCESS
PAY0184,INV0184,CUST0434,2026-02-06,21743.62,INR,Cashfree,GW-836903,UPI,SUCCESS
PAY0185,INV0185,CUST0374,2026-07-04,37960.34,INR,Cashfree,GW-180266,UPI,SUCCESS
PAY0186,INV0186,CUST0061,2026-05-24,15581.54,INR,PayU,GW-297042,Card,SUCCESS
PAY0187,INV0187,CUST0449,2026-04-10,3878.1,INR,Razorpay,GW-853660,NetBanking,SUCCESS
PAY0188,INV0188,CUST0466,2026-04-17,64829.8,INR,PayU,GW-840872,Wallet,SUCCESS
PAY0189,INV0189,CUST0473,2026-01-11,182788.89,INR,Stripe,GW-239044,NetBanking,SUCCESS
PAY0190,INV0190,CUST0416,2026-02-16,45985.31,INR,Cashfree,GW-903308,UPI,SUCCESS
PAY0191,INV0191,CUST0159,2026-05-30,169328.02,INR,Razorpay,GW-153153,Wallet,SUCCESS
PAY0192,INV0192,CUST0330,2026-04-06,2436.35,INR,Razorpay,GW-244051,UPI,SUCCESS
PAY0193,INV0193,CUST0398,2026-01-27,557.48,INR,Cashfree,GW-441739,UPI,SUCCESS
PAY0194,INV0194,CUST0335,2026-05-28,55920.8,INR,PayU,GW-409569,Card,SUCCESS
PAY0195,INV0195,CUST0484,2026-01-21,12951.73,INR,PayU,GW-477447,NetBanking,SUCCESS
PAY0196,INV0196,CUST0479,2026-01-05,2031.72,INR,PayU,GW-112612,Card,SUCCESS
PAY0197,INV0197,CUST0145,2026-02-12,676.86,INR,Razorpay,GW-239292,Card,SUCCESS
PAY0198,INV0198,CUST0319,2026-04-29,39193.26,INR,Stripe,GW-944212,Wallet,SUCCESS
PAY0199,INV0199,CUST0133,2026-01-24,2415.41,INR,Razorpay,GW-588820,Card,SUCCESS
PAY0200,INV0200,CUST0175,2026-01-26,152141.57,INR,PayU,GW-806142,Wallet,SUCCESS
PAY0201,INV0201,CUST0409,2026-03-07,975.62,INR,Cashfree,GW-352523,Card,SUCCESS
PAY0202,INV0202,CUST0139,2026-01-21,176912.83,INR,Razorpay,GW-820465,NetBanking,SUCCESS
PAY0203,INV0203,CUST0139,2026-03-04,105512.1,INR,Cashfree,GW-748334,NetBanking,SUCCESS
PAY0204,INV0204,CUST0379,2026-02-15,51121.34,INR,Stripe,GW-743470,Wallet,SUCCESS
PAY0205,INV0205,CUST0336,2026-04-12,45149.32,INR,Razorpay,GW-659150,UPI,SUCCESS
PAY0206,INV0206,CUST0318,2026-02-17,4159.68,INR,Razorpay,GW-895467,UPI,SUCCESS
PAY0207,INV0207,CUST0249,2026-01-27,35907.96,INR,Stripe,GW-DUP-0206,NetBanking,SUCCESS
PAY0208,INV0208,CUST0155,2026-01-20,44752.65,INR,Stripe,GW-184288,NetBanking,SUCCESS
PAY0209,INV0209,CUST0091,2026-04-21,52001.56,INR,Cashfree,GW-911703,Card,SUCCESS
PAY0210,INV0210,CUST0081,2026-04-07,107037.54,INR,Razorpay,GW-624831,Card,SUCCESS
PAY0211,INV0211,CUST0355,2026-04-25,5587.29,INR,Stripe,GW-921042,NetBanking,SUCCESS
PAY0212,INV0212,CUST0167,2026-01-02,1667.35,INR,Razorpay,GW-219938,Card,SUCCESS
PAY0213,INV0213,CUST0353,2026-01-29,20671.38,INR,Stripe,GW-316552,NetBanking,SUCCESS
PAY0214,INV0214,CUST0154,2026-05-13,6641.4,INR,PayU,GW-715958,UPI,SUCCESS
PAY0215,INV0215,CUST0450,2026-04-26,1955.29,INR,PayU,GW-443399,Card,SUCCESS
PAY0216,INV0216,CUST0129,2026-03-04,57042.08,INR,Cashfree,GW-427672,Card,SUCCESS
PAY0217,INV0217,CUST0228,2026-04-20,115503.4,INR,Cashfree,GW-980338,Card,SUCCESS
PAY0218,INV0218,CUST0027,2026-04-17,29654.74,INR,Razorpay,GW-926796,Wallet,SUCCESS
PAY0219,INV0219,CUST0479,2026-03-28,13609.14,INR,Razorpay,GW-213234,Card,SUCCESS
PAY0220,INV0220,CUST0296,2026-06-04,15777.92,INR,Razorpay,GW-942647,Wallet,SUCCESS
PAY0221,INV0221,CUST0304,2026-06-29,199589.19,INR,PayU,GW-111336,UPI,SUCCESS
PAY0222,INV0222,CUST0106,2026-05-25,32235.72,INR,Razorpay,GW-877455,Wallet,SUCCESS
PAY0223,INV0223,CUST0330,2026-03-10,146872.62,INR,Cashfree,GW-884242,Card,SUCCESS
PAY0224,INV0224,CUST0462,2026-01-20,52401.19,INR,Cashfree,GW-467536,Card,SUCCESS
PAY0225,INV0225,CUST0245,2026-04-15,45896.26,INR,Razorpay,GW-128414,NetBanking,SUCCESS
PAY0226,INV0226,CUST0369,2026-01-22,37762.63,INR,Cashfree,GW-367016,Card,SUCCESS
PAY0227,INV0227,CUST0114,2026-01-09,182548.34,INR,PayU,GW-610193,NetBanking,SUCCESS
PAY0228,INV0228,CUST0334,2026-03-02,4879.34,INR,PayU,GW-498252,UPI,SUCCESS
PAY0229,INV0229,CUST0161,2026-04-02,20254.4,INR,PayU,GW-718034,NetBanking,SUCCESS
PAY0230,INV0230,CUST0273,2026-04-19,116058.08,INR,Razorpay,GW-887623,NetBanking,SUCCESS
PAY0231,INV0231,CUST0074,2026-02-03,58488.81,INR,PayU,GW-191283,UPI,SUCCESS
PAY0232,INV0232,CUST0404,2026-05-29,59317.15,INR,Razorpay,GW-416984,Wallet,SUCCESS
PAY0233,INV0233,CUST0129,2026-03-05,170213.38,INR,PayU,GW-273028,Card,SUCCESS
PAY0234,INV0234,CUST0287,2026-01-17,161533.75,INR,Razorpay,GW-586453,NetBanking,SUCCESS
PAY0235,INV0235,CUST0199,2026-03-07,124445.06,INR,Razorpay,GW-900307,Wallet,SUCCESS
PAY0236,INV0236,CUST0164,2026-06-08,6106.33,INR,Stripe,GW-671979,Card,SUCCESS
PAY0237,INV0237,CUST0454,2026-05-22,13512.68,INR,PayU,GW-292384,Wallet,SUCCESS
PAY0238,INV0238,CUST0217,2026-02-13,4824.05,INR,Stripe,GW-738748,Wallet,SUCCESS
PAY0239,INV0239,CUST0269,2026-04-09,8326.88,INR,Cashfree,GW-624635,Card,SUCCESS
PAY0240,INV0240,CUST0355,2026-02-11,4407.37,INR,Razorpay,GW-789485,Wallet,SUCCESS
PAY0241,INV0241,CUST0366,2026-02-23,3474.03,INR,Cashfree,GW-251626,Card,SUCCESS
PAY0242,INV0242,CUST0277,2026-04-19,41156.39,INR,Razorpay,GW-113122,Card,SUCCESS
PAY0243,INV0243,CUST0040,2026-05-10,48028.94,INR,Stripe,GW-245435,Wallet,SUCCESS
PAY0244,INV0244,CUST0287,2026-06-26,12051.05,INR,Cashfree,GW-485285,Card,SUCCESS
PAY0245,INV0245,CUST0279,2026-03-26,29743.06,INR,Stripe,GW-961913,Card,SUCCESS
PAY0246,INV0246,CUST0478,2026-02-07,185650.17,INR,Stripe,GW-486017,Card,SUCCESS
PAY0247,INV0247,CUST0227,2026-02-24,23747.55,INR,Razorpay,GW-986781,Card,SUCCESS
PAY0248,INV0248,CUST0050,2026-01-24,28855.4,INR,Razorpay,GW-623308,UPI,SUCCESS
PAY0249,INV0249,CUST0361,2026-06-22,30103.71,INR,PayU,GW-474474,NetBanking,SUCCESS
PAY0250,INV0250,CUST0278,2026-02-27,150144.42,INR,Stripe,GW-670372,Card,SUCCESS
PAY0251,INV0251,CUST0348,2026-01-17,41724.73,INR,Razorpay,GW-488654,Card,SUCCESS
PAY0252,INV0252,CUST0309,2026-04-13,138627.89,INR,PayU,GW-226703,Card,SUCCESS
PAY0253,INV0253,CUST0091,2026-05-02,18641.32,INR,Stripe,GW-982245,Wallet,SUCCESS
