transaction_id,transaction_date,value_date,amount,currency,description,reference,account_id,transaction_type
TXN0014,2026-04-03,2026-04-04,39044.23,INR,NEFT CR-GW-239706-Cashfree SETTLEMENT-CUST0340,CMS/GW-239706/CASHFREE/CUST0340,BANK001,CREDIT
TXN0015,2026-03-14,2026-03-15,86502.52,INR,NEFT CR-GW-606039-PayU SETTLEMENT-CUST0189,CMS/GW-606039/PAYU/CUST0189,BANK003,CREDIT
TXN0016,2026-04-08,2026-04-09,171118.82,INR,NEFT CR-GW-738955-Razorpay SETTLEMENT-CUST0174,CMS/GW-738955/RAZORPAY/CUST0174,BANK001,CREDIT
TXN0017,2026-05-12,2026-05-12,173094.18,INR,NEFT CR-GW-481415-PayU SETTLEMENT-CUST0220,CMS/GW-481415/PAYU/CUST0220,BANK003,CREDIT
TXN0018,2026-07-06,2026-07-07,3779.34,INR,NEFT CR-GW-393986-Razorpay SETTLEMENT-CUST0283,CMS/GW-393986/RAZORPAY/CUST0283,BANK001,CREDIT
TXN0019,2026-05-26,2026-05-27,15581.54,INR,NEFT CR-GW-297042-PayU SETTLEMENT-CUST0061,CMS/GW-297042/PAYU/CUST0061,BANK003,CREDIT
TXN0020,2026-04-16,2026-04-16,4550.59,INR,NEFT CR-GW-714475-PayU SETTLEMENT-CUST0383,CMS/GW-714475/PAYU/CUST0383,BANK001,CREDIT
TXN0021,2026-07-12,2026-07-13,159394.71,INR,NEFT CR-GW-266213-PayU SETTLEMENT-CUST0217,CMS/GW-266213/PAYU/CUST0217,BANK002,CREDIT
TXN0022,2026-04-23,2026-04-23,3229.74,INR,NEFT CR-GW-849528-PayU SETTLEMENT-CUST0323,CMS/GW-849528/PAYU/CUST0323,BANK003,CREDIT
TXN0023,2026-02-20,2026-02-21,60650.6,INR,NEFT CR-GW-517649-PayU SETTLEMENT-CUST0222,CMS/GW-517649/PAYU/CUST0222,BANK002,CREDIT
TXN0024,2026-02-10,2026-02-11,4069.99,INR,NEFT CR-GW-891576-PayU SETTLEMENT-CUST0250,CMS/GW-891576/PAYU/CUST0250,BANK002,CREDIT
TXN0025,2026-05-15,2026-05-16,4758.83,INR,NEFT CR-GW-691793-Cashfree SETTLEMENT-CUST0280,CMS/GW-691793/CASHFREE/CUST0280,BANK003,CREDIT
TXN0026,2026-02-09,2026-02-09,30052.23,INR,NEFT CR-GW-885310-Razorpay SETTLEMENT-CUST0012,CMS/GW-885310/RAZORPAY/CUST0012,BANK003,CREDIT
TXN0027,2026-03-25,2026-03-25,19339.28,INR,NEFT CR-GW-539214-PayU SETTLEMENT-CUST0079,CMS/GW-539214/PAYU/CUST0079,BANK001,CREDIT
TXN0028,2026-02-07,2026-02-07,12632.38,INR,NEFT CR-GW-655260-Razorpay SETTLEMENT-CUST0394,CMS/GW-655260/RAZORPAY/CUST0394,BANK002,CREDIT
TXN0029,2026-04-26,2026-04-26,3111.55,INR,NEFT CR-GW-944984-PayU SETTLEMENT-CUST0393,CMS/GW-944984/PAYU/CUST0393,BANK002,CREDIT
TXN0030,2026-05-07,2026-05-08,4123.39,INR,NEFT CR-GW-650210-Stripe SETTLEMENT-CUST0414,CMS/GW-650210/STRIPE/CUST0414,BANK001,CREDIT
TXN0031,2026-07-04,2026-07-04,4113.83,INR,NEFT CR-GW-981743-Cashfree SETTLEMENT-CUST0112,CMS/GW-981743/CASHFREE/CUST0112,BANK001,CREDIT
TXN0032,2026-06-16,2026-06-16,58976.08,INR,NEFT CR-GW-674046-Stripe SETTLEMENT-CUST0087,CMS/GW-674046/STRIPE/CUST0087,BANK001,CREDIT
TXN0033,2026-06-21,2026-06-21,146705.82,INR,NEFT CR-GW-279907-Stripe SETTLEMENT-CUST0275,CMS/GW-279907/STRIPE/CUST0275,BANK002,CREDIT
TXN0034,2026-06-19,2026-06-20,6848.31,INR,NEFT CR-GW-962732-Stripe SETTLEMENT-CUST0143,CMS/GW-962732/STRIPE/CUST0143,BANK002,CREDIT
TXN0035,2026-02-04,2026-02-04,139762.26,INR,NEFT CR-GW-637197-PayU SETTLEMENT-CUST0282,CMS/GW-637197/PAYU/CUST0282,BANK001,CREDIT
TXN0036,2026-04-09,2026-04-09,16883.21,INR,NEFT CR-GW-129939-Razorpay SETTLEMENT-CUST0060,CMS/GW-129939/RAZORPAY/CUST0060,BANK003,CREDIT
TXN0037,2026-02-15,2026-02-16,4795.26,INR,NEFT CR-GW-254804-PayU SETTLEMENT-CUST0242,CMS/GW-254804/PAYU/CUST0242,BANK001,CREDIT
TXN0038,2026-06-12,2026-06-13,179833.65,INR,NEFT CR-GW-387007-Cashfree SETTLEMENT-CUST0196,CMS/GW-387007/CASHFREE/CUST0196,BANK002,CREDIT
TXN0039,2026-06-10,2026-06-10,2612.75,INR,NEFT CR-GW-833011-Stripe SETTLEMENT-CUST0379,CMS/GW-833011/STRIPE/CUST0379,BANK001,CREDIT
TXN0040,2026-04-26,2026-04-27,60449.68,INR,NEFT CR-GW-827299-Cashfree SETTLEMENT-CUST0410,CMS/GW-827299/CASHFREE/CUST0410,BANK001,CREDIT
TXN0041,2026-07-30,2026-07-31,21495.63,INR,NEFT CR-GW-767277-Cashfree SETTLEMENT-CUST0261,CMS/GW-767277/CASHFREE/CUST0261,BANK003,CREDIT
TXN0042,2026-06-05,2026-06-05,79121.27,INR,NEFT CR-GW-972078-PayU SETTLEMENT-CUST0264,CMS/GW-972078/PAYU/CUST0264,BANK002,CREDIT
TXN0043,2026-04-22,2026-04-22,176041.58,INR,NEFT CR-GW-212187-Razorpay SETTLEMENT-CUST0270,CMS/GW-212187/RAZORPAY/CUST0270,BANK003,CREDIT
TXN0044,2026-05-02,2026-05-03,2459.51,INR,NEFT CR-GW-516855-Stripe SETTLEMENT-CUST0202,CMS/GW-516855/STRIPE/CUST0202,BANK002,CREDIT
TXN0045,2026-03-27,2026-03-28,6934.26,INR,NEFT CR-GW-204379-Cashfree SETTLEMENT-CUST0121,CMS/GW-204379/CASHFREE/CUST0121,BANK003,CREDIT
TXN0046,2026-02-05,2026-02-05,2058.94,INR,NEFT CR-GW-890193-Cashfree SETTLEMENT-CUST0093,CMS/GW-890193/CASHFREE/CUST0093,BANK002,CREDIT
TXN0047,2026-01-20,2026-01-20,2740.43,INR,NEFT CR-GW-548947-Stripe SETTLEMENT-CUST0449,CMS/GW-548947/STRIPE/CUST0449,BANK001,CREDIT
TXN0048,2026-02-14,2026-02-15,110975.23,INR,NEFT CR-GW-482619-Stripe SETTLEMENT-CUST0180,CMS/GW-482619/STRIPE/CUST0180,BANK002,CREDIT
TXN0049,2026-06-11,2026-06-12,101753.71,INR,NEFT CR-GW-682503-Razorpay SETTLEMENT-CUST0440,CMS/GW-682503/RAZORPAY/CUST0440,BANK003,CREDIT
TXN0050,2026-03-10,2026-03-10,57481.25,INR,NEFT CR-GW-215681-PayU SETTLEMENT-CUST0437,CMS/GW-215681/PAYU/CUST0437,BANK003,CREDIT
TXN0051,2026-06-18,2026-06-19,135412.14,INR,NEFT CR-GW-490729-Razorpay SETTLEMENT-CUST0163,CMS/GW-490729/RAZORPAY/CUST0163,BANK002,CREDIT
TXN0052,2026-04-05,2026-04-05,81202.44,INR,NEFT CR-GW-732490-Razorpay SETTLEMENT-CUST0008,CMS/GW-732490/RAZORPAY/CUST0008,BANK002,CREDIT
TXN0053,2026-03-08,2026-03-09,22295.29,INR,NEFT CR-GW-339996-Razorpay SETTLEMENT-CUST0222,CMS/GW-339996/RAZORPAY/CUST0222,BANK001,CREDIT
TXN0054,2026-06-17,2026-06-18,92971.23,INR,NEFT CR-GW-828496-Razorpay SETTLEMENT-CUST0347,CMS/GW-828496/RAZORPAY/CUST0347,BANK001,CREDIT
TXN0055,2026-05-30,2026-05-30,190671.09,INR,NEFT CR-GW-534795-Razorpay SETTLEMENT-CUST0226,CMS/GW-534795/RAZORPAY/CUST0226,BANK003,CREDIT
TXN0056,2026-01-18,2026-01-19,13251.73,INR,NEFT CR-GW-916072-PayU SETTLEMENT-CUST0025,CMS/GW-916072/PAYU/CUST0025,BANK002,CREDIT
TXN0057,2026-04-29,2026-04-29,33757.57,INR,NEFT CR-GW-302713-Razorpay SETTLEMENT-CUST0494,CMS/GW-302713/RAZORPAY/CUST0494,BANK002,CREDIT
TXN0058,2026-01-23,2026-01-23,40204.74,INR,NEFT CR-GW-418384-Razorpay SETTLEMENT-CUST0496,CMS/GW-418384/RAZORPAY/CUST0496,BANK003,CREDIT
TXN0059,2026-02-07,2026-02-08,126841.45,INR,NEFT CR-GW-296780-Stripe SETTLEMENT-CUST0179,CMS/GW-296780/STRIPE/CUST0179,BANK003,CREDIT
TXN0060,2026-02-05,2026-02-05,68899.66,INR,NEFT CR-GW-596758-PayU SETTLEMENT-CUST0305,CMS/GW-596758/PAYU/CUST0305,BANK002,CREDIT
TXN0061,2026-01-29,2026-01-29,129725.17,INR,NEFT CR-GW-413148-PayU SETTLEMENT-CUST0202,CMS/GW-413148/PAYU/CUST0202,BANK002,CREDIT
TXN0062,2026-03-22,2026-03-23,1411.56,INR,NEFT CR-GW-198335-PayU SETTLEMENT-CUST0047,CMS/GW-198335/PAYU/CUST0047,BANK003,CREDIT
TXN0063,2026-06-16,2026-06-17,139076.6,INR,NEFT CR-GW-165317-Cashfree SETTLEMENT-CUST0382,CMS/GW-165317/CASHFREE/CUST0382,BANK002,CREDIT
TXN0064,2026-01-28,2026-01-28,3414.54,INR,NEFT CR-GW-595360-Razorpay SETTLEMENT-CUST0276,CMS/GW-595360/RAZORPAY/CUST0276,BANK001,CREDIT
TXN0065,2026-02-13,2026-02-14,2402.03,INR,NEFT CR-GW-875951-Razorpay SETTLEMENT-CUST0136,CMS/GW-875951/RAZORPAY/CUST0136,BANK001,CREDIT
TXN0066,2026-06-06,2026-06-07,178538.03,INR,NEFT CR-GW-515803-Razorpay SETTLEMENT-CUST0360,CMS/GW-515803/RAZORPAY/CUST0360,BANK002,CREDIT
TXN0067,2026-03-08,2026-03-08,19807.39,INR,NEFT CR-GW-295695-PayU SETTLEMENT-CUST0366,CMS/GW-295695/PAYU/CUST0366,BANK003,CREDIT
TXN0068,2026-03-06,2026-03-07,50006.63,INR,NEFT CR-GW-761440-Razorpay SETTLEMENT-CUST0397,CMS/GW-761440/RAZORPAY/CUST0397,BANK002,CREDIT
TXN0069,2026-05-15,2026-05-16,30032.98,INR,NEFT CR-GW-646912-Razorpay SETTLEMENT-CUST0456,CMS/GW-646912/RAZORPAY/CUST0456,BANK001,CREDIT
TXN0070,2026-06-11,2026-06-12,75070.87,INR,NEFT CR-GW-582140-PayU SETTLEMENT-CUST0136,CMS/GW-582140/PAYU/CUST0136,BANK002,CREDIT
TXN0071,2026-02-20,2026-02-20,4834.33,INR,NEFT CR-GW-172888-Razorpay SETTLEMENT-CUST0005,CMS/GW-172888/RAZORPAY/CUST0005,BANK003,CREDIT
TXN0072,2026-01-06,2026-01-06,2702.94,INR,NEFT CR-GW-616686-Stripe SETTLEMENT-CUST0068,CMS/GW-616686/STRIPE/CUST0068,BANK002,CREDIT
TXN0073,2026-02-26,2026-02-27,1903.02,INR,NEFT CR-GW-995013-Cashfree SETTLEMENT-CUST0017,CMS/GW-995013/CASHFREE/CUST0017,BANK002,CREDIT
TXN0074,2026-01-21,2026-01-21,38215.48,INR,NEFT CR-GW-103613-Stripe SETTLEMENT-CUST0043,CMS/GW-103613/STRIPE/CUST0043,BANK001,CREDIT
TXN0075,2026-04-24,2026-04-24,14850.9,INR,NEFT CR-GW-245017-Razorpay SETTLEMENT-CUST0387,CMS/GW-245017/RAZORPAY/CUST0387,BANK001,CREDIT
TXN0076,2026-06-09,2026-06-10,22310.14,INR,NEFT CR-GW-313679-Stripe SETTLEMENT-CUST0398,CMS/GW-313679/STRIPE/CUST0398,BANK001,CREDIT
TXN0077,2026-06-27,2026-06-28,2804.91,INR,NEFT CR-GW-124276-Cashfree SETTLEMENT-CUST0250,CMS/GW-124276/CASHFREE/CUST0250,BANK002,CREDIT
TXN0078,2026-05-01,2026-05-02,4017.37,INR,NEFT CR-GW-439293-Stripe SETTLEMENT-CUST0462,CMS/GW-439293/STRIPE/CUST0462,BANK002,CREDIT
TXN0079,2026-01-28,2026-01-28,14103.78,INR,NEFT CR-GW-335075-PayU SETTLEMENT-CUST0281,CMS/GW-335075/PAYU/CUST0281,BANK003,CREDIT
TXN0080,2026-06-07,2026-06-08,64327.38,INR,NEFT CR-GW-128322-Stripe SETTLEMENT-CUST0440,CMS/GW-128322/STRIPE/CUST0440,BANK003,CREDIT
TXN0081,2026-04-30,2026-05-01,62548.67,INR,NEFT CR-GW-163143-Cashfree SETTLEMENT-CUST0115,CMS/GW-163143/CASHFREE/CUST0115,BANK002,CREDIT
TXN0082,2026-03-28,2026-03-29,15719.35,INR,NEFT CR-GW-502758-Stripe SETTLEMENT-CUST0063,CMS/GW-502758/STRIPE/CUST0063,BANK002,CREDIT
TXN0083,2026-07-01,2026-07-02,3393.32,INR,NEFT CR-GW-299636-Razorpay SETTLEMENT-CUST0203,CMS/GW-299636/RAZORPAY/CUST0203,BANK001,CREDIT
TXN0084,2026-02-03,2026-02-04,62932.36,INR,NEFT CR-GW-332215-PayU SETTLEMENT-CUST0086,CMS/GW-332215/PAYU/CUST0086,BANK002,CREDIT
TXN0085,2026-03-29,2026-03-29,795.78,INR,NEFT CR-GW-854214-Stripe SETTLEMENT-CUST0441,CMS/GW-854214/STRIPE/CUST0441,BANK001,CREDIT
TXN0086,2026-03-17,2026-03-18,1559.55,INR,NEFT CR-GW-671857-Cashfree SETTLEMENT-CUST0391,CMS/GW-671857/CASHFREE/CUST0391,BANK001,CREDIT
TXN0087,2026-01-21,2026-01-22,1375.02,INR,NEFT CR-GW-471707-Razorpay SETTLEMENT-CUST0199,CMS/GW-471707/RAZORPAY/CUST0199,BANK001,CREDIT
TXN0088,2026-05-19,2026-05-19,9812.29,INR,NEFT CR-GW-694962-Razorpay SETTLEMENT-CUST0140,CMS/GW-694962/RAZORPAY/CUST0140,BANK003,CREDIT
TXN0089,2026-05-15,2026-05-16,65102.69,INR,NEFT CR-GW-989404-PayU SETTLEMENT-CUST0385,CMS/GW-989404/PAYU/CUST0385,BANK002,CREDIT
TXN0090,2026-03-24,2026-03-25,34425.9,INR,NEFT CR-GW-368393-Stripe SETTLEMENT-CUST0024,CMS/GW-368393/STRIPE/CUST0024,BANK003,CREDIT
TXN0091,2026-03-21,2026-03-21,117251.06,INR,NEFT CR-GW-141422-Cashfree SETTLEMENT-CUST0362,CMS/GW-141422/CASHFREE/CUST0362,BANK002,CREDIT
TXN0092,2026-01-30,2026-01-30,123740.45,INR,NEFT CR-GW-150416-Cashfree SETTLEMENT-CUST0371,CMS/GW-150416/CASHFREE/CUST0371,BANK001,CREDIT
TXN0093,2026-05-06,2026-05-07,3207.22,INR,NEFT CR-GW-394994-Cashfree SETTLEMENT-CUST0261,CMS/GW-394994/CASHFREE/CUST0261,BANK001,CREDIT
TXN0094,2026-04-24,2026-04-25,8836.65,INR,NEFT CR-GW-348981-Cashfree SETTLEMENT-CUST0016,CMS/GW-348981/CASHFREE/CUST0016,BANK001,CREDIT
TXN0095,2026-03-25,2026-03-26,16244.75,INR,NEFT CR-GW-279225-Cashfree SETTLEMENT-CUST0210,CMS/GW-279225/CASHFREE/CUST0210,BANK001,CREDIT
TXN0096,2026-06-10,2026-06-10,142115.1,INR,NEFT CR-GW-130880-Razorpay SETTLEMENT-CUST0372,CMS/GW-130880/RAZORPAY/CUST0372,BANK001,CREDIT
TXN0097,2026-05-11,2026-05-11,17569.24,INR,NEFT CR-GW-427666-PayU SETTLEMENT-CUST0437,CMS/GW-427666/PAYU/CUST0437,BANK003,CREDIT
TXN0098,2026-02-07,2026-02-07,68899.66,INR,NEFT CR-GW-596758-PayU SETTLEMENT-CUST0305,CMS/GW-596758/PAYU/CUST0305,BANK003,CREDIT
TXN0099,2026-04-29,2026-04-30,6693.63,INR,NEFT CR-GW-563546-PayU SETTLEMENT-CUST0243,CMS/GW-563546/PAYU/CUST0243,BANK001,CREDIT
TXN0100,2026-06-10,2026-06-10,95268.72,INR,NEFT CR-GW-634893-Cashfree SETTLEMENT-CUST0273,CMS/GW-634893/CASHFREE/CUST0273,BANK001,CREDIT
TXN0101,2026-05-15,2026-05-16,112773.91,INR,NEFT CR-GW-797095-PayU SETTLEMENT-CUST0113,CMS/GW-797095/PAYU/CUST0113,BANK003,CREDIT
TXN0102,2026-01-20,2026-01-21,11725.04,INR,NEFT CR-GW-611207-Razorpay SETTLEMENT-CUST0093,CMS/GW-611207/RAZORPAY/CUST0093,BANK002,CREDIT
TXN0103,2026-01-09,2026-01-09,2422.4,INR,NEFT CR-GW-493009-PayU SETTLEMENT-CUST0441,CMS/GW-493009/PAYU/CUST0441,BANK002,CREDIT
TXN0104,2026-09-23,2026-09-23,75463.93,INR,NEFT CR-GW-220842-PayU SETTLEMENT-CUST0430,CMS/GW-220842/PAYU/CUST0430,BANK001,CREDIT
TXN0105,2026-03-08,2026-03-09,4098.29,INR,NEFT CR-GW-586817-Stripe SETTLEMENT-CUST0411,CMS/GW-586817/STRIPE/CUST0411,BANK001,CREDIT
TXN0106,2026-01-21,2026-01-22,70744.74,INR,NEFT CR-GW-497248-PayU SETTLEMENT-CUST0037,CMS/GW-497248/PAYU/CUST0037,BANK002,CREDIT
TXN0107,2026-06-23,2026-06-23,17700.81,INR,NEFT CR-GW-699314-PayU SETTLEMENT-CUST0381,CMS/GW-699314/PAYU/CUST0381,BANK003,CREDIT
TXN0108,2026-05-10,2026-05-10,19753.16,INR,NEFT CR-GW-287614-PayU SETTLEMENT-CUST0329,CMS/GW-287614/PAYU/CUST0329,BANK003,CREDIT
TXN0109,2026-06-19,2026-06-19,71978.75,INR,NEFT CR-GW-381693-Stripe SETTLEMENT-CUST0196,CMS/GW-381693/STRIPE/CUST0196,BANK003,CREDIT
TXN0110,2026-02-15,2026-02-16,2074.17,INR,NEFT CR-GW-889126-PayU SETTLEMENT-CUST0351,CMS/GW-889126/PAYU/CUST0351,BANK002,CREDIT
TXN0111,2026-05-18,2026-05-19,10234.06,INR,NEFT CR-GW-930441-Cashfree SETTLEMENT-CUST0039,CMS/GW-930441/CASHFREE/CUST0039,BANK002,CREDIT
TXN0112,2026-04-13,2026-04-13,18158.5,INR,NEFT CR-GW-741777-Cashfree SETTLEMENT-CUST0333,CMS/GW-741777/CASHFREE/CUST0333,BANK002,CREDIT
TXN0113,2026-05-06,2026-05-06,142304.98,INR,NEFT CR-GW-663719-Razorpay SETTLEMENT-CUST0236,CMS/GW-663719/RAZORPAY/CUST0236,BANK001,CREDIT
TXN0114,2026-03-30,2026-03-31,78881.25,INR,NEFT CR-GW-209793-Stripe SETTLEMENT-CUST0465,CMS/GW-209793/STRIPE/CUST0465,BANK003,CREDIT
TXN0115,2026-02-01,2026-02-02,772.26,INR,NEFT CR-GW-823405-Stripe SETTLEMENT-CUST0207,CMS/GW-823405/STRIPE/CUST0207,BANK001,CREDIT
TXN0116,2026-02-11,2026-02-12,55135.07,INR,NEFT CR-GW-947919-Razorpay SETTLEMENT-CUST0088,CMS/GW-947919/RAZORPAY/CUST0088,BANK003,CREDIT
TXN0117,2026-05-12,2026-05-13,148988.17,INR,NEFT CR-GW-613757-Razorpay SETTLEMENT-CUST0033,CMS/GW-613757/RAZORPAY/CUST0033,BANK002,CREDIT
TXN0118,2026-04-27,2026-04-28,12188.78,INR,NEFT CR-GW-612032-Cashfree SETTLEMENT-CUST0211,CMS/GW-612032/CASHFREE/CUST0211,BANK001,CREDIT
TXN0119,2026-02-22,2026-02-22,50045.43,INR,NEFT CR-GW-526949-Stripe SETTLEMENT-CUST0201,CMS/GW-526949/STRIPE/CUST0201,BANK001,CREDIT
TXN0120,2026-01-25,2026-01-26,172033.46,INR,NEFT CR-GW-428003-Razorpay SETTLEMENT-CUST0291,CMS/GW-428003/RAZORPAY/CUST0291,BANK003,CREDIT
TXN0121,2026-04-01,2026-04-01,93334.99,INR,NEFT CR-GW-740991-Stripe SETTLEMENT-CUST0409,CMS/GW-740991/STRIPE/CUST0409,BANK002,CREDIT
TXN0122,2026-05-04,2026-05-05,1914.57,INR,NEFT CR-GW-702987-PayU SETTLEMENT-CUST0046,CMS/GW-702987/PAYU/CUST0046,BANK002,CREDIT
TXN0123,2026-05-05,2026-05-05,14659.58,INR,NEFT CR-GW-273348-Razorpay SETTLEMENT-CUST0208,CMS/GW-273348/RAZORPAY/CUST0208,BANK002,CREDIT
TXN0124,2026-04-11,2026-04-11,73099.46,INR,NEFT CR-GW-699116-Razorpay SETTLEMENT-CUST0059,CMS/GW-699116/RAZORPAY/CUST0059,BANK001,CREDIT
TXN0125,2026-02-07,2026-02-08,8937.17,INR,NEFT CR-GW-768402-Razorpay SETTLEMENT-CUST0425,CMS/GW-768402/RAZORPAY/CUST0425,BANK002,CREDIT
TXN0126,2026-03-27,2026-03-28,8386.34,INR,NEFT CR-GW-124935-Stripe SETTLEMENT-CUST0038,CMS/GW-124935/STRIPE/CUST0038,BANK001,CREDIT
TXN0127,2026-06-27,2026-06-28,34895.47,INR,NEFT CR-GW-475946-Stripe SETTLEMENT-CUST0041,CMS/GW-475946/STRIPE/CUST0041,BANK001,CREDIT
TXN0128,2026-04-18,2026-04-18,149642.71,INR,NEFT CR-GW-462580-PayU SETTLEMENT-CUST0365,CMS/GW-462580/PAYU/CUST0365,BANK003,CREDIT
TXN0129,2026-04-27,2026-04-27,195580.93,INR,NEFT CR-GW-315514-Stripe SETTLEMENT-CUST0019,CMS/GW-315514/STRIPE/CUST0019,BANK001,CREDIT
TXN0130,2026-04-17,2026-04-18,17264.29,INR,NEFT CR-GW-627021-Stripe SETTLEMENT-CUST0077,CMS/GW-627021/STRIPE/CUST0077,BANK003,CREDIT
TXN0131,2026-02-24,2026-02-25,45331.57,INR,NEFT CR-GW-932655-Stripe SETTLEMENT-CUST0218,CMS/GW-932655/STRIPE/CUST0218,BANK003,CREDIT
TXN0132,2026-01-25,2026-01-25,74508.78,INR,NEFT CR-GW-871554-Stripe SETTLEMENT-CUST0180,CMS/GW-871554/STRIPE/CUST0180,BANK001,CREDIT
TXN0133,2026-02-24,2026-02-25,2330.85,INR,NEFT CR-GW-569414-Stripe SETTLEMENT-CUST0389,CMS/GW-569414/STRIPE/CUST0389,BANK002,CREDIT
TXN0134,2026-05-19,2026-05-20,19680.69,INR,NEFT CR-GW-525707-Cashfree SETTLEMENT-CUST0253,CMS/GW-525707/CASHFREE/CUST0253,BANK003,CREDIT
TXN0135,2026-05-29,2026-05-29,1330.94,INR,NEFT CR-GW-301529-Cashfree SETTLEMENT-CUST0413,CMS/GW-301529/CASHFREE/CUST0413,BANK001,CREDIT
TXN0136,2026-05-02,2026-05-02,40275.69,INR,NEFT CR-GW-765974-Cashfree SETTLEMENT-CUST0229,CMS/GW-765974/CASHFREE/CUST0229,BANK002,CREDIT
TXN0137,2026-06-29,2026-06-30,13105.94,INR,NEFT CR-GW-436881-Razorpay SETTLEMENT-CUST0356,CMS/GW-436881/RAZORPAY/CUST0356,BANK002,CREDIT
TXN0138,2026-05-04,2026-05-04,4070.98,INR,NEFT CR-GW-650363-Razorpay SETTLEMENT-CUST0205,CMS/GW-650363/RAZORPAY/CUST0205,BANK001,CREDIT
TXN0139,2026-06-02,2026-06-03,23890.0,INR,NEFT CR-GW-459296-Cashfree SETTLEMENT-CUST0301,CMS/GW-459296/CASHFREE/CUST0301,BANK001,CREDIT
TXN0140,2026-06-06,2026-06-07,112179.58,INR,NEFT CR-GW-636064-Cashfree SETTLEMENT-CUST0203,CMS/GW-636064/CASHFREE/CUST0203,BANK002,CREDIT
TXN0141,2026-05-01,2026-05-01,6249.41,INR,NEFT CR-GW-840238-PayU SETTLEMENT-CUST0377,CMS/GW-840238/PAYU/CUST0377,BANK003,CREDIT
TXN0142,2026-03-08,2026-03-08,40283.94,INR,NEFT CR-GW-797911-Cashfree SETTLEMENT-CUST0281,CMS/GW-797911/CASHFREE/CUST0281,BANK002,CREDIT
TXN0143,2026-06-23,2026-06-23,62722.09,INR,NEFT CR-GW-199424-Cashfree SETTLEMENT-CUST0391,CMS/GW-199424/CASHFREE/CUST0391,BANK002,CREDIT
TXN0144,2026-02-19,2026-02-20,1935.15,INR,NEFT CR-GW-289240-Stripe SETTLEMENT-CUST0275,CMS/GW-289240/STRIPE/CUST0275,BANK002,CREDIT
TXN0145,2026-03-18,2026-03-18,3625.31,INR,NEFT CR-GW-540189-Stripe SETTLEMENT-CUST0258,CMS/GW-540189/STRIPE/CUST0258,BANK002,CREDIT
TXN0146,2026-02-13,2026-02-14,2074.17,INR,NEFT CR-GW-889126-PayU SETTLEMENT-CUST0351,CMS/GW-889126/PAYU/CUST0351,BANK001,CREDIT
TXN0147,2026-02-24,2026-02-25,193785.39,INR,NEFT CR-GW-318354-Cashfree SETTLEMENT-CUST0484,CMS/GW-318354/CASHFREE/CUST0484,BANK002,CREDIT
TXN0148,2026-05-07,2026-05-08,103616.63,INR,NEFT CR-GW-694716-Razorpay SETTLEMENT-CUST0313,CMS/GW-694716/RAZORPAY/CUST0313,BANK002,CREDIT
