transaction_id,payment_id,bank_reference,normalized_reference,bank_amount,payment_amount,match_status,reason
TXN0059,PAY0059,CMS/GW-296780/STRIPE/CUST0179,GW-296780,126841.45,126841.45,MATCHED,Bank reference and amount matched payment record.
TXN0060,PAY0060,CMS/GW-596758/PAYU/CUST0305,GW-596758,68899.66,68899.66,MATCHED,Bank reference and amount matched payment record.
TXN0061,PAY0061,CMS/GW-413148/PAYU/CUST0202,GW-413148,129725.17,129725.17,MATCHED,Bank reference and amount matched payment record.
TXN0062,PAY0062,CMS/GW-198335/PAYU/CUST0047,GW-198335,1411.56,1411.56,MATCHED,Bank reference and amount matched payment record.
TXN0063,PAY0063,CMS/GW-165317/CASHFREE/CUST0382,GW-165317,139076.6,139076.6,MATCHED,Bank reference and amount matched payment record.
TXN0064,PAY0064,CMS/GW-595360/RAZORPAY/CUST0276,GW-595360,3414.54,3414.54,MATCHED,Bank reference and amount matched payment record.
TXN0065,PAY0065,CMS/GW-875951/RAZORPAY/CUST0136,GW-875951,2402.03,2402.03,MATCHED,Bank reference and amount matched payment record.
TXN0066,PAY0066,CMS/GW-515803/RAZORPAY/CUST0360,GW-515803,178538.03,178538.03,MATCHED,Bank reference and amount matched payment record.
TXN0067,PAY0067,CMS/GW-295695/PAYU/CUST0366,GW-295695,19807.39,19807.39,MATCHED,Bank reference and amount matched payment record.
TXN0068,PAY0068,CMS/GW-761440/RAZORPAY/CUST0397,GW-761440,50006.63,50006.63,MATCHED,Bank reference and amount matched payment record.
TXN0069,PAY0069,CMS/GW-646912/RAZORPAY/CUST0456,GW-646912,30032.98,30032.98,MATCHED,Bank reference and amount matched payment record.
TXN0070,PAY0070,CMS/GW-582140/PAYU/CUST0136,GW-582140,75070.87,75070.87,MATCHED,Bank reference and amount matched payment record.
TXN0071,PAY0071,CMS/GW-172888/RAZORPAY/CUST0005,GW-172888,4834.33,4834.33,MATCHED,Bank reference and amount matched payment record.
TXN0072,PAY0072,CMS/GW-616686/STRIPE/CUST0068,GW-616686,2702.94,2702.94,MATCHED,Bank reference and amount matched payment record.
TXN0073,PAY0073,CMS/GW-995013/CASHFREE/CUST0017,GW-995013,1903.02,1903.02,MATCHED,Bank reference and amount matched payment record.
TXN0074,PAY0074,CMS/GW-103613/STRIPE/CUST0043,GW-103613,38215.48,38215.48,MATCHED,Bank reference and amount matched payment record.
TXN0075,PAY0075,CMS/GW-245017/RAZORPAY/CUST0387,GW-245017,14850.9,14850.9,MATCHED,Bank reference and amount matched payment record.
TXN0076,PAY0076,CMS/GW-313679/STRIPE/CUST0398,GW-313679,22310.14,22310.14,MATCHED,Bank reference and amount matched payment record.
TXN0077,PAY0077,CMS/GW-124276/CASHFREE/CUST0250,GW-124276,2804.91,2804.91,MATCHED,Bank reference and amount matched payment record.
TXN0078,PAY0280,CMS/GW-439293/STRIPE/CUST0462,GW-439293,4017.37,4017.37,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0079,PAY0079,CMS/GW-335075/PAYU/CUST0281,GW-335075,14103.78,14103.78,MATCHED,Bank reference and amount matched payment record.
TXN0080,PAY0080,CMS/GW-128322/STRIPE/CUST0440,GW-128322,64327.38,64327.38,MATCHED,Bank reference and amount matched payment record.
TXN0081,PAY0081,CMS/GW-163143/CASHFREE/CUST0115,GW-163143,62548.67,62548.67,MATCHED,Bank reference and amount matched payment record.
TXN0082,PAY0082,CMS/GW-502758/STRIPE/CUST0063,GW-502758,15719.35,15719.35,MATCHED,Bank reference and amount matched payment record.
TXN0083,PAY0083,CMS/GW-299636/RAZORPAY/CUST0203,GW-299636,3393.32,3393.32,MATCHED,Bank reference and amount matched payment record.
TXN0084,PAY0084,CMS/GW-332215/PAYU/CUST0086,GW-332215,62932.36,62932.36,MATCHED,Bank reference and amount matched payment record.
TXN0085,PAY0085,CMS/GW-854214/STRIPE/CUST0441,GW-854214,795.78,795.78,MATCHED,Bank reference and amount matched payment record.
TXN0086,PAY0086,CMS/GW-671857/CASHFREE/CUST0391,GW-671857,1559.55,1559.55,MATCHED,Bank reference and amount matched payment record.
TXN0087,PAY0087,CMS/GW-471707/RAZORPAY/CUST0199,GW-471707,1375.02,1375.02,MATCHED,Bank reference and amount matched payment record.
TXN0088,PAY0088,CMS/GW-694962/RAZORPAY/CUST0140,GW-694962,9812.29,10012.54,AMOUNT_MISMATCH,Bank reference matched a payment candidate but amounts differ.
TXN0089,PAY0284,CMS/GW-989404/PAYU/CUST0385,GW-989404,65102.69,65102.69,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0090,PAY0090,CMS/GW-368393/STRIPE/CUST0024,GW-368393,34425.9,34425.9,MATCHED,Bank reference and amount matched payment record.
TXN0091,PAY0091,CMS/GW-141422/CASHFREE/CUST0362,GW-141422,117251.06,117251.06,MATCHED,Bank reference and amount matched payment record.
TXN0092,PAY0092,CMS/GW-150416/CASHFREE/CUST0371,GW-150416,123740.45,123740.45,MATCHED,Bank reference and amount matched payment record.
TXN0093,PAY0093,CMS/GW-394994/CASHFREE/CUST0261,GW-394994,3207.22,3207.22,MATCHED,Bank reference and amount matched payment record.
TXN0094,PAY0366,CMS/GW-348981/CASHFREE/CUST0016,GW-348981,8836.65,8836.65,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0095,PAY0095,CMS/GW-279225/CASHFREE/CUST0210,GW-279225,16244.75,16244.75,MATCHED,Bank reference and amount matched payment record.
TXN0096,PAY0096,CMS/GW-130880/RAZORPAY/CUST0372,GW-130880,142115.1,142115.1,MATCHED,Bank reference and amount matched payment record.
TXN0097,PAY0097,CMS/GW-427666/PAYU/CUST0437,GW-427666,17569.24,17569.24,MATCHED,Bank reference and amount matched payment record.
TXN0098,PAY0060,CMS/GW-596758/PAYU/CUST0305,GW-596758,68899.66,68899.66,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0099,PAY0099,CMS/GW-563546/PAYU/CUST0243,GW-563546,6693.63,6693.63,MATCHED,Bank reference and amount matched payment record.
TXN0100,PAY0100,CMS/GW-634893/CASHFREE/CUST0273,GW-634893,95268.72,95268.72,MATCHED,Bank reference and amount matched payment record.
TXN0101,PAY0101,CMS/GW-797095/PAYU/CUST0113,GW-797095,112773.91,112773.91,MATCHED,Bank reference and amount matched payment record.
TXN0102,PAY0102,CMS/GW-611207/RAZORPAY/CUST0093,GW-611207,11725.04,11725.04,MATCHED,Bank reference and amount matched payment record.
TXN0103,PAY0103,CMS/GW-493009/PAYU/CUST0441,GW-493009,2422.4,2422.4,MATCHED,Bank reference and amount matched payment record.
TXN0104,PAY0104,CMS/GW-220842/PAYU/CUST0430,GW-220842,75463.93,75463.93,MATCHED,Bank reference and amount matched payment record.
TXN0105,PAY0105,CMS/GW-586817/STRIPE/CUST0411,GW-586817,4098.29,4098.29,MATCHED,Bank reference and amount matched payment record.
TXN0106,PAY0106,CMS/GW-497248/PAYU/CUST0037,GW-497248,70744.74,70744.74,MATCHED,Bank reference and amount matched payment record.
TXN0107,PAY0107,CMS/GW-699314/PAYU/CUST0381,GW-699314,17700.81,17700.81,MATCHED,Bank reference and amount matched payment record.
TXN0108,PAY0108,CMS/GW-287614/PAYU/CUST0329,GW-287614,19753.16,19753.16,MATCHED,Bank reference and amount matched payment record.
TXN0109,PAY0109,CMS/GW-381693/STRIPE/CUST0196,GW-381693,71978.75,71978.75,MATCHED,Bank reference and amount matched payment record.
TXN0110,PAY0146,CMS/GW-889126/PAYU/CUST0351,GW-889126,2074.17,2074.17,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0111,PAY0111,CMS/GW-930441/CASHFREE/CUST0039,GW-930441,10234.06,10234.06,MATCHED,Bank reference and amount matched payment record.
TXN0112,PAY0112,CMS/GW-741777/CASHFREE/CUST0333,GW-741777,18158.5,18158.5,MATCHED,Bank reference and amount matched payment record.
TXN0113,PAY0113,CMS/GW-663719/RAZORPAY/CUST0236,GW-663719,142304.98,142304.98,MATCHED,Bank reference and amount matched payment record.
TXN0114,PAY0114,CMS/GW-209793/STRIPE/CUST0465,GW-209793,78881.25,78881.25,MATCHED,Bank reference and amount matched payment record.
TXN0115,PAY0115,CMS/GW-823405/STRIPE/CUST0207,GW-823405,772.26,772.26,MATCHED,Bank reference and amount matched payment record.
TXN0116,PAY0116,CMS/GW-947919/RAZORPAY/CUST0088,GW-947919,55135.07,55135.07,MATCHED,Bank reference and amount matched payment record.
TXN0117,PAY0117,CMS/GW-613757/RAZORPAY/CUST0033,GW-613757,148988.17,148988.17,MATCHED,Bank reference and amount matched payment record.
TXN0118,PAY0118,CMS/GW-612032/CASHFREE/CUST0211,GW-612032,12188.78,12188.78,MATCHED,Bank reference and amount matched payment record.
TXN0119,PAY0119,CMS/GW-526949/STRIPE/CUST0201,GW-526949,50045.43,50045.43,MATCHED,Bank reference and amount matched payment record.
TXN0120,PAY0120,CMS/GW-428003/RAZORPAY/CUST0291,GW-428003,172033.46,172033.46,MATCHED,Bank reference and amount matched payment record.
TXN0121,PAY0121,CMS/GW-740991/STRIPE/CUST0409,GW-740991,93334.99,93334.99,MATCHED,Bank reference and amount matched payment record.
TXN0122,PAY0122,CMS/GW-702987/PAYU/CUST0046,GW-702987,1914.57,1914.57,MATCHED,Bank reference and amount matched payment record.
TXN0123,PAY0123,CMS/GW-273348/RAZORPAY/CUST0208,GW-273348,14659.58,14659.58,MATCHED,Bank reference and amount matched payment record.
TXN0124,PAY0124,CMS/GW-699116/RAZORPAY/CUST0059,GW-699116,73099.46,73099.46,MATCHED,Bank reference and amount matched payment record.
TXN0125,PAY0125,CMS/GW-768402/RAZORPAY/CUST0425,GW-768402,8937.17,8937.17,MATCHED,Bank reference and amount matched payment record.
TXN0126,PAY0126,CMS/GW-124935/STRIPE/CUST0038,GW-124935,8386.34,8386.34,MATCHED,Bank reference and amount matched payment record.
TXN0127,PAY0127,CMS/GW-475946/STRIPE/CUST0041,GW-475946,34895.47,34895.47,MATCHED,Bank reference and amount matched payment record.
TXN0128,PAY0128,CMS/GW-462580/PAYU/CUST0365,GW-462580,149642.71,149642.71,MATCHED,Bank reference and amount matched payment record.
TXN0129,PAY0129,CMS/GW-315514/STRIPE/CUST0019,GW-315514,195580.93,195580.93,MATCHED,Bank reference and amount matched payment record.
TXN0130,PAY0130,CMS/GW-627021/STRIPE/CUST0077,GW-627021,17264.29,17264.29,MATCHED,Bank reference and amount matched payment record.
TXN0131,PAY0131,CMS/GW-932655/STRIPE/CUST0218,GW-932655,45331.57,45331.57,MATCHED,Bank reference and amount matched payment record.
TXN0132,PAY0132,CMS/GW-871554/STRIPE/CUST0180,GW-871554,74508.78,74508.78,MATCHED,Bank reference and amount matched payment record.
TXN0133,PAY0133,CMS/GW-569414/STRIPE/CUST0389,GW-569414,2330.85,2330.85,MATCHED,Bank reference and amount matched payment record.
TXN0134,PAY0134,CMS/GW-525707/CASHFREE/CUST0253,GW-525707,19680.69,19680.69,MATCHED,Bank reference and amount matched payment record.
TXN0135,PAY0135,CMS/GW-301529/CASHFREE/CUST0413,GW-301529,1330.94,1330.94,MATCHED,Bank reference and amount matched payment record.
TXN0136,PAY0136,CMS/GW-765974/CASHFREE/CUST0229,GW-765974,40275.69,40275.69,MATCHED,Bank reference and amount matched payment record.
TXN0137,PAY0137,CMS/GW-436881/RAZORPAY/CUST0356,GW-436881,13105.94,13105.94,MATCHED,Bank reference and amount matched payment record.
TXN0138,PAY0138,CMS/GW-650363/RAZORPAY/CUST0205,GW-650363,4070.98,4070.98,MATCHED,Bank reference and amount matched payment record.
TXN0139,PAY0139,CMS/GW-459296/CASHFREE/CUST0301,GW-459296,23890.0,23890.0,MATCHED,Bank reference and amount matched payment record.
TXN0140,PAY0140,CMS/GW-636064/CASHFREE/CUST0203,GW-636064,112179.58,112179.58,MATCHED,Bank reference and amount matched payment record.
TXN0141,PAY0141,CMS/GW-840238/PAYU/CUST0377,GW-840238,6249.41,6249.41,MATCHED,Bank reference and amount matched payment record.
TXN0142,PAY0142,CMS/GW-797911/CASHFREE/CUST0281,GW-797911,40283.94,40283.94,MATCHED,Bank reference and amount matched payment record.
TXN0143,PAY0143,CMS/GW-199424/CASHFREE/CUST0391,GW-199424,62722.09,62722.09,MATCHED,Bank reference and amount matched payment record.
TXN0144,PAY0144,CMS/GW-289240/STRIPE/CUST0275,GW-289240,1935.15,1935.15,MATCHED,Bank reference and amount matched payment record.
TXN0145,PAY0145,CMS/GW-540189/STRIPE/CUST0258,GW-540189,3625.31,3625.31,MATCHED,Bank reference and amount matched payment record.
TXN0146,PAY0146,CMS/GW-889126/PAYU/CUST0351,GW-889126,2074.17,2074.17,MATCHED,Bank reference and amount matched payment record.
TXN0147,PAY0147,CMS/GW-318354/CASHFREE/CUST0484,GW-318354,193785.39,193785.39,MATCHED,Bank reference and amount matched payment record.
TXN0148,PAY0148,CMS/GW-694716/RAZORPAY/CUST0313,GW-694716,103616.63,103616.63,MATCHED,Bank reference and amount matched payment record.
TXN0149,PAY0149,CMS/GW-918348/RAZORPAY/CUST0313,GW-918348,60298.58,60298.58,MATCHED,Bank reference and amount matched payment record.
TXN0150,PAY0333,CMS/GW-126000/RAZORPAY/CUST0321,GW-126000,3536.78,3536.78,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0151,PAY0151,CMS/GW-149812/CASHFREE/CUST0245,GW-149812,2907.19,2907.19,MATCHED,Bank reference and amount matched payment record.
TXN0152,PAY0355,CMS/GW-569040/PAYU/CUST0045,GW-569040,14579.87,14579.87,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0153,PAY0153,CMS/GW-700831/PAYU/CUST0339,GW-700831,52788.93,52788.93,MATCHED,Bank reference and amount matched payment record.
TXN0154,PAY0154,CMS/GW-543210/CASHFREE/CUST0069,GW-543210,39134.36,39134.36,MATCHED,Bank reference and amount matched payment record.
TXN0155,PAY0155,CMS/GW-887917/RAZORPAY/CUST0284,GW-887917,74391.65,74391.65,MATCHED,Bank reference and amount matched payment record.
TXN0156,PAY0156,CMS/GW-139068/STRIPE/CUST0260,GW-139068,137417.47,137417.47,MATCHED,Bank reference and amount matched payment record.
TXN0157,PAY0157,CMS/GW-668977/CASHFREE/CUST0313,GW-668977,75686.84,75686.84,MATCHED,Bank reference and amount matched payment record.
TXN0158,PAY0158,CMS/GW-185489/CASHFREE/CUST0069,GW-185489,36290.79,36290.79,MATCHED,Bank reference and amount matched payment record.
TXN0159,PAY0159,CMS/GW-311301/STRIPE/CUST0451,GW-311301,68245.1,68245.1,MATCHED,Bank reference and amount matched payment record.
TXN0160,PAY0160,CMS/GW-291938/RAZORPAY/CUST0399,GW-291938,1349.9,1349.9,MATCHED,Bank reference and amount matched payment record.
TXN0161,PAY0161,CMS/GW-673758/STRIPE/CUST0076,GW-673758,11705.07,11705.07,MATCHED,Bank reference and amount matched payment record.
TXN0162,PAY0162,CMS/GW-312226/RAZORPAY/CUST0129,GW-312226,6279.41,6279.41,MATCHED,Bank reference and amount matched payment record.
TXN0163,PAY0163,CMS/GW-598033/STRIPE/CUST0460,GW-598033,20792.11,20792.11,MATCHED,Bank reference and amount matched payment record.
TXN0164,PAY0164,CMS/GW-267759/PAYU/CUST0072,GW-267759,24306.85,24306.85,MATCHED,Bank reference and amount matched payment record.
TXN0165,PAY0165,CMS/GW-572319/PAYU/CUST0482,GW-572319,7076.17,7076.17,MATCHED,Bank reference and amount matched payment record.
TXN0166,PAY0166,CMS/GW-826680/CASHFREE/CUST0307,GW-826680,1145.19,1145.19,MATCHED,Bank reference and amount matched payment record.
TXN0167,PAY0167,CMS/GW-919502/RAZORPAY/CUST0362,GW-919502,2574.76,2574.76,MATCHED,Bank reference and amount matched payment record.
TXN0168,PAY0168,CMS/GW-748216/RAZORPAY/CUST0283,GW-748216,17674.02,17674.02,MATCHED,Bank reference and amount matched payment record.
TXN0169,PAY0169,CMS/GW-602049/PAYU/CUST0303,GW-602049,788.78,788.78,MATCHED,Bank reference and amount matched payment record.
TXN0170,PAY0170,CMS/GW-167971/RAZORPAY/CUST0435,GW-167971,16814.69,16814.69,MATCHED,Bank reference and amount matched payment record.
TXN0171,PAY0171,CMS/GW-886455/RAZORPAY/CUST0031,GW-886455,12994.79,12994.79,MATCHED,Bank reference and amount matched payment record.
TXN0172,PAY0172,CMS/GW-162676/RAZORPAY/CUST0154,GW-162676,125990.66,125990.66,MATCHED,Bank reference and amount matched payment record.
TXN0173,PAY0173,CMS/GW-621272/STRIPE/CUST0492,GW-621272,2744.0,2744.0,MATCHED,Bank reference and amount matched payment record.
TXN0174,PAY0174,CMS/GW-391236/RAZORPAY/CUST0460,GW-391236,41642.41,41642.41,MATCHED,Bank reference and amount matched payment record.
TXN0175,PAY0175,CMS/GW-139330/PAYU/CUST0047,GW-139330,60453.13,60453.13,MATCHED,Bank reference and amount matched payment record.
TXN0176,PAY0176,CMS/GW-760793/CASHFREE/CUST0106,GW-760793,22173.63,22173.63,MATCHED,Bank reference and amount matched payment record.
TXN0177,PAY0177,CMS/GW-234525/CASHFREE/CUST0051,GW-234525,1735.42,1735.42,MATCHED,Bank reference and amount matched payment record.
TXN0178,PAY0178,CMS/GW-703041/PAYU/CUST0024,GW-703041,38623.54,38623.54,MATCHED,Bank reference and amount matched payment record.
TXN0179,PAY0179,CMS/GW-637692/STRIPE/CUST0252,GW-637692,1381.14,1381.14,MATCHED,Bank reference and amount matched payment record.
TXN0180,PAY0180,CMS/GW-552189/PAYU/CUST0097,GW-552189,660.2,660.2,MATCHED,Bank reference and amount matched payment record.
TXN0181,PAY0181,CMS/GW-234119/CASHFREE/CUST0427,GW-234119,47661.41,47661.41,MATCHED,Bank reference and amount matched payment record.
TXN0182,PAY0182,CMS/GW-193420/PAYU/CUST0220,GW-193420,12567.33,12567.33,MATCHED,Bank reference and amount matched payment record.
TXN0183,PAY0183,CMS/GW-300482/STRIPE/CUST0325,GW-300482,44622.91,44622.91,MATCHED,Bank reference and amount matched payment record.
TXN0184,PAY0184,CMS/GW-836903/CASHFREE/CUST0434,GW-836903,21743.62,21743.62,MATCHED,Bank reference and amount matched payment record.
TXN0185,PAY0185,CMS/GW-180266/CASHFREE/CUST0374,GW-180266,37960.34,37960.34,MATCHED,Bank reference and amount matched payment record.
TXN0186,PAY0186,CMS/GW-297042/PAYU/CUST0061,GW-297042,15581.54,15581.54,MATCHED,Bank reference and amount matched payment record.
TXN0187,PAY0187,CMS/GW-853660/RAZORPAY/CUST0449,GW-853660,3878.1,3878.1,MATCHED,Bank reference and amount matched payment record.
TXN0188,PAY0188,CMS/GW-840872/PAYU/CUST0466,GW-840872,64829.8,64829.8,MATCHED,Bank reference and amount matched payment record.
TXN0189,PAY0189,CMS/GW-239044/STRIPE/CUST0473,GW-239044,182788.89,182788.89,MATCHED,Bank reference and amount matched payment record.
TXN0190,PAY0190,CMS/GW-903308/CASHFREE/CUST0416,GW-903308,45985.31,45985.31,MATCHED,Bank reference and amount matched payment record.
TXN0191,PAY0191,CMS/GW-153153/RAZORPAY/CUST0159,GW-153153,169328.02,169328.02,MATCHED,Bank reference and amount matched payment record.
