transaction_id,transaction_date,value_date,amount,currency,description,reference,account_id,transaction_type,normalized_reference,normalized_amount,normalized_transaction_date,normalized_description
TXN0020,2026-04-16,2026-04-16,4550.59,INR,NEFT CR-GW-714475-PayU SETTLEMENT-CUST0383,CMS/GW-714475/PAYU/CUST0383,BANK001,CREDIT,GW-714475,4550.59,2026-04-16,NEFT CR-GW-714475-PAYU SETTLEMENT-CUST0383
TXN0021,2026-07-12,2026-07-13,159394.71,INR,NEFT CR-GW-266213-PayU SETTLEMENT-CUST0217,CMS/GW-266213/PAYU/CUST0217,BANK002,CREDIT,GW-266213,159394.71,2026-07-12,NEFT CR-GW-266213-PAYU SETTLEMENT-CUST0217
TXN0022,2026-04-23,2026-04-23,3229.74,INR,NEFT CR-GW-849528-PayU SETTLEMENT-CUST0323,CMS/GW-849528/PAYU/CUST0323,BANK003,CREDIT,GW-849528,3229.74,2026-04-23,NEFT CR-GW-849528-PAYU SETTLEMENT-CUST0323
TXN0023,2026-02-20,2026-02-21,60650.6,INR,NEFT CR-GW-517649-PayU SETTLEMENT-CUST0222,CMS/GW-517649/PAYU/CUST0222,BANK002,CREDIT,GW-517649,60650.6,2026-02-20,NEFT CR-GW-517649-PAYU SETTLEMENT-CUST0222
TXN0024,2026-02-10,2026-02-11,4069.99,INR,NEFT CR-GW-891576-PayU SETTLEMENT-CUST0250,CMS/GW-891576/PAYU/CUST0250,BANK002,CREDIT,GW-891576,4069.99,2026-02-10,NEFT CR-GW-891576-PAYU SETTLEMENT-CUST0250
TXN0025,2026-05-15,2026-05-16,4758.83,INR,NEFT CR-GW-691793-Cashfree SETTLEMENT-CUST0280,CMS/GW-691793/CASHFREE/CUST0280,BANK003,CREDIT,GW-691793,4758.83,2026-05-15,NEFT CR-GW-691793-CASHFREE SETTLEMENT-CUST0280
TXN0026,2026-02-09,2026-02-09,30052.23,INR,NEFT CR-GW-885310-Razorpay SETTLEMENT-CUST0012,CMS/GW-885310/RAZORPAY/CUST0012,BANK003,CREDIT,GW-885310,30052.23,2026-02-09,NEFT CR-GW-885310-RAZORPAY SETTLEMENT-CUST0012
TXN0027,2026-03-25,2026-03-25,19339.28,INR,NEFT CR-GW-539214-PayU SETTLEMENT-CUST0079,CMS/GW-539214/PAYU/CUST0079,BANK001,CREDIT,GW-539214,19339.28,2026-03-25,NEFT CR-GW-539214-PAYU SETTLEMENT-CUST0079
TXN0028,2026-02-07,2026-02-07,12632.38,INR,NEFT CR-GW-655260-Razorpay SETTLEMENT-CUST0394,CMS/GW-655260/RAZORPAY/CUST0394,BANK002,CREDIT,GW-655260,12632.38,2026-02-07,NEFT CR-GW-655260-RAZORPAY SETTLEMENT-CUST0394
TXN0029,2026-04-26,2026-04-26,3111.55,INR,NEFT CR-GW-944984-PayU SETTLEMENT-CUST0393,CMS/GW-944984/PAYU/CUST0393,BANK002,CREDIT,GW-944984,3111.55,2026-04-26,NEFT CR-GW-944984-PAYU SETTLEMENT-CUST0393
TXN0030,2026-05-07,2026-05-08,4123.39,INR,NEFT CR-GW-650210-Stripe SETTLEMENT-CUST0414,CMS/GW-650210/STRIPE/CUST0414,BANK001,CREDIT,GW-650210,4123.39,2026-05-07,NEFT CR-GW-650210-STRIPE SETTLEMENT-CUST0414
TXN0031,2026-07-04,2026-07-04,4113.83,INR,NEFT CR-GW-981743-Cashfree SETTLEMENT-CUST0112,CMS/GW-981743/CASHFREE/CUST0112,BANK001,CREDIT,GW-981743,4113.83,2026-07-04,NEFT CR-GW-981743-CASHFREE SETTLEMENT-CUST0112
TXN0032,2026-06-16,2026-06-16,58976.08,INR,NEFT CR-GW-674046-Stripe SETTLEMENT-CUST0087,CMS/GW-674046/STRIPE/CUST0087,BANK001,CREDIT,GW-674046,58976.08,2026-06-16,NEFT CR-GW-674046-STRIPE SETTLEMENT-CUST0087
TXN0033,2026-06-21,2026-06-21,146705.82,INR,NEFT CR-GW-279907-Stripe SETTLEMENT-CUST0275,CMS/GW-279907/STRIPE/CUST0275,BANK002,CREDIT,GW-279907,146705.82,2026-06-21,NEFT CR-GW-279907-STRIPE SETTLEMENT-CUST0275
TXN0034,2026-06-19,2026-06-20,6848.31,INR,NEFT CR-GW-962732-Stripe SETTLEMENT-CUST0143,CMS/GW-962732/STRIPE/CUST0143,BANK002,CREDIT,GW-962732,6848.31,2026-06-19,NEFT CR-GW-962732-STRIPE SETTLEMENT-CUST0143
TXN0035,2026-02-04,2026-02-04,139762.26,INR,NEFT CR-GW-637197-PayU SETTLEMENT-CUST0282,CMS/GW-637197/PAYU/CUST0282,BANK001,CREDIT,GW-637197,139762.26,2026-02-04,NEFT CR-GW-637197-PAYU SETTLEMENT-CUST0282
TXN0036,2026-04-09,2026-04-09,16883.21,INR,NEFT CR-GW-129939-Razorpay SETTLEMENT-CUST0060,CMS/GW-129939/RAZORPAY/CUST0060,BANK003,CREDIT,GW-129939,16883.21,2026-04-09,NEFT CR-GW-129939-RAZORPAY SETTLEMENT-CUST0060
TXN0037,2026-02-15,2026-02-16,4795.26,INR,NEFT CR-GW-254804-PayU SETTLEMENT-CUST0242,CMS/GW-254804/PAYU/CUST0242,BANK001,CREDIT,GW-254804,4795.26,2026-02-15,NEFT CR-GW-254804-PAYU SETTLEMENT-CUST0242
TXN0038,2026-06-12,2026-06-13,179833.65,INR,NEFT CR-GW-387007-Cashfree SETTLEMENT-CUST0196,CMS/GW-387007/CASHFREE/CUST0196,BANK002,CREDIT,GW-387007,179833.65,2026-06-12,NEFT CR-GW-387007-CASHFREE SETTLEMENT-CUST0196
TXN0039,2026-06-10,2026-06-10,2612.75,INR,NEFT CR-GW-833011-Stripe SETTLEMENT-CUST0379,CMS/GW-833011/STRIPE/CUST0379,BANK001,CREDIT,GW-833011,2612.75,2026-06-10,NEFT CR-GW-833011-STRIPE SETTLEMENT-CUST0379
TXN0040,2026-04-26,2026-04-27,60449.68,INR,NEFT CR-GW-827299-Cashfree SETTLEMENT-CUST0410,CMS/GW-827299/CASHFREE/CUST0410,BANK001,CREDIT,GW-827299,60449.68,2026-04-26,NEFT CR-GW-827299-CASHFREE SETTLEMENT-CUST0410
TXN0041,2026-07-30,2026-07-31,21495.63,INR,NEFT CR-GW-767277-Cashfree SETTLEMENT-CUST0261,CMS/GW-767277/CASHFREE/CUST0261,BANK003,CREDIT,GW-767277,21495.63,2026-07-30,NEFT CR-GW-767277-CASHFREE SETTLEMENT-CUST0261
TXN0042,2026-06-05,2026-06-05,79121.27,INR,NEFT CR-GW-972078-PayU SETTLEMENT-CUST0264,CMS/GW-972078/PAYU/CUST0264,BANK002,CREDIT,GW-972078,79121.27,2026-06-05,NEFT CR-GW-972078-PAYU SETTLEMENT-CUST0264
TXN0043,2026-04-22,2026-04-22,176041.58,INR,NEFT CR-GW-212187-Razorpay SETTLEMENT-CUST0270,CMS/GW-212187/RAZORPAY/CUST0270,BANK003,CREDIT,GW-212187,176041.58,2026-04-22,NEFT CR-GW-212187-RAZORPAY SETTLEMENT-CUST0270
TXN0044,2026-05-02,2026-05-03,2459.51,INR,NEFT CR-GW-516855-Stripe SETTLEMENT-CUST0202,CMS/GW-516855/STRIPE/CUST0202,BANK002,CREDIT,GW-516855,2459.51,2026-05-02,NEFT CR-GW-516855-STRIPE SETTLEMENT-CUST0202
TXN0045,2026-03-27,2026-03-28,6934.26,INR,NEFT CR-GW-204379-Cashfree SETTLEMENT-CUST0121,CMS/GW-204379/CASHFREE/CUST0121,BANK003,CREDIT,GW-204379,6934.26,2026-03-27,NEFT CR-GW-204379-CASHFREE SETTLEMENT-CUST0121
TXN0046,2026-02-05,2026-02-05,2058.94,INR,NEFT CR-GW-890193-Cashfree SETTLEMENT-CUST0093,CMS/GW-890193/CASHFREE/CUST0093,BANK002,CREDIT,GW-890193,2058.94,2026-02-05,NEFT CR-GW-890193-CASHFREE SETTLEMENT-CUST0093
TXN0047,2026-01-20,2026-01-20,2740.43,INR,NEFT CR-GW-548947-Stripe SETTLEMENT-CUST0449,CMS/GW-548947/STRIPE/CUST0449,BANK001,CREDIT,GW-548947,2740.43,2026-01-20,NEFT CR-GW-548947-STRIPE SETTLEMENT-CUST0449
TXN0048,2026-02-14,2026-02-15,110975.23,INR,NEFT CR-GW-482619-Stripe SETTLEMENT-CUST0180,CMS/GW-482619/STRIPE/CUST0180,BANK002,CREDIT,GW-482619,110975.23,2026-02-14,NEFT CR-GW-482619-STRIPE SETTLEMENT-CUST0180
TXN0049,2026-06-11,2026-06-12,101753.71,INR,NEFT CR-GW-682503-Razorpay SETTLEMENT-CUST0440,CMS/GW-682503/RAZORPAY/CUST0440,BANK003,CREDIT,GW-682503,101753.71,2026-06-11,NEFT CR-GW-682503-RAZORPAY SETTLEMENT-CUST0440
TXN0050,2026-03-10,2026-03-10,57481.25,INR,NEFT CR-GW-215681-PayU SETTLEMENT-CUST0437,CMS/GW-215681/PAYU/CUST0437,BANK003,CREDIT,GW-215681,57481.25,2026-03-10,NEFT CR-GW-215681-PAYU SETTLEMENT-CUST0437
TXN0051,2026-06-18,2026-06-19,135412.14,INR,NEFT CR-GW-490729-Razorpay SETTLEMENT-CUST0163,CMS/GW-490729/RAZORPAY/CUST0163,BANK002,CREDIT,GW-490729,135412.14,2026-06-18,NEFT CR-GW-490729-RAZORPAY SETTLEMENT-CUST0163
TXN0052,2026-04-05,2026-04-05,81202.44,INR,NEFT CR-GW-732490-Razorpay SETTLEMENT-CUST0008,CMS/GW-732490/RAZORPAY/CUST0008,BANK002,CREDIT,GW-732490,81202.44,2026-04-05,NEFT CR-GW-732490-RAZORPAY SETTLEMENT-CUST0008
TXN0053,2026-03-08,2026-03-09,22295.29,INR,NEFT CR-GW-339996-Razorpay SETTLEMENT-CUST0222,CMS/GW-339996/RAZORPAY/CUST0222,BANK001,CREDIT,GW-339996,22295.29,2026-03-08,NEFT CR-GW-339996-RAZORPAY SETTLEMENT-CUST0222
TXN0054,2026-06-17,2026-06-18,92971.23,INR,NEFT CR-GW-828496-Razorpay SETTLEMENT-CUST0347,CMS/GW-828496/RAZORPAY/CUST0347,BANK001,CREDIT,GW-828496,92971.23,2026-06-17,NEFT CR-GW-828496-RAZORPAY SETTLEMENT-CUST0347
TXN0055,2026-05-30,2026-05-30,190671.09,INR,NEFT CR-GW-534795-Razorpay SETTLEMENT-CUST0226,CMS/GW-534795/RAZORPAY/CUST0226,BANK003,CREDIT,GW-534795,190671.09,2026-05-30,NEFT CR-GW-534795-RAZORPAY SETTLEMENT-CUST0226
TXN0056,2026-01-18,2026-01-19,13251.73,INR,NEFT CR-GW-916072-PayU SETTLEMENT-CUST0025,CMS/GW-916072/PAYU/CUST0025,BANK002,CREDIT,GW-916072,13251.73,2026-01-18,NEFT CR-GW-916072-PAYU SETTLEMENT-CUST0025
TXN0057,2026-04-29,2026-04-29,33757.57,INR,NEFT CR-GW-302713-Razorpay SETTLEMENT-CUST0494,CMS/GW-302713/RAZORPAY/CUST0494,BANK002,CREDIT,GW-302713,33757.57,2026-04-29,NEFT CR-GW-302713-RAZORPAY SETTLEMENT-CUST0494
TXN0058,2026-01-23,2026-01-23,40204.74,INR,NEFT CR-GW-418384-Razorpay SETTLEMENT-CUST0496,CMS/GW-418384/RAZORPAY/CUST0496,BANK003,CREDIT,GW-418384,40204.74,2026-01-23,NEFT CR-GW-418384-RAZORPAY SETTLEMENT-CUST0496
TXN0059,2026-02-07,2026-02-08,126841.45,INR,NEFT CR-GW-296780-Stripe SETTLEMENT-CUST0179,CMS/GW-296780/STRIPE/CUST0179,BANK003,CREDIT,GW-296780,126841.45,2026-02-07,NEFT CR-GW-296780-STRIPE SETTLEMENT-CUST0179
TXN0060,2026-02-05,2026-02-05,68899.66,INR,NEFT CR-GW-596758-PayU SETTLEMENT-CUST0305,CMS/GW-596758/PAYU/CUST0305,BANK002,CREDIT,GW-596758,68899.66,2026-02-05,NEFT CR-GW-596758-PAYU SETTLEMENT-CUST0305
TXN0061,2026-01-29,2026-01-29,129725.17,INR,NEFT CR-GW-413148-PayU SETTLEMENT-CUST0202,CMS/GW-413148/PAYU/CUST0202,BANK002,CREDIT,GW-413148,129725.17,2026-01-29,NEFT CR-GW-413148-PAYU SETTLEMENT-CUST0202
TXN0062,2026-03-22,2026-03-23,1411.56,INR,NEFT CR-GW-198335-PayU SETTLEMENT-CUST0047,CMS/GW-198335/PAYU/CUST0047,BANK003,CREDIT,GW-198335,1411.56,2026-03-22,NEFT CR-GW-198335-PAYU SETTLEMENT-CUST0047
TXN0063,2026-06-16,2026-06-17,139076.6,INR,NEFT CR-GW-165317-Cashfree SETTLEMENT-CUST0382,CMS/GW-165317/CASHFREE/CUST0382,BANK002,CREDIT,GW-165317,139076.6,2026-06-16,NEFT CR-GW-165317-CASHFREE SETTLEMENT-CUST0382
TXN0064,2026-01-28,2026-01-28,3414.54,INR,NEFT CR-GW-595360-Razorpay SETTLEMENT-CUST0276,CMS/GW-595360/RAZORPAY/CUST0276,BANK001,CREDIT,GW-595360,3414.54,2026-01-28,NEFT CR-GW-595360-RAZORPAY SETTLEMENT-CUST0276
TXN0065,2026-02-13,2026-02-14,2402.03,INR,NEFT CR-GW-875951-Razorpay SETTLEMENT-CUST0136,CMS/GW-875951/RAZORPAY/CUST0136,BANK001,CREDIT,GW-875951,2402.03,2026-02-13,NEFT CR-GW-875951-RAZORPAY SETTLEMENT-CUST0136
TXN0066,2026-06-06,2026-06-07,178538.03,INR,NEFT CR-GW-515803-Razorpay SETTLEMENT-CUST0360,CMS/GW-515803/RAZORPAY/CUST0360,BANK002,CREDIT,GW-515803,178538.03,2026-06-06,NEFT CR-GW-515803-RAZORPAY SETTLEMENT-CUST0360
TXN0067,2026-03-08,2026-03-08,19807.39,INR,NEFT CR-GW-295695-PayU SETTLEMENT-CUST0366,CMS/GW-295695/PAYU/CUST0366,BANK003,CREDIT,GW-295695,19807.39,2026-03-08,NEFT CR-GW-295695-PAYU SETTLEMENT-CUST0366
TXN0068,2026-03-06,2026-03-07,50006.63,INR,NEFT CR-GW-761440-Razorpay SETTLEMENT-CUST0397,CMS/GW-761440/RAZORPAY/CUST0397,BANK002,CREDIT,GW-761440,50006.63,2026-03-06,NEFT CR-GW-761440-RAZORPAY SETTLEMENT-CUST0397
TXN0069,2026-05-15,2026-05-16,30032.98,INR,NEFT CR-GW-646912-Razorpay SETTLEMENT-CUST0456,CMS/GW-646912/RAZORPAY/CUST0456,BANK001,CREDIT,GW-646912,30032.98,2026-05-15,NEFT CR-GW-646912-RAZORPAY SETTLEMENT-CUST0456
TXN0070,2026-06-11,2026-06-12,75070.87,INR,NEFT CR-GW-582140-PayU SETTLEMENT-CUST0136,CMS/GW-582140/PAYU/CUST0136,BANK002,CREDIT,GW-582140,75070.87,2026-06-11,NEFT CR-GW-582140-PAYU SETTLEMENT-CUST0136
TXN0071,2026-02-20,2026-02-20,4834.33,INR,NEFT CR-GW-172888-Razorpay SETTLEMENT-CUST0005,CMS/GW-172888/RAZORPAY/CUST0005,BANK003,CREDIT,GW-172888,4834.33,2026-02-20,NEFT CR-GW-172888-RAZORPAY SETTLEMENT-CUST0005
TXN0072,2026-01-06,2026-01-06,2702.94,INR,NEFT CR-GW-616686-Stripe SETTLEMENT-CUST0068,CMS/GW-616686/STRIPE/CUST0068,BANK002,CREDIT,GW-616686,2702.94,2026-01-06,NEFT CR-GW-616686-STRIPE SETTLEMENT-CUST0068
TXN0073,2026-02-26,2026-02-27,1903.02,INR,NEFT CR-GW-995013-Cashfree SETTLEMENT-CUST0017,CMS/GW-995013/CASHFREE/CUST0017,BANK002,CREDIT,GW-995013,1903.02,2026-02-26,NEFT CR-GW-995013-CASHFREE SETTLEMENT-CUST0017
TXN0074,2026-01-21,2026-01-21,38215.48,INR,NEFT CR-GW-103613-Stripe SETTLEMENT-CUST0043,CMS/GW-103613/STRIPE/CUST0043,BANK001,CREDIT,GW-103613,38215.48,2026-01-21,NEFT CR-GW-103613-STRIPE SETTLEMENT-CUST0043
TXN0075,2026-04-24,2026-04-24,14850.9,INR,NEFT CR-GW-245017-Razorpay SETTLEMENT-CUST0387,CMS/GW-245017/RAZORPAY/CUST0387,BANK001,CREDIT,GW-245017,14850.9,2026-04-24,NEFT CR-GW-245017-RAZORPAY SETTLEMENT-CUST0387
TXN0076,2026-06-09,2026-06-10,22310.14,INR,NEFT CR-GW-313679-Stripe SETTLEMENT-CUST0398,CMS/GW-313679/STRIPE/CUST0398,BANK001,CREDIT,GW-313679,22310.14,2026-06-09,NEFT CR-GW-313679-STRIPE SETTLEMENT-CUST0398
TXN0077,2026-06-27,2026-06-28,2804.91,INR,NEFT CR-GW-124276-Cashfree SETTLEMENT-CUST0250,CMS/GW-124276/CASHFREE/CUST0250,BANK002,CREDIT,GW-124276,2804.91,2026-06-27,NEFT CR-GW-124276-CASHFREE SETTLEMENT-CUST0250
TXN0078,2026-05-01,2026-05-02,4017.37,INR,NEFT CR-GW-439293-Stripe SETTLEMENT-CUST0462,CMS/GW-439293/STRIPE/CUST0462,BANK002,CREDIT,GW-439293,4017.37,2026-05-01,NEFT CR-GW-439293-STRIPE SETTLEMENT-CUST0462
TXN0079,2026-01-28,2026-01-28,14103.78,INR,NEFT CR-GW-335075-PayU SETTLEMENT-CUST0281,CMS/GW-335075/PAYU/CUST0281,BANK003,CREDIT,GW-335075,14103.78,2026-01-28,NEFT CR-GW-335075-PAYU SETTLEMENT-CUST0281
TXN0080,2026-06-07,2026-06-08,64327.38,INR,NEFT CR-GW-128322-Stripe SETTLEMENT-CUST0440,CMS/GW-128322/STRIPE/CUST0440,BANK003,CREDIT,GW-128322,64327.38,2026-06-07,NEFT CR-GW-128322-STRIPE SETTLEMENT-CUST0440
TXN0081,2026-04-30,2026-05-01,62548.67,INR,NEFT CR-GW-163143-Cashfree SETTLEMENT-CUST0115,CMS/GW-163143/CASHFREE/CUST0115,BANK002,CREDIT,GW-163143,62548.67,2026-04-30,NEFT CR-GW-163143-CASHFREE SETTLEMENT-CUST0115
TXN0082,2026-03-28,2026-03-29,15719.35,INR,NEFT CR-GW-502758-Stripe SETTLEMENT-CUST0063,CMS/GW-502758/STRIPE/CUST0063,BANK002,CREDIT,GW-502758,15719.35,2026-03-28,NEFT CR-GW-502758-STRIPE SETTLEMENT-CUST0063
TXN0083,2026-07-01,2026-07-02,3393.32,INR,NEFT CR-GW-299636-Razorpay SETTLEMENT-CUST0203,CMS/GW-299636/RAZORPAY/CUST0203,BANK001,CREDIT,GW-299636,3393.32,2026-07-01,NEFT CR-GW-299636-RAZORPAY SETTLEMENT-CUST0203
TXN0084,2026-02-03,2026-02-04,62932.36,INR,NEFT CR-GW-332215-PayU SETTLEMENT-CUST0086,CMS/GW-332215/PAYU/CUST0086,BANK002,CREDIT,GW-332215,62932.36,2026-02-03,NEFT CR-GW-332215-PAYU SETTLEMENT-CUST0086
TXN0085,2026-03-29,2026-03-29,795.78,INR,NEFT CR-GW-854214-Stripe SETTLEMENT-CUST0441,CMS/GW-854214/STRIPE/CUST0441,BANK001,CREDIT,GW-854214,795.78,2026-03-29,NEFT CR-GW-854214-STRIPE SETTLEMENT-CUST0441
TXN0086,2026-03-17,2026-03-18,1559.55,INR,NEFT CR-GW-671857-Cashfree SETTLEMENT-CUST0391,CMS/GW-671857/CASHFREE/CUST0391,BANK001,CREDIT,GW-671857,1559.55,2026-03-17,NEFT CR-GW-671857-CASHFREE SETTLEMENT-CUST0391
TXN0087,2026-01-21,2026-01-22,1375.02,INR,NEFT CR-GW-471707-Razorpay SETTLEMENT-CUST0199,CMS/GW-471707/RAZORPAY/CUST0199,BANK001,CREDIT,GW-471707,1375.02,2026-01-21,NEFT CR-GW-471707-RAZORPAY SETTLEMENT-CUST0199
TXN0088,2026-05-19,2026-05-19,9812.29,INR,NEFT CR-GW-694962-Razorpay SETTLEMENT-CUST0140,CMS/GW-694962/RAZORPAY/CUST0140,BANK003,CREDIT,GW-694962,9812.29,2026-05-19,NEFT CR-GW-694962-RAZORPAY SETTLEMENT-CUST0140
TXN0089,2026-05-15,2026-05-16,65102.69,INR,NEFT CR-GW-989404-PayU SETTLEMENT-CUST0385,CMS/GW-989404/PAYU/CUST0385,BANK002,CREDIT,GW-989404,65102.69,2026-05-15,NEFT CR-GW-989404-PAYU SETTLEMENT-CUST0385
TXN0090,2026-03-24,2026-03-25,34425.9,INR,NEFT CR-GW-368393-Stripe SETTLEMENT-CUST0024,CMS/GW-368393/STRIPE/CUST0024,BANK003,CREDIT,GW-368393,34425.9,2026-03-24,NEFT CR-GW-368393-STRIPE SETTLEMENT-CUST0024
TXN0091,2026-03-21,2026-03-21,117251.06,INR,NEFT CR-GW-141422-Cashfree SETTLEMENT-CUST0362,CMS/GW-141422/CASHFREE/CUST0362,BANK002,CREDIT,GW-141422,117251.06,2026-03-21,NEFT CR-GW-141422-CASHFREE SETTLEMENT-CUST0362
TXN0092,2026-01-30,2026-01-30,123740.45,INR,NEFT CR-GW-150416-Cashfree SETTLEMENT-CUST0371,CMS/GW-150416/CASHFREE/CUST0371,BANK001,CREDIT,GW-150416,123740.45,2026-01-30,NEFT CR-GW-150416-CASHFREE SETTLEMENT-CUST0371
TXN0093,2026-05-06,2026-05-07,3207.22,INR,NEFT CR-GW-394994-Cashfree SETTLEMENT-CUST0261,CMS/GW-394994/CASHFREE/CUST0261,BANK001,CREDIT,GW-394994,3207.22,2026-05-06,NEFT CR-GW-394994-CASHFREE SETTLEMENT-CUST0261
TXN0094,2026-04-24,2026-04-25,8836.65,INR,NEFT CR-GW-348981-Cashfree SETTLEMENT-CUST0016,CMS/GW-348981/CASHFREE/CUST0016,BANK001,CREDIT,GW-348981,8836.65,2026-04-24,NEFT CR-GW-348981-CASHFREE SETTLEMENT-CUST0016
TXN0095,2026-03-25,2026-03-26,16244.75,INR,NEFT CR-GW-279225-Cashfree SETTLEMENT-CUST0210,CMS/GW-279225/CASHFREE/CUST0210,BANK001,CREDIT,GW-279225,16244.75,2026-03-25,NEFT CR-GW-279225-CASHFREE SETTLEMENT-CUST0210
