payment_id,invoice_id,customer_id,payment_date,amount,currency,gateway,gateway_reference,payment_method,payment_status,normalized_reference,normalized_amount,normalized_payment_date
PAY0063,INV0063,CUST0382,2026-06-12,139076.6,INR,Cashfree,GW-165317,Card,SUCCESS,GW-165317,139076.6,2026-06-12
PAY0064,INV0064,CUST0276,2026-01-26,3414.54,INR,Razorpay,GW-595360,NetBanking,SUCCESS,GW-595360,3414.54,2026-01-26
PAY0065,INV0065,CUST0136,2026-01-31,2402.03,INR,Razorpay,GW-875951,Wallet,SUCCESS,GW-875951,2402.03,2026-01-31
PAY0066,INV0066,CUST0360,2026-06-05,178538.03,INR,Razorpay,GW-515803,Wallet,SUCCESS,GW-515803,178538.03,2026-06-05
PAY0067,INV0067,CUST0366,2026-03-08,19807.39,INR,PayU,GW-295695,UPI,SUCCESS,GW-295695,19807.39,2026-03-08
PAY0068,INV0068,CUST0397,2026-03-04,50006.63,INR,Razorpay,GW-761440,UPI,SUCCESS,GW-761440,50006.63,2026-03-04
PAY0069,INV0069,CUST0456,2026-05-15,30032.98,INR,Razorpay,GW-646912,NetBanking,FAILED,GW-646912,30032.98,2026-05-15
PAY0070,INV0070,CUST0136,2026-06-10,75070.87,INR,PayU,GW-582140,UPI,SUCCESS,GW-582140,75070.87,2026-06-10
PAY0071,INV0071,CUST0005,2026-02-20,4834.33,INR,Razorpay,GW-172888,UPI,SUCCESS,GW-172888,4834.33,2026-02-20
PAY0072,INV0072,CUST0068,2026-01-06,2702.94,INR,Stripe,GW-616686,NetBanking,SUCCESS,GW-616686,2702.94,2026-01-06
PAY0073,INV0073,CUST0017,2026-02-24,1903.02,INR,Cashfree,GW-995013,UPI,SUCCESS,GW-995013,1903.02,2026-02-24
PAY0074,INV0074,CUST0043,2026-01-21,38215.48,INR,Stripe,GW-103613,UPI,SUCCESS,GW-103613,38215.48,2026-01-21
PAY0075,INV0075,CUST0387,2026-04-24,14850.9,INR,Razorpay,GW-245017,Wallet,SUCCESS,GW-245017,14850.9,2026-04-24
PAY0076,INV0076,CUST0398,2026-06-08,22310.14,INR,Stripe,GW-313679,UPI,SUCCESS,GW-313679,22310.14,2026-06-08
PAY0077,INV0077,CUST0250,2026-06-27,2804.91,INR,Cashfree,GW-124276,Wallet,SUCCESS,GW-124276,2804.91,2026-06-27
PAY0078,INV0078,CUST0279,2026-03-25,119573.13,INR,Cashfree,GW-DUP-0068,NetBanking,SUCCESS,GW-DUP-0068,119573.13,2026-03-25
PAY0079,INV0079,CUST0281,2026-01-27,14103.78,INR,PayU,GW-335075,Wallet,SUCCESS,GW-335075,14103.78,2026-01-27
PAY0080,INV0080,CUST0440,2026-06-07,64327.38,INR,Stripe,GW-128322,Card,SUCCESS,GW-128322,64327.38,2026-06-07
PAY0081,INV0081,CUST0115,2026-04-30,62548.67,INR,Cashfree,GW-163143,UPI,SUCCESS,GW-163143,62548.67,2026-04-30
PAY0082,INV0082,CUST0063,2026-03-24,15719.35,INR,Stripe,GW-502758,Card,SUCCESS,GW-502758,15719.35,2026-03-24
PAY0083,INV0083,CUST0203,2026-06-28,3393.32,INR,Razorpay,GW-299636,Card,SUCCESS,GW-299636,3393.32,2026-06-28
PAY0084,INV0084,CUST0086,2026-02-03,62932.36,INR,PayU,GW-332215,NetBanking,SUCCESS,GW-332215,62932.36,2026-02-03
PAY0085,INV0085,CUST0441,2026-03-27,795.78,INR,Stripe,GW-854214,Wallet,SUCCESS,GW-854214,795.78,2026-03-27
PAY0086,INV0086,CUST0391,2026-03-15,1559.55,INR,Cashfree,GW-671857,UPI,SUCCESS,GW-671857,1559.55,2026-03-15
PAY0087,INV0087,CUST0199,2026-01-21,1375.02,INR,Razorpay,GW-471707,NetBanking,SUCCESS,GW-471707,1375.02,2026-01-21
PAY0088,INV0088,CUST0140,2026-05-19,10012.54,INR,Razorpay,GW-694962,UPI,SUCCESS,GW-694962,10012.54,2026-05-19
PAY0089,INV0089,CUST0326,2026-01-18,7641.58,INR,Stripe,GW-DUP-0081,Wallet,SUCCESS,GW-DUP-0081,7641.58,2026-01-18
PAY0090,INV0090,CUST0024,2026-03-18,34425.9,INR,Stripe,GW-368393,NetBanking,SUCCESS,GW-368393,34425.9,2026-03-18
PAY0091,INV0091,CUST0362,2026-02-13,117251.06,INR,Cashfree,GW-141422,Card,SUCCESS,GW-141422,117251.06,2026-02-13
PAY0092,INV0092,CUST0371,2026-01-14,123740.45,INR,Cashfree,GW-150416,Card,SUCCESS,GW-150416,123740.45,2026-01-14
PAY0093,INV0093,CUST0261,2026-05-04,3207.22,INR,Cashfree,GW-394994,Card,SUCCESS,GW-394994,3207.22,2026-05-04
PAY0094,INV0094,CUST0236,2026-02-18,190182.21,INR,Razorpay,GW-DUP-0085,Card,SUCCESS,GW-DUP-0085,190182.21,2026-02-18
PAY0095,INV0095,CUST0210,2026-03-23,16244.75,INR,Cashfree,GW-279225,NetBanking,SUCCESS,GW-279225,16244.75,2026-03-23
PAY0096,INV0096,CUST0372,2026-06-10,142115.1,INR,Razorpay,GW-130880,NetBanking,SUCCESS,GW-130880,142115.1,2026-06-10
PAY0097,INV0097,CUST0437,2026-05-11,17569.24,INR,PayU,GW-427666,NetBanking,SUCCESS,GW-427666,17569.24,2026-05-11
PAY0098,INV0098,CUST0195,2026-02-12,71617.48,INR,Cashfree,GW-DUP-0094,NetBanking,SUCCESS,GW-DUP-0094,71617.48,2026-02-12
PAY0099,INV0099,CUST0243,2026-04-25,6693.63,INR,PayU,GW-563546,Wallet,SUCCESS,GW-563546,6693.63,2026-04-25
PAY0100,INV0100,CUST0273,2026-06-06,95268.72,INR,Cashfree,GW-634893,Wallet,SUCCESS,GW-634893,95268.72,2026-06-06
PAY0101,INV0101,CUST0113,2026-05-15,112773.91,INR,PayU,GW-797095,UPI,SUCCESS,GW-797095,112773.91,2026-05-15
PAY0102,INV0102,CUST0093,2026-01-18,11725.04,INR,Razorpay,GW-611207,Wallet,SUCCESS,GW-611207,11725.04,2026-01-18
PAY0103,INV0103,CUST0441,2026-01-09,2422.4,INR,PayU,GW-493009,Card,SUCCESS,GW-493009,2422.4,2026-01-09
PAY0104,INV0104,CUST0430,2026-06-17,75463.93,INR,PayU,GW-220842,Card,SUCCESS,GW-220842,75463.93,2026-06-17
PAY0105,INV0105,CUST0411,2026-03-06,4098.29,INR,Stripe,GW-586817,UPI,SUCCESS,GW-586817,4098.29,2026-03-06
PAY0106,INV0106,CUST0037,2026-01-18,70744.74,INR,PayU,GW-497248,UPI,SUCCESS,GW-497248,70744.74,2026-01-18
PAY0107,INV0107,CUST0381,2026-06-23,17700.81,INR,PayU,GW-699314,UPI,SUCCESS,GW-699314,17700.81,2026-06-23
PAY0108,INV0108,CUST0329,2026-05-10,19753.16,INR,PayU,GW-287614,NetBanking,FAILED,GW-287614,19753.16,2026-05-10
PAY0109,INV0109,CUST0196,2026-06-17,71978.75,INR,Stripe,GW-381693,Wallet,SUCCESS,GW-381693,71978.75,2026-06-17
PAY0110,INV0110,CUST0137,2026-06-10,182011.76,INR,Stripe,GW-DUP-0101,Card,SUCCESS,GW-DUP-0101,182011.76,2026-06-10
PAY0111,INV0111,CUST0039,2026-05-16,10234.06,INR,Cashfree,GW-930441,Card,SUCCESS,GW-930441,10234.06,2026-05-16
PAY0112,INV0112,CUST0333,2026-04-09,18158.5,INR,Cashfree,GW-741777,UPI,SUCCESS,GW-741777,18158.5,2026-04-09
PAY0113,INV0113,CUST0236,2026-05-01,142304.98,INR,Razorpay,GW-663719,UPI,SUCCESS,GW-663719,142304.98,2026-05-01
PAY0114,INV0114,CUST0465,2026-03-04,78881.25,INR,Stripe,GW-209793,Card,SUCCESS,GW-209793,78881.25,2026-03-04
PAY0115,INV0115,CUST0207,2026-02-01,772.26,INR,Stripe,GW-823405,Card,SUCCESS,GW-823405,772.26,2026-02-01
PAY0116,INV0116,CUST0088,2026-02-11,55135.07,INR,Razorpay,GW-947919,NetBanking,SUCCESS,GW-947919,55135.07,2026-02-11
PAY0117,INV0117,CUST0033,2026-05-10,148988.17,INR,Razorpay,GW-613757,Wallet,SUCCESS,GW-613757,148988.17,2026-05-10
PAY0118,INV0118,CUST0211,2026-04-25,12188.78,INR,Cashfree,GW-612032,UPI,SUCCESS,GW-612032,12188.78,2026-04-25
PAY0119,INV0119,CUST0201,2026-02-21,50045.43,INR,Stripe,GW-526949,Card,SUCCESS,GW-526949,50045.43,2026-02-21
PAY0120,INV0120,CUST0291,2026-01-25,172033.46,INR,Razorpay,GW-428003,UPI,SUCCESS,GW-428003,172033.46,2026-01-25
PAY0121,INV0121,CUST0409,2026-04-01,93334.99,INR,Stripe,GW-740991,NetBanking,SUCCESS,GW-740991,93334.99,2026-04-01
PAY0122,INV0122,CUST0046,2026-05-04,1914.57,INR,PayU,GW-702987,NetBanking,SUCCESS,GW-702987,1914.57,2026-05-04
PAY0123,INV0123,CUST0208,2026-05-05,14659.58,INR,Razorpay,GW-273348,Card,SUCCESS,GW-273348,14659.58,2026-05-05
PAY0124,INV0124,CUST0059,2026-02-28,73099.46,INR,Razorpay,GW-699116,Wallet,SUCCESS,GW-699116,73099.46,2026-02-28
PAY0125,INV0125,CUST0425,2026-02-05,8937.17,INR,Razorpay,GW-768402,Card,SUCCESS,GW-768402,8937.17,2026-02-05
PAY0126,INV0126,CUST0038,2026-03-27,8386.34,INR,Stripe,GW-124935,Card,SUCCESS,GW-124935,8386.34,2026-03-27
PAY0127,INV0127,CUST0041,2026-06-27,34895.47,INR,Stripe,GW-475946,UPI,SUCCESS,GW-475946,34895.47,2026-06-27
PAY0128,INV0128,CUST0365,2026-04-03,149642.71,INR,PayU,GW-462580,UPI,SUCCESS,GW-462580,149642.71,2026-04-03
PAY0129,INV0129,CUST0019,2026-04-27,195580.93,INR,Stripe,GW-315514,Card,SUCCESS,GW-315514,195580.93,2026-04-27
PAY0130,INV0130,CUST0077,2026-04-14,17264.29,INR,Stripe,GW-627021,Card,SUCCESS,GW-627021,17264.29,2026-04-14
PAY0131,INV0131,CUST0218,2026-02-01,45331.57,INR,Stripe,GW-932655,Card,SUCCESS,GW-932655,45331.57,2026-02-01
PAY0132,INV0132,CUST0180,2026-01-25,74508.78,INR,Stripe,GW-871554,NetBanking,SUCCESS,GW-871554,74508.78,2026-01-25
PAY0133,INV0133,CUST0389,2026-02-24,2330.85,INR,Stripe,GW-569414,Card,FAILED,GW-569414,2330.85,2026-02-24
PAY0134,INV0134,CUST0253,2026-05-19,19680.69,INR,Cashfree,GW-525707,UPI,SUCCESS,GW-525707,19680.69,2026-05-19
PAY0135,INV0135,CUST0413,2026-05-28,1330.94,INR,Cashfree,GW-301529,UPI,SUCCESS,GW-301529,1330.94,2026-05-28
PAY0136,INV0136,CUST0229,2026-05-01,40275.69,INR,Cashfree,GW-765974,UPI,SUCCESS,GW-765974,40275.69,2026-05-01
PAY0137,INV0137,CUST0356,2026-06-29,13105.94,INR,Razorpay,GW-436881,NetBanking,REFUNDED,GW-436881,13105.94,2026-06-29
PAY0138,INV0138,CUST0205,2026-04-27,4070.98,INR,Razorpay,GW-650363,Card,SUCCESS,GW-650363,4070.98,2026-04-27
PAY0139,INV0139,CUST0301,2026-06-02,23890.0,INR,Cashfree,GW-459296,Wallet,SUCCESS,GW-459296,23890.0,2026-06-02
PAY0140,INV0140,CUST0203,2026-06-06,112179.58,INR,Cashfree,GW-636064,NetBanking,SUCCESS,GW-636064,112179.58,2026-06-06
PAY0141,INV0141,CUST0377,2026-04-30,6249.41,INR,PayU,GW-840238,Wallet,SUCCESS,GW-840238,6249.41,2026-04-30
PAY0142,INV0142,CUST0281,2026-03-08,40283.94,INR,Cashfree,GW-797911,NetBanking,SUCCESS,GW-797911,40283.94,2026-03-08
PAY0143,INV0143,CUST0391,2026-06-22,62722.09,INR,Cashfree,GW-199424,UPI,SUCCESS,GW-199424,62722.09,2026-06-22
PAY0144,INV0144,CUST0275,2026-02-19,1935.15,INR,Stripe,GW-289240,UPI,SUCCESS,GW-289240,1935.15,2026-02-19
PAY0145,INV0145,CUST0258,2026-03-18,3625.31,INR,Stripe,GW-540189,Wallet,SUCCESS,GW-540189,3625.31,2026-03-18
PAY0146,INV0146,CUST0351,2026-02-13,2074.17,INR,PayU,GW-889126,Wallet,SUCCESS,GW-889126,2074.17,2026-02-13
PAY0147,INV0147,CUST0484,2026-01-26,193785.39,INR,Cashfree,GW-318354,Wallet,SUCCESS,GW-318354,193785.39,2026-01-26
PAY0148,INV0148,CUST0313,2026-05-06,103616.63,INR,Razorpay,GW-694716,Card,SUCCESS,GW-694716,103616.63,2026-05-06
PAY0149,INV0149,CUST0313,2026-04-10,60298.58,INR,Razorpay,GW-918348,Card,SUCCESS,GW-918348,60298.58,2026-04-10
PAY0150,INV0150,CUST0083,2026-04-18,105903.09,INR,PayU,GW-DUP-0147,NetBanking,SUCCESS,GW-DUP-0147,105903.09,2026-04-18
PAY0151,INV0151,CUST0245,2026-04-24,2907.19,INR,Cashfree,GW-149812,Wallet,SUCCESS,GW-149812,2907.19,2026-04-24
PAY0152,INV0152,CUST0173,2026-01-15,4813.18,INR,Stripe,GW-DUP-0149,NetBanking,SUCCESS,GW-DUP-0149,4813.18,2026-01-15
PAY0153,INV0153,CUST0339,2026-04-30,52788.93,INR,PayU,GW-700831,NetBanking,SUCCESS,GW-700831,52788.93,2026-04-30
PAY0154,INV0154,CUST0069,2026-02-12,39134.36,INR,Cashfree,GW-543210,UPI,SUCCESS,GW-543210,39134.36,2026-02-12
PAY0155,INV0155,CUST0284,2026-01-26,74391.65,INR,Razorpay,GW-887917,Wallet,SUCCESS,GW-887917,74391.65,2026-01-26
PAY0156,INV0156,CUST0260,2026-01-31,137417.47,INR,Stripe,GW-139068,UPI,SUCCESS,GW-139068,137417.47,2026-01-31
PAY0157,INV0157,CUST0313,2026-05-10,75686.84,INR,Cashfree,GW-668977,UPI,SUCCESS,GW-668977,75686.84,2026-05-10
PAY0158,INV0158,CUST0069,2026-02-24,36290.79,INR,Cashfree,GW-185489,NetBanking,SUCCESS,GW-185489,36290.79,2026-02-24
PAY0159,INV0159,CUST0451,2026-05-19,68245.1,INR,Stripe,GW-311301,UPI,SUCCESS,GW-311301,68245.1,2026-05-19
PAY0160,INV0160,CUST0399,2026-03-22,1349.9,INR,Razorpay,GW-291938,UPI,SUCCESS,GW-291938,1349.9,2026-03-22
PAY0161,INV0161,CUST0076,2026-01-08,11705.07,INR,Stripe,GW-673758,NetBanking,SUCCESS,GW-673758,11705.07,2026-01-08
PAY0162,INV0162,CUST0129,2026-04-17,6279.41,INR,Razorpay,GW-312226,UPI,SUCCESS,GW-312226,6279.41,2026-04-17
PAY0163,INV0163,CUST0460,2026-02-19,20792.11,INR,Stripe,GW-598033,UPI,SUCCESS,GW-598033,20792.11,2026-02-19
PAY0164,INV0164,CUST0072,2026-05-20,24306.85,INR,PayU,GW-267759,UPI,SUCCESS,GW-267759,24306.85,2026-05-20
PAY0165,INV0165,CUST0482,2026-05-06,7076.17,INR,PayU,GW-572319,Wallet,SUCCESS,GW-572319,7076.17,2026-05-06
PAY0166,INV0166,CUST0307,2026-03-31,1145.19,INR,Cashfree,GW-826680,NetBanking,SUCCESS,GW-826680,1145.19,2026-03-31
PAY0167,INV0167,CUST0362,2026-03-25,2574.76,INR,Razorpay,GW-919502,UPI,SUCCESS,GW-919502,2574.76,2026-03-25
PAY0168,INV0168,CUST0283,2026-06-12,17674.02,INR,Razorpay,GW-748216,NetBanking,SUCCESS,GW-748216,17674.02,2026-06-12
PAY0169,INV0169,CUST0303,2026-03-20,788.78,INR,PayU,GW-602049,Card,SUCCESS,GW-602049,788.78,2026-03-20
PAY0170,INV0170,CUST0435,2026-01-10,16814.69,INR,Razorpay,GW-167971,UPI,SUCCESS,GW-167971,16814.69,2026-01-10
PAY0171,INV0171,CUST0031,2026-01-13,12994.79,INR,Razorpay,GW-886455,Wallet,SUCCESS,GW-886455,12994.79,2026-01-13
PAY0172,INV0172,CUST0154,2026-05-30,125990.66,INR,Razorpay,GW-162676,UPI,SUCCESS,GW-162676,125990.66,2026-05-30
PAY0173,INV0173,CUST0492,2026-03-01,2744.0,INR,Stripe,GW-621272,UPI,SUCCESS,GW-621272,2744.0,2026-03-01
PAY0174,INV0174,CUST0460,2026-05-07,41642.41,INR,Razorpay,GW-391236,Card,SUCCESS,GW-391236,41642.41,2026-05-07
PAY0175,INV0175,CUST0047,2026-02-25,60453.13,INR,PayU,GW-139330,UPI,SUCCESS,GW-139330,60453.13,2026-02-25
PAY0176,INV0176,CUST0106,2026-04-13,22173.63,INR,Cashfree,GW-760793,Card,SUCCESS,GW-760793,22173.63,2026-04-13
PAY0177,INV0177,CUST0051,2026-05-01,1735.42,INR,Cashfree,GW-234525,Card,SUCCESS,GW-234525,1735.42,2026-05-01
PAY0178,INV0178,CUST0024,2026-06-05,38623.54,INR,PayU,GW-703041,NetBanking,SUCCESS,GW-703041,38623.54,2026-06-05
PAY0179,INV0179,CUST0252,2026-05-02,1381.14,INR,Stripe,GW-637692,UPI,SUCCESS,GW-637692,1381.14,2026-05-02
PAY0180,INV0180,CUST0097,2026-03-15,660.2,INR,PayU,GW-552189,UPI,SUCCESS,GW-552189,660.2,2026-03-15
PAY0181,INV0181,CUST0427,2026-04-10,47661.41,INR,Cashfree,GW-234119,UPI,SUCCESS,GW-234119,47661.41,2026-04-10
PAY0182,INV0182,CUST0220,2026-06-18,12567.33,INR,PayU,GW-193420,Wallet,SUCCESS,GW-193420,12567.33,2026-06-18
PAY0183,INV0183,CUST0325,2026-04-24,44622.91,INR,Stripe,GW-300482,Wallet,SUCCESS,GW-300482,44622.91,2026-04-24
PAY0184,INV0184,CUST0434,2026-02-06,21743.62,INR,Cashfree,GW-836903,UPI,SUCCESS,GW-836903,21743.62,2026-02-06
PAY0185,INV0185,CUST0374,2026-07-04,37960.34,INR,Cashfree,GW-180266,UPI,SUCCESS,GW-180266,37960.34,2026-07-04
PAY0186,INV0186,CUST0061,2026-05-24,15581.54,INR,PayU,GW-297042,Card,SUCCESS,GW-297042,15581.54,2026-05-24
PAY0187,INV0187,CUST0449,2026-04-10,3878.1,INR,Razorpay,GW-853660,NetBanking,SUCCESS,GW-853660,3878.1,2026-04-10
PAY0188,INV0188,CUST0466,2026-04-17,64829.8,INR,PayU,GW-840872,Wallet,SUCCESS,GW-840872,64829.8,2026-04-17
PAY0189,INV0189,CUST0473,2026-01-11,182788.89,INR,Stripe,GW-239044,NetBanking,SUCCESS,GW-239044,182788.89,2026-01-11
