invoice_id,customer_id,invoice_date,due_date,invoice_amount,currency,description,invoice_status,normalized_invoice_amount,normalized_invoice_date,normalized_due_date
INV0025,CUST0280,2026-05-15,2026-06-29,4758.83,INR,Cybersecurity Audit,Paid,4758.83,2026-05-15,2026-06-29
INV0026,CUST0012,2026-02-09,2026-03-11,30052.23,INR,Annual Maintenance Contract,Paid,30052.23,2026-02-09,2026-03-11
INV0027,CUST0079,2026-03-20,2026-04-19,19339.28,INR,Data Analytics Module,Paid,19339.28,2026-03-20,2026-04-19
INV0028,CUST0394,2026-01-30,2026-03-16,12632.38,INR,IT Consulting Services,Paid,12632.38,2026-01-30,2026-03-16
INV0029,CUST0393,2026-04-21,2026-06-05,3111.55,INR,Annual Maintenance Contract,Paid,3111.55,2026-04-21,2026-06-05
INV0030,CUST0414,2026-01-29,2026-02-13,4123.39,INR,Logistics & Freight Services,Paid,4123.39,2026-01-29,2026-02-13
INV0031,CUST0112,2026-06-30,2026-08-14,4113.83,INR,Enterprise License Fee,Paid,4113.83,2026-06-30,2026-08-14
INV0032,CUST0087,2026-06-16,2026-07-01,58976.08,INR,Data Analytics Module,Paid,58976.08,2026-06-16,2026-07-01
INV0033,CUST0275,2026-04-11,2026-05-11,146705.82,INR,IT Consulting Services,Paid,146705.82,2026-04-11,2026-05-11
INV0034,CUST0143,2026-06-15,2026-07-30,6848.31,INR,IT Consulting Services,Paid,6848.31,2026-06-15,2026-07-30
INV0035,CUST0282,2026-01-30,2026-02-14,139762.26,INR,Cloud Infrastructure Hosting,Paid,139762.26,2026-01-30,2026-02-14
INV0036,CUST0060,2026-04-07,2026-04-22,16893.21,INR,IT Consulting Services,Paid,16893.21,2026-04-07,2026-04-22
INV0037,CUST0242,2026-02-10,2026-03-27,4795.26,INR,Digital Marketing Campaign,Paid,4795.26,2026-02-10,2026-03-27
INV0038,CUST0196,2026-06-12,2026-07-27,179833.65,INR,Data Analytics Module,Paid,179833.65,2026-06-12,2026-07-27
INV0039,CUST0379,2026-06-09,2026-07-09,2612.75,INR,Cybersecurity Audit,Paid,2612.75,2026-06-09,2026-07-09
INV0040,CUST0410,2026-01-26,2026-02-10,60449.68,INR,Logistics & Freight Services,Paid,60449.68,2026-01-26,2026-02-10
INV0041,CUST0261,2026-03-19,2026-04-03,21495.63,INR,SaaS Subscription,Paid,21495.63,2026-03-19,2026-04-03
INV0042,CUST0264,2026-03-28,2026-05-12,79121.27,INR,Cybersecurity Audit,Paid,79121.27,2026-03-28,2026-05-12
INV0043,CUST0270,2026-04-20,2026-05-20,176041.58,INR,Enterprise License Fee,Paid,176041.58,2026-04-20,2026-05-20
INV0044,CUST0202,2026-05-02,2026-05-17,2459.51,INR,Data Analytics Module,Paid,2459.51,2026-05-02,2026-05-17
INV0045,CUST0121,2026-03-24,2026-04-23,6934.26,INR,Enterprise License Fee,Paid,6934.26,2026-03-24,2026-04-23
INV0046,CUST0093,2026-02-01,2026-02-16,2058.94,INR,Cloud Infrastructure Hosting,Paid,2058.94,2026-02-01,2026-02-16
INV0047,CUST0449,2026-01-17,2026-02-16,2740.43,INR,Digital Marketing Campaign,Paid,2740.43,2026-01-17,2026-02-16
INV0048,CUST0180,2026-02-13,2026-02-28,110975.23,INR,Cybersecurity Audit,Paid,110975.23,2026-02-13,2026-02-28
INV0049,CUST0440,2026-06-07,2026-07-22,101753.71,INR,API Integration Fee,Paid,101753.71,2026-06-07,2026-07-22
INV0050,CUST0437,2026-03-08,2026-03-23,57481.25,INR,SaaS Subscription,Pending,57481.25,2026-03-08,2026-03-23
INV0051,CUST0163,2026-06-13,2026-06-28,135412.14,INR,Data Analytics Module,Paid,135412.14,2026-06-13,2026-06-28
INV0052,CUST0008,2026-04-02,2026-05-02,81202.44,INR,Digital Marketing Campaign,Paid,81202.44,2026-04-02,2026-05-02
INV0053,CUST0222,2026-03-08,2026-04-07,22295.29,INR,SaaS Subscription,Paid,22295.29,2026-03-08,2026-04-07
INV0054,CUST0347,2026-06-06,2026-07-21,92971.23,INR,Cloud Infrastructure Hosting,Paid,92971.23,2026-06-06,2026-07-21
INV0055,CUST0226,2026-05-24,2026-07-08,190671.09,INR,IT Consulting Services,Paid,190671.09,2026-05-24,2026-07-08
INV0056,CUST0025,2026-01-18,2026-02-17,13251.73,INR,IT Consulting Services,Paid,13251.73,2026-01-18,2026-02-17
INV0057,CUST0494,2026-04-29,2026-06-13,33757.57,INR,Cybersecurity Audit,Paid,33757.57,2026-04-29,2026-06-13
INV0058,CUST0496,2026-01-20,2026-02-04,40204.74,INR,API Integration Fee,Paid,40204.74,2026-01-20,2026-02-04
INV0059,CUST0179,2026-02-05,2026-02-20,126841.45,INR,Logistics & Freight Services,Paid,126841.45,2026-02-05,2026-02-20
INV0060,CUST0305,2026-02-04,2026-03-21,68899.66,INR,Digital Marketing Campaign,Paid,68899.66,2026-02-04,2026-03-21
INV0061,CUST0202,2026-01-27,2026-02-11,129725.17,INR,SaaS Subscription,Paid,129725.17,2026-01-27,2026-02-11
INV0062,CUST0047,2026-02-21,2026-04-07,1411.56,INR,Data Analytics Module,Paid,1411.56,2026-02-21,2026-04-07
INV0063,CUST0382,2026-06-07,2026-06-22,139076.6,INR,Logistics & Freight Services,Paid,139076.6,2026-06-07,2026-06-22
INV0064,CUST0276,2026-01-21,2026-03-07,3414.54,INR,Data Analytics Module,Paid,3414.54,2026-01-21,2026-03-07
INV0065,CUST0136,2026-01-31,2026-02-15,2402.03,INR,Logistics & Freight Services,Paid,2402.03,2026-01-31,2026-02-15
INV0066,CUST0360,2026-06-04,2026-07-04,178538.03,INR,Logistics & Freight Services,Paid,178538.03,2026-06-04,2026-07-04
INV0067,CUST0366,2026-03-03,2026-04-17,19807.39,INR,Data Analytics Module,Paid,19807.39,2026-03-03,2026-04-17
INV0068,CUST0397,2026-02-27,2026-03-29,50006.63,INR,Digital Marketing Campaign,Paid,50006.63,2026-02-27,2026-03-29
INV0069,CUST0456,2026-05-15,2026-06-29,30032.98,INR,Enterprise License Fee,Pending,30032.98,2026-05-15,2026-06-29
INV0070,CUST0136,2026-06-07,2026-07-22,75070.87,INR,API Integration Fee,Paid,75070.87,2026-06-07,2026-07-22
INV0071,CUST0005,2026-02-15,2026-03-17,4834.33,INR,SaaS Subscription,Paid,4834.33,2026-02-15,2026-03-17
INV0072,CUST0068,2026-01-05,2026-01-20,2702.94,INR,Enterprise License Fee,Paid,2702.94,2026-01-05,2026-01-20
INV0073,CUST0017,2026-02-21,2026-03-08,1903.02,INR,Cloud Infrastructure Hosting,Paid,1903.02,2026-02-21,2026-03-08
INV0074,CUST0043,2026-01-21,2026-02-05,38215.48,INR,Digital Marketing Campaign,Paid,38215.48,2026-01-21,2026-02-05
INV0075,CUST0387,2026-04-24,2026-05-09,14850.9,INR,Data Analytics Module,Paid,14850.9,2026-04-24,2026-05-09
INV0076,CUST0398,2026-06-04,2026-07-04,22310.14,INR,Enterprise License Fee,Paid,22310.14,2026-06-04,2026-07-04
INV0077,CUST0250,2026-06-25,2026-07-10,2804.91,INR,Data Analytics Module,Paid,2804.91,2026-06-25,2026-07-10
INV0078,CUST0279,2026-03-22,2026-04-06,119573.13,INR,Logistics & Freight Services,Paid,119573.13,2026-03-22,2026-04-06
INV0079,CUST0281,2026-01-24,2026-02-08,14103.78,INR,Cybersecurity Audit,Paid,14103.78,2026-01-24,2026-02-08
INV0080,CUST0440,2026-06-06,2026-06-21,64327.38,INR,IT Consulting Services,Paid,64327.38,2026-06-06,2026-06-21
INV0081,CUST0115,2026-04-30,2026-06-14,62548.67,INR,API Integration Fee,Paid,62548.67,2026-04-30,2026-06-14
INV0082,CUST0063,2026-03-22,2026-04-06,15719.35,INR,Cybersecurity Audit,Paid,15719.35,2026-03-22,2026-04-06
INV0083,CUST0203,2026-06-27,2026-07-12,3393.32,INR,Cybersecurity Audit,Paid,3393.32,2026-06-27,2026-07-12
INV0084,CUST0086,2026-02-02,2026-02-17,62932.36,INR,Data Analytics Module,Paid,62932.36,2026-02-02,2026-02-17
INV0085,CUST0441,2026-03-24,2026-04-08,795.78,INR,Cloud Infrastructure Hosting,Paid,795.78,2026-03-24,2026-04-08
INV0086,CUST0391,2026-03-11,2026-03-26,1559.55,INR,Cloud Infrastructure Hosting,Paid,1559.55,2026-03-11,2026-03-26
INV0087,CUST0199,2026-01-20,2026-02-04,1375.02,INR,SaaS Subscription,Paid,1375.02,2026-01-20,2026-02-04
INV0088,CUST0140,2026-05-17,2026-06-01,10012.54,INR,API Integration Fee,Paid,10012.54,2026-05-17,2026-06-01
INV0089,CUST0326,2026-01-17,2026-02-01,7641.58,INR,Enterprise License Fee,Paid,7641.58,2026-01-17,2026-02-01
INV0090,CUST0024,2026-03-16,2026-04-30,34425.9,INR,Data Analytics Module,Paid,34425.9,2026-03-16,2026-04-30
INV0091,CUST0362,2026-02-10,2026-03-27,117251.06,INR,Data Analytics Module,Paid,117251.06,2026-02-10,2026-03-27
INV0092,CUST0371,2026-01-14,2026-02-28,123740.45,INR,Cybersecurity Audit,Paid,123740.45,2026-01-14,2026-02-28
INV0093,CUST0261,2026-04-30,2026-06-14,3207.22,INR,Digital Marketing Campaign,Paid,3207.22,2026-04-30,2026-06-14
INV0094,CUST0236,2026-02-15,2026-03-02,190182.21,INR,Cybersecurity Audit,Paid,190182.21,2026-02-15,2026-03-02
INV0095,CUST0210,2026-03-19,2026-05-03,16244.75,INR,SaaS Subscription,Paid,16244.75,2026-03-19,2026-05-03
INV0096,CUST0372,2026-06-07,2026-07-07,142115.1,INR,API Integration Fee,Paid,142115.1,2026-06-07,2026-07-07
INV0097,CUST0437,2026-05-07,2026-05-22,17569.24,INR,Data Analytics Module,Paid,17569.24,2026-05-07,2026-05-22
INV0098,CUST0195,2026-02-09,2026-03-11,71617.48,INR,IT Consulting Services,Paid,71617.48,2026-02-09,2026-03-11
INV0099,CUST0243,2026-04-23,2026-05-23,6693.63,INR,Data Analytics Module,Paid,6693.63,2026-04-23,2026-05-23
INV0100,CUST0273,2026-06-01,2026-07-16,95268.72,INR,Annual Maintenance Contract,Paid,95268.72,2026-06-01,2026-07-16
INV0101,CUST0113,2026-05-15,2026-05-30,112773.91,INR,IT Consulting Services,Paid,112773.91,2026-05-15,2026-05-30
INV0102,CUST0093,2026-01-15,2026-02-14,11725.04,INR,Enterprise License Fee,Paid,11725.04,2026-01-15,2026-02-14
INV0103,CUST0441,2026-01-09,2026-02-23,2422.4,INR,Cybersecurity Audit,Paid,2422.4,2026-01-09,2026-02-23
INV0104,CUST0430,2026-06-12,2026-07-27,75463.93,INR,API Integration Fee,Paid,75463.93,2026-06-12,2026-07-27
INV0105,CUST0411,2026-03-02,2026-03-17,4098.29,INR,Annual Maintenance Contract,Paid,4098.29,2026-03-02,2026-03-17
INV0106,CUST0037,2026-01-16,2026-01-31,70744.74,INR,Logistics & Freight Services,Paid,70744.74,2026-01-16,2026-01-31
INV0107,CUST0381,2026-06-21,2026-07-06,17700.81,INR,Annual Maintenance Contract,Paid,17700.81,2026-06-21,2026-07-06
INV0108,CUST0329,2026-05-10,2026-06-24,19753.16,INR,Data Analytics Module,Pending,19753.16,2026-05-10,2026-06-24
INV0109,CUST0196,2026-06-15,2026-07-30,71978.75,INR,Digital Marketing Campaign,Paid,71978.75,2026-06-15,2026-07-30
INV0110,CUST0137,2026-06-05,2026-07-20,182011.76,INR,IT Consulting Services,Paid,182011.76,2026-06-05,2026-07-20
INV0111,CUST0039,2026-05-14,2026-06-13,10234.06,INR,SaaS Subscription,Paid,10234.06,2026-05-14,2026-06-13
INV0112,CUST0333,2026-04-09,2026-05-24,18158.5,INR,Digital Marketing Campaign,Paid,18158.5,2026-04-09,2026-05-24
INV0113,CUST0236,2026-04-26,2026-05-26,142304.98,INR,Digital Marketing Campaign,Paid,142304.98,2026-04-26,2026-05-26
INV0114,CUST0465,2026-03-01,2026-04-15,78881.25,INR,Enterprise License Fee,Paid,78881.25,2026-03-01,2026-04-15
INV0115,CUST0207,2026-01-29,2026-03-15,772.26,INR,Cybersecurity Audit,Paid,772.26,2026-01-29,2026-03-15
INV0116,CUST0088,2026-02-07,2026-02-22,55135.07,INR,Logistics & Freight Services,Paid,55135.07,2026-02-07,2026-02-22
INV0117,CUST0033,2026-05-05,2026-06-04,148988.17,INR,API Integration Fee,Paid,148988.17,2026-05-05,2026-06-04
INV0118,CUST0211,2026-04-20,2026-05-05,12188.78,INR,API Integration Fee,Paid,12188.78,2026-04-20,2026-05-05
INV0119,CUST0201,2026-02-17,2026-03-19,50045.43,INR,SaaS Subscription,Paid,50045.43,2026-02-17,2026-03-19
INV0120,CUST0291,2026-01-23,2026-02-22,172033.46,INR,Data Analytics Module,Paid,172033.46,2026-01-23,2026-02-22
INV0121,CUST0409,2026-03-28,2026-05-12,93334.99,INR,API Integration Fee,Paid,93334.99,2026-03-28,2026-05-12
INV0122,CUST0046,2026-05-04,2026-06-03,1914.57,INR,Data Analytics Module,Paid,1914.57,2026-05-04,2026-06-03
INV0123,CUST0208,2026-05-04,2026-06-18,14659.58,INR,Logistics & Freight Services,Paid,14659.58,2026-05-04,2026-06-18
INV0124,CUST0059,2026-02-27,2026-03-14,73099.46,INR,Digital Marketing Campaign,Paid,73099.46,2026-02-27,2026-03-14
INV0125,CUST0425,2026-02-01,2026-03-03,8937.17,INR,Annual Maintenance Contract,Paid,8937.17,2026-02-01,2026-03-03
INV0126,CUST0038,2026-03-25,2026-05-09,8386.34,INR,IT Consulting Services,Paid,8386.34,2026-03-25,2026-05-09
INV0127,CUST0041,2026-06-23,2026-08-07,34895.47,INR,IT Consulting Services,Paid,34895.47,2026-06-23,2026-08-07
INV0128,CUST0365,2026-04-03,2026-04-18,149642.71,INR,API Integration Fee,Paid,149642.71,2026-04-03,2026-04-18
INV0129,CUST0019,2026-04-26,2026-05-11,195580.93,INR,API Integration Fee,Paid,195580.93,2026-04-26,2026-05-11
INV0130,CUST0077,2026-04-13,2026-05-28,17264.29,INR,Enterprise License Fee,Paid,17264.29,2026-04-13,2026-05-28
INV0131,CUST0218,2026-01-30,2026-03-16,45331.57,INR,Digital Marketing Campaign,Paid,45331.57,2026-01-30,2026-03-16
INV0132,CUST0180,2026-01-21,2026-03-07,74508.78,INR,Annual Maintenance Contract,Paid,74508.78,2026-01-21,2026-03-07
INV0133,CUST0389,2026-02-19,2026-04-05,2330.85,INR,IT Consulting Services,Pending,2330.85,2026-02-19,2026-04-05
INV0134,CUST0253,2026-05-14,2026-06-13,19680.69,INR,IT Consulting Services,Paid,19680.69,2026-05-14,2026-06-13
INV0135,CUST0413,2026-05-23,2026-07-07,1330.94,INR,API Integration Fee,Paid,1330.94,2026-05-23,2026-07-07
INV0136,CUST0229,2026-04-30,2026-05-15,40275.69,INR,Digital Marketing Campaign,Paid,40275.69,2026-04-30,2026-05-15
INV0137,CUST0356,2026-06-27,2026-07-12,13105.94,INR,Cloud Infrastructure Hosting,Pending,13105.94,2026-06-27,2026-07-12
INV0138,CUST0205,2026-04-25,2026-06-09,4070.98,INR,API Integration Fee,Paid,4070.98,2026-04-25,2026-06-09
INV0139,CUST0301,2026-06-02,2026-07-17,23890.0,INR,SaaS Subscription,Paid,23890.0,2026-06-02,2026-07-17
INV0140,CUST0203,2026-06-02,2026-07-02,112179.58,INR,Data Analytics Module,Paid,112179.58,2026-06-02,2026-07-02
INV0141,CUST0377,2026-04-27,2026-06-11,6249.41,INR,Cybersecurity Audit,Paid,6249.41,2026-04-27,2026-06-11
INV0142,CUST0281,2026-03-05,2026-04-04,40283.94,INR,Enterprise License Fee,Paid,40283.94,2026-03-05,2026-04-04
INV0143,CUST0391,2026-06-20,2026-07-05,62722.09,INR,Cloud Infrastructure Hosting,Paid,62722.09,2026-06-20,2026-07-05
INV0144,CUST0275,2026-02-17,2026-03-04,1935.15,INR,Cybersecurity Audit,Paid,1935.15,2026-02-17,2026-03-04
INV0145,CUST0258,2026-03-15,2026-04-14,3625.31,INR,Logistics & Freight Services,Paid,3625.31,2026-03-15,2026-04-14
INV0146,CUST0351,2026-02-10,2026-03-12,2074.17,INR,IT Consulting Services,Paid,2074.17,2026-02-10,2026-03-12
INV0147,CUST0484,2026-01-22,2026-02-06,193785.39,INR,Data Analytics Module,Paid,193785.39,2026-01-22,2026-02-06
INV0148,CUST0313,2026-05-04,2026-05-19,103616.63,INR,SaaS Subscription,Paid,103616.63,2026-05-04,2026-05-19
INV0149,CUST0313,2026-04-07,2026-04-22,60298.58,INR,API Integration Fee,Paid,60298.58,2026-04-07,2026-04-22
INV0150,CUST0083,2026-04-16,2026-05-31,105903.09,INR,Logistics & Freight Services,Paid,105903.09,2026-04-16,2026-05-31
INV0151,CUST0245,2026-04-22,2026-05-07,2907.19,INR,Cybersecurity Audit,Paid,2907.19,2026-04-22,2026-05-07
INV0152,CUST0173,2026-01-12,2026-02-11,4813.18,INR,Cybersecurity Audit,Paid,4813.18,2026-01-12,2026-02-11
INV0153,CUST0339,2026-04-25,2026-06-09,52788.93,INR,API Integration Fee,Paid,52788.93,2026-04-25,2026-06-09
INV0154,CUST0069,2026-02-12,2026-03-29,39134.36,INR,Digital Marketing Campaign,Paid,39134.36,2026-02-12,2026-03-29
INV0155,CUST0284,2026-01-23,2026-02-22,74391.65,INR,IT Consulting Services,Paid,74391.65,2026-01-23,2026-02-22
INV0156,CUST0260,2026-01-29,2026-02-13,137417.47,INR,Logistics & Freight Services,Paid,137417.47,2026-01-29,2026-02-13
INV0157,CUST0313,2026-05-06,2026-06-20,75686.84,INR,SaaS Subscription,Paid,75686.84,2026-05-06,2026-06-20
INV0158,CUST0069,2026-02-21,2026-03-08,36290.79,INR,Enterprise License Fee,Paid,36290.79,2026-02-21,2026-03-08
INV0159,CUST0451,2026-05-17,2026-07-01,68245.1,INR,Cybersecurity Audit,Paid,68245.1,2026-05-17,2026-07-01
INV0160,CUST0399,2026-03-21,2026-04-05,1349.9,INR,Cybersecurity Audit,Paid,1349.9,2026-03-21,2026-04-05
INV0161,CUST0076,2026-01-03,2026-02-17,11705.07,INR,Logistics & Freight Services,Paid,11705.07,2026-01-03,2026-02-17
INV0162,CUST0129,2026-04-15,2026-05-15,6279.41,INR,Cloud Infrastructure Hosting,Paid,6279.41,2026-04-15,2026-05-15
INV0163,CUST0460,2026-02-14,2026-03-01,20792.11,INR,Cybersecurity Audit,Paid,20792.11,2026-02-14,2026-03-01
INV0164,CUST0072,2026-05-18,2026-06-17,24306.85,INR,Digital Marketing Campaign,Paid,24306.85,2026-05-18,2026-06-17
INV0165,CUST0482,2026-05-01,2026-06-15,7076.17,INR,Cloud Infrastructure Hosting,Paid,7076.17,2026-05-01,2026-06-15
INV0166,CUST0307,2026-03-28,2026-04-27,1145.19,INR,API Integration Fee,Paid,1145.19,2026-03-28,2026-04-27
INV0167,CUST0362,2026-03-24,2026-04-23,2574.76,INR,Cybersecurity Audit,Paid,2574.76,2026-03-24,2026-04-23
INV0168,CUST0283,2026-06-10,2026-07-25,17674.02,INR,Annual Maintenance Contract,Paid,17674.02,2026-06-10,2026-07-25
INV0169,CUST0303,2026-03-20,2026-05-04,788.78,INR,Annual Maintenance Contract,Paid,788.78,2026-03-20,2026-05-04
INV0170,CUST0435,2026-01-08,2026-02-07,16814.69,INR,Annual Maintenance Contract,Paid,16814.69,2026-01-08,2026-02-07
INV0171,CUST0031,2026-01-11,2026-01-26,12994.79,INR,Cybersecurity Audit,Paid,12994.79,2026-01-11,2026-01-26
INV0172,CUST0154,2026-05-29,2026-06-28,125990.66,INR,Cloud Infrastructure Hosting,Paid,125990.66,2026-05-29,2026-06-28
INV0173,CUST0492,2026-02-27,2026-03-14,2744.0,INR,SaaS Subscription,Paid,2744.0,2026-02-27,2026-03-14
INV0174,CUST0460,2026-05-03,2026-05-18,41642.41,INR,IT Consulting Services,Paid,41642.41,2026-05-03,2026-05-18
INV0175,CUST0047,2026-02-20,2026-04-06,60453.13,INR,API Integration Fee,Paid,60453.13,2026-02-20,2026-04-06
INV0176,CUST0106,2026-04-11,2026-04-26,22173.63,INR,Cybersecurity Audit,Paid,22173.63,2026-04-11,2026-04-26
INV0177,CUST0051,2026-04-28,2026-06-12,1735.42,INR,Data Analytics Module,Paid,1735.42,2026-04-28,2026-06-12
INV0178,CUST0024,2026-06-03,2026-06-18,38623.54,INR,Logistics & Freight Services,Paid,38623.54,2026-06-03,2026-06-18
INV0179,CUST0252,2026-04-30,2026-05-30,1381.14,INR,Logistics & Freight Services,Paid,1381.14,2026-04-30,2026-05-30
INV0180,CUST0097,2026-03-11,2026-04-25,660.2,INR,Enterprise License Fee,Paid,660.2,2026-03-11,2026-04-25
INV0181,CUST0427,2026-04-05,2026-05-05,47661.41,INR,Enterprise License Fee,Paid,47661.41,2026-04-05,2026-05-05
INV0182,CUST0220,2026-06-15,2026-06-30,12567.33,INR,SaaS Subscription,Paid,12567.33,2026-06-15,2026-06-30
INV0183,CUST0325,2026-04-20,2026-06-04,44622.91,INR,Cybersecurity Audit,Paid,44622.91,2026-04-20,2026-06-04
INV0184,CUST0434,2026-02-04,2026-03-06,21743.62,INR,IT Consulting Services,Paid,21743.62,2026-02-04,2026-03-06
INV0185,CUST0374,2026-06-29,2026-08-13,37960.34,INR,Digital Marketing Campaign,Paid,37960.34,2026-06-29,2026-08-13
INV0186,CUST0061,2026-05-20,2026-07-04,15581.54,INR,Annual Maintenance Contract,Paid,15581.54,2026-05-20,2026-07-04
INV0187,CUST0449,2026-04-07,2026-05-22,3878.1,INR,Data Analytics Module,Paid,3878.1,2026-04-07,2026-05-22
INV0188,CUST0466,2026-04-16,2026-05-01,64829.8,INR,Logistics & Freight Services,Paid,64829.8,2026-04-16,2026-05-01
INV0189,CUST0473,2026-01-09,2026-02-08,182788.89,INR,API Integration Fee,Paid,182788.89,2026-01-09,2026-02-08
INV0190,CUST0416,2026-02-16,2026-03-18,45985.31,INR,Enterprise License Fee,Paid,45985.31,2026-02-16,2026-03-18
INV0191,CUST0159,2026-05-25,2026-06-09,169328.02,INR,Digital Marketing Campaign,Paid,169328.02,2026-05-25,2026-06-09
INV0192,CUST0330,2026-04-01,2026-05-16,2436.35,INR,Cybersecurity Audit,Paid,2436.35,2026-04-01,2026-05-16
INV0193,CUST0398,2026-01-27,2026-02-11,557.48,INR,Digital Marketing Campaign,Paid,557.48,2026-01-27,2026-02-11
INV0194,CUST0335,2026-05-25,2026-06-09,55920.8,INR,API Integration Fee,Paid,55920.8,2026-05-25,2026-06-09
INV0195,CUST0484,2026-01-21,2026-03-07,12951.73,INR,Cloud Infrastructure Hosting,Paid,12951.73,2026-01-21,2026-03-07
INV0196,CUST0479,2026-01-02,2026-01-17,2031.72,INR,Logistics & Freight Services,Paid,2031.72,2026-01-02,2026-01-17
INV0197,CUST0145,2026-02-12,2026-03-29,676.86,INR,Cloud Infrastructure Hosting,Paid,676.86,2026-02-12,2026-03-29
INV0198,CUST0319,2026-04-29,2026-06-13,39193.26,INR,Data Analytics Module,Paid,39193.26,2026-04-29,2026-06-13
INV0199,CUST0133,2026-01-23,2026-03-09,2415.41,INR,API Integration Fee,Paid,2415.41,2026-01-23,2026-03-09
INV0200,CUST0175,2026-01-24,2026-02-08,152141.57,INR,Cloud Infrastructure Hosting,Paid,152141.57,2026-01-24,2026-02-08
INV0201,CUST0409,2026-03-06,2026-04-20,975.62,INR,Data Analytics Module,Paid,975.62,2026-03-06,2026-04-20
INV0202,CUST0139,2026-01-16,2026-03-02,176912.83,INR,Digital Marketing Campaign,Paid,176912.83,2026-01-16,2026-03-02
INV0203,CUST0139,2026-03-04,2026-04-18,105512.1,INR,Digital Marketing Campaign,Paid,105512.1,2026-03-04,2026-04-18
INV0204,CUST0379,2026-02-14,2026-03-16,51121.34,INR,API Integration Fee,Paid,51121.34,2026-02-14,2026-03-16
INV0205,CUST0336,2026-04-10,2026-05-10,45149.32,INR,Annual Maintenance Contract,Paid,45149.32,2026-04-10,2026-05-10
INV0206,CUST0318,2026-02-14,2026-03-31,4159.68,INR,Logistics & Freight Services,Paid,4159.68,2026-02-14,2026-03-31
INV0207,CUST0249,2026-01-27,2026-03-13,35907.96,INR,Enterprise License Fee,Paid,35907.96,2026-01-27,2026-03-13
INV0208,CUST0155,2026-01-17,2026-03-03,44752.65,INR,Cloud Infrastructure Hosting,Paid,44752.65,2026-01-17,2026-03-03
