ledger_id,ledger_date,invoice_id,customer_id,amount,currency,account_code,entry_type,description,reference,posting_status,normalized_amount,normalized_ledger_date
LEDG0048,2026-02-14,INV0048,CUST0180,110975.23,INR,AR001,CREDIT,Payment receipt for INV0048 via Stripe,REC-INV0048-PAY0048,POSTED,110975.23,2026-02-14
LEDG0049,2026-06-10,INV0049,CUST0440,101753.71,INR,AR001,CREDIT,Payment receipt for INV0049 via Razorpay,REC-INV0049-PAY0049,POSTED,101753.71,2026-06-10
LEDG0050,2026-03-11,INV0050,CUST0437,57481.25,INR,AR001,CREDIT,Payment receipt for INV0050 via PayU,REC-INV0050-PAY0050,POSTED,57481.25,2026-03-11
LEDG0051,2026-06-19,INV0051,CUST0163,135412.14,INR,AR001,CREDIT,Payment receipt for INV0051 via Razorpay,REC-INV0051-PAY0051,POSTED,135412.14,2026-06-19
LEDG0052,2026-04-05,INV0052,CUST0008,81202.44,INR,AR001,CREDIT,Payment receipt for INV0052 via Razorpay,REC-INV0052-PAY0052,POSTED,81202.44,2026-04-05
LEDG0053,2026-03-09,INV0053,CUST0222,22295.29,INR,AR001,CREDIT,Payment receipt for INV0053 via Razorpay,REC-INV0053-PAY0053,POSTED,22295.29,2026-03-09
LEDG0054,2026-06-07,INV0054,CUST0347,92971.23,INR,AR001,CREDIT,Payment receipt for INV0054 via Razorpay,REC-INV0054-PAY0054,POSTED,92971.23,2026-06-07
LEDG0055,2026-05-26,INV0055,CUST0226,190671.09,INR,AR001,CREDIT,Payment receipt for INV0055 via Razorpay,REC-INV0055-PAY0055,POSTED,190671.09,2026-05-26
LEDG0056,2026-01-18,INV0056,CUST0025,13251.73,INR,AR001,CREDIT,Payment receipt for INV0056 via PayU,REC-INV0056-PAY0056,POSTED,13251.73,2026-01-18
LEDG0057,2026-04-30,INV0057,CUST0494,33757.57,INR,AR001,CREDIT,Payment receipt for INV0057 via Razorpay,REC-INV0057-PAY0057,POSTED,33757.57,2026-04-30
LEDG0058,2026-01-23,INV0058,CUST0496,40204.74,INR,AR001,CREDIT,Payment receipt for INV0058 via Razorpay,REC-INV0058-PAY0058,POSTED,40204.74,2026-01-23
LEDG0059,2026-02-07,INV0059,CUST0179,126841.45,INR,AR001,CREDIT,Payment receipt for INV0059 via Stripe,REC-INV0059-PAY0059,PENDING,126841.45,2026-02-07
LEDG0060,2026-02-06,INV0060,CUST0305,68899.66,INR,AR001,CREDIT,Payment receipt for INV0060 via PayU,REC-INV0060-PAY0060,POSTED,68899.66,2026-02-06
LEDG0061,2026-01-30,INV0061,CUST0202,129725.17,INR,AR001,CREDIT,Payment receipt for INV0061 via PayU,REC-INV0061-PAY0061,PENDING,129725.17,2026-01-30
LEDG0062,2026-02-27,INV0062,CUST0047,1411.56,INR,AR001,CREDIT,Payment receipt for INV0062 via PayU,REC-INV0062-PAY0062,POSTED,1411.56,2026-02-27
LEDG0063,2026-06-13,INV0063,CUST0382,139076.6,INR,AR001,CREDIT,Payment receipt for INV0063 via Cashfree,REC-INV0063-PAY0063,POSTED,139076.6,2026-06-13
LEDG0064,2026-01-27,INV0064,CUST0276,3414.54,INR,AR001,CREDIT,Payment receipt for INV0064 via Razorpay,REC-INV0064-PAY0064,POSTED,3414.54,2026-01-27
LEDG0065,2026-01-31,INV0065,CUST0136,2402.03,INR,AR001,CREDIT,Payment receipt for INV0065 via Razorpay,REC-INV0065-PAY0065,POSTED,2402.03,2026-01-31
LEDG0066,2026-06-06,INV0066,CUST0360,178538.03,INR,AR001,CREDIT,Payment receipt for INV0066 via Razorpay,REC-INV0066-PAY0066,POSTED,178538.03,2026-06-06
LEDG0067,2026-03-08,INV0067,CUST0366,19807.39,INR,AR001,CREDIT,Payment receipt for INV0067 via PayU,REC-INV0067-PAY0067,POSTED,19807.39,2026-03-08
LEDG0068,2026-03-04,INV0068,CUST0397,50006.63,INR,AR001,CREDIT,Payment receipt for INV0068 via Razorpay,REC-INV0068-PAY0068,POSTED,50006.63,2026-03-04
LEDG0069,2026-05-16,INV0069,CUST0456,30032.98,INR,AR001,CREDIT,Payment receipt for INV0069 via Razorpay,REC-INV0069-PAY0069,POSTED,30032.98,2026-05-16
LEDG0070,2026-06-11,INV0070,CUST0136,75070.87,INR,AR001,CREDIT,Payment receipt for INV0070 via PayU,REC-INV0070-PAY0070,POSTED,75070.87,2026-06-11
LEDG0071,2026-02-21,INV0071,CUST0005,4834.33,INR,AR001,CREDIT,Payment receipt for INV0071 via Razorpay,REC-INV0071-PAY0071,POSTED,4834.33,2026-02-21
LEDG0072,2026-01-07,INV0072,CUST0068,2702.94,INR,AR001,CREDIT,Payment receipt for INV0072 via Stripe,REC-INV0072-PAY0072,POSTED,2702.94,2026-01-07
LEDG0073,2026-02-24,INV0073,CUST0017,1903.02,INR,AR001,CREDIT,Payment receipt for INV0073 via Cashfree,REC-INV0073-PAY0073,POSTED,1903.02,2026-02-24
LEDG0074,2026-01-22,INV0074,CUST0043,38215.48,INR,AR001,CREDIT,Payment receipt for INV0074 via Stripe,REC-INV0074-PAY0074,POSTED,38215.48,2026-01-22
LEDG0075,2026-04-24,INV0075,CUST0387,14850.9,INR,AR001,CREDIT,Payment receipt for INV0075 via Razorpay,REC-INV0075-PAY0075,POSTED,14850.9,2026-04-24
LEDG0076,2026-06-08,INV0076,CUST0398,22310.14,INR,AR001,CREDIT,Payment receipt for INV0076 via Stripe,REC-INV0076-PAY0076,POSTED,22310.14,2026-06-08
LEDG0077,2026-06-28,INV0077,CUST0250,2804.91,INR,AR001,CREDIT,Payment receipt for INV0077 via Cashfree,REC-INV0077-PAY0077,POSTED,2804.91,2026-06-28
LEDG0078,2026-03-25,INV0078,CUST0279,119573.13,INR,AR001,CREDIT,Payment receipt for INV0078 via Cashfree,REC-INV0078-PAY0078,POSTED,119573.13,2026-03-25
LEDG0079,2026-01-27,INV0079,CUST0281,14103.78,INR,AR001,CREDIT,Payment receipt for INV0079 via PayU,REC-INV0079-PAY0079,POSTED,14103.78,2026-01-27
LEDG0080,2026-06-07,INV0080,CUST0440,64327.38,INR,AR001,CREDIT,Payment receipt for INV0080 via Stripe,REC-INV0080-PAY0080,POSTED,64327.38,2026-06-07
LEDG0081,2026-04-30,INV0081,CUST0115,62548.67,INR,AR001,CREDIT,Payment receipt for INV0081 via Cashfree,REC-INV0081-PAY0081,POSTED,62548.67,2026-04-30
LEDG0082,2026-03-24,INV0082,CUST0063,15719.35,INR,AR001,CREDIT,Payment receipt for INV0082 via Stripe,REC-INV0082-PAY0082,POSTED,15719.35,2026-03-24
LEDG0083,2026-06-28,INV0083,CUST0203,3393.32,INR,AR001,CREDIT,Payment receipt for INV0083 via Razorpay,REC-INV0083-PAY0083,POSTED,3393.32,2026-06-28
LEDG0084,2026-02-04,INV0084,CUST0086,62932.36,INR,AR001,CREDIT,Payment receipt for INV0084 via PayU,REC-INV0084-PAY0084,POSTED,62932.36,2026-02-04
LEDG0085,2026-03-27,INV0085,CUST0441,795.78,INR,AR001,CREDIT,Payment receipt for INV0085 via Stripe,REC-INV0085-PAY0085,POSTED,795.78,2026-03-27
LEDG0086,2026-03-15,INV0086,CUST0391,1559.55,INR,AR001,CREDIT,Payment receipt for INV0086 via Cashfree,REC-INV0086-PAY0086,POSTED,1559.55,2026-03-15
LEDG0087,2026-01-21,INV0087,CUST0199,1375.02,INR,AR001,CREDIT,Payment receipt for INV0087 via Razorpay,REC-INV0087-PAY0087,POSTED,1375.02,2026-01-21
LEDG0088,2026-05-20,INV0088,CUST0140,10012.54,INR,AR001,CREDIT,Payment receipt for INV0088 via Razorpay,REC-INV0088-PAY0088,POSTED,10012.54,2026-05-20
LEDG0089,2026-01-19,INV0089,CUST0326,7641.58,INR,AR001,CREDIT,Payment receipt for INV0089 via Stripe,REC-INV0089-PAY0089,POSTED,7641.58,2026-01-19
LEDG0090,2026-03-18,INV0090,CUST0024,34425.9,INR,AR001,CREDIT,Payment receipt for INV0090 via Stripe,REC-INV0090-PAY0090,POSTED,34425.9,2026-03-18
LEDG0091,2026-02-13,INV0091,CUST0362,117251.06,INR,AR001,CREDIT,Payment receipt for INV0091 via Cashfree,REC-INV0091-PAY0091,POSTED,117251.06,2026-02-13
LEDG0092,2026-01-14,INV0092,CUST0371,123740.45,INR,AR001,CREDIT,Payment receipt for INV0092 via Cashfree,REC-INV0092-PAY0092,POSTED,123740.45,2026-01-14
LEDG0093,2026-05-04,INV0093,CUST0261,3207.22,INR,AR001,CREDIT,Payment receipt for INV0093 via Cashfree,REC-INV0093-PAY0093,POSTED,3207.22,2026-05-04
LEDG0094,2026-02-19,INV0094,CUST0236,190182.21,INR,AR001,CREDIT,Payment receipt for INV0094 via Razorpay,REC-INV0094-PAY0094,POSTED,190182.21,2026-02-19
LEDG0095,2026-03-24,INV0095,CUST0210,16244.75,INR,AR001,CREDIT,Payment receipt for INV0095 via Cashfree,REC-INV0095-PAY0095,POSTED,16244.75,2026-03-24
LEDG0096,2026-06-10,INV0096,CUST0372,142115.1,INR,AR001,CREDIT,Payment receipt for INV0096 via Razorpay,REC-INV0096-PAY0096,POSTED,142115.1,2026-06-10
LEDG0097,2026-05-11,INV0097,CUST0437,17569.24,INR,AR001,CREDIT,Payment receipt for INV0097 via PayU,REC-INV0097-PAY0097,POSTED,17569.24,2026-05-11
LEDG0098,2026-02-13,INV0098,CUST0195,71617.48,INR,AR001,CREDIT,Payment receipt for INV0098 via Cashfree,REC-INV0098-PAY0098,POSTED,71617.48,2026-02-13
LEDG0099,2026-04-25,INV0099,CUST0243,6693.63,INR,AR001,CREDIT,Payment receipt for INV0099 via PayU,REC-INV0099-PAY0099,POSTED,6693.63,2026-04-25
LEDG0100,2026-06-07,INV0100,CUST0273,95268.72,INR,AR001,CREDIT,Payment receipt for INV0100 via Cashfree,REC-INV0100-PAY0100,POSTED,95268.72,2026-06-07
LEDG0101,2026-05-15,INV0101,CUST0113,112773.91,INR,AR001,CREDIT,Payment receipt for INV0101 via PayU,REC-INV0101-PAY0101,PENDING,112773.91,2026-05-15
LEDG0102,2026-01-18,INV0102,CUST0093,11725.04,INR,AR001,CREDIT,Payment receipt for INV0102 via Razorpay,REC-INV0102-PAY0102,POSTED,11725.04,2026-01-18
LEDG0103,2026-01-10,INV0103,CUST0441,2422.4,INR,AR001,CREDIT,Payment receipt for INV0103 via PayU,REC-INV0103-PAY0103,POSTED,2422.4,2026-01-10
LEDG0104,2026-06-17,INV0104,CUST0430,75463.93,INR,AR001,CREDIT,Payment receipt for INV0104 via PayU,REC-INV0104-PAY0104,POSTED,75463.93,2026-06-17
LEDG0105,2026-03-06,INV0105,CUST0411,4098.29,INR,AR001,CREDIT,Payment receipt for INV0105 via Stripe,REC-INV0105-PAY0105,POSTED,4098.29,2026-03-06
LEDG0106,2026-01-19,INV0106,CUST0037,70744.74,INR,AR001,CREDIT,Payment receipt for INV0106 via PayU,REC-INV0106-PAY0106,POSTED,70744.74,2026-01-19
LEDG0107,2026-06-23,INV0107,CUST0381,17700.81,INR,AR001,CREDIT,Payment receipt for INV0107 via PayU,REC-INV0107-PAY0107,POSTED,17700.81,2026-06-23
LEDG0108,2026-05-10,INV0108,CUST0329,19753.16,INR,AR001,CREDIT,Payment receipt for INV0108 via PayU,REC-INV0108-PAY0108,POSTED,19753.16,2026-05-10
LEDG0109,2026-06-18,INV0109,CUST0196,71978.75,INR,AR001,CREDIT,Payment receipt for INV0109 via Stripe,REC-INV0109-PAY0109,POSTED,71978.75,2026-06-18
LEDG0110,2026-06-11,INV0110,CUST0137,182011.76,INR,AR001,CREDIT,Payment receipt for INV0110 via Stripe,REC-INV0110-PAY0110,POSTED,182011.76,2026-06-11
LEDG0111,2026-05-16,INV0111,CUST0039,10234.06,INR,AR001,CREDIT,Payment receipt for INV0111 via Cashfree,REC-INV0111-PAY0111,POSTED,10234.06,2026-05-16
LEDG0112,2026-04-10,INV0112,CUST0333,18158.5,INR,AR001,CREDIT,Payment receipt for INV0112 via Cashfree,REC-INV0112-PAY0112,POSTED,18158.5,2026-04-10
LEDG0113,2026-05-02,INV0113,CUST0236,142304.98,INR,AR001,CREDIT,Payment receipt for INV0113 via Razorpay,REC-INV0113-PAY0113,POSTED,142304.98,2026-05-02
LEDG0114,2026-03-05,INV0114,CUST0465,78881.25,INR,AR001,CREDIT,Payment receipt for INV0114 via Stripe,REC-INV0114-PAY0114,POSTED,78881.25,2026-03-05
LEDG0115,2026-02-02,INV0115,CUST0207,772.26,INR,AR001,CREDIT,Payment receipt for INV0115 via Stripe,REC-INV0115-PAY0115,POSTED,772.26,2026-02-02
LEDG0116,2026-02-12,INV0116,CUST0088,55135.07,INR,AR001,CREDIT,Payment receipt for INV0116 via Razorpay,REC-INV0116-PAY0116,POSTED,55135.07,2026-02-12
LEDG0117,2026-05-11,INV0117,CUST0033,148988.17,INR,AR001,CREDIT,Payment receipt for INV0117 via Razorpay,REC-INV0117-PAY0117,POSTED,148988.17,2026-05-11
LEDG0118,2026-04-25,INV0118,CUST0211,12188.78,INR,AR001,CREDIT,Payment receipt for INV0118 via Cashfree,REC-INV0118-PAY0118,POSTED,12188.78,2026-04-25
LEDG0119,2026-02-21,INV0119,CUST0201,50045.43,INR,AR001,CREDIT,Payment receipt for INV0119 via Stripe,REC-INV0119-PAY0119,POSTED,50045.43,2026-02-21
LEDG0120,2026-01-26,INV0120,CUST0291,172033.46,INR,AR001,CREDIT,Payment receipt for INV0120 via Razorpay,REC-INV0120-PAY0120,POSTED,172033.46,2026-01-26
LEDG0121,2026-04-01,INV0121,CUST0409,93334.99,INR,AR001,CREDIT,Payment receipt for INV0121 via Stripe,REC-INV0121-PAY0121,POSTED,93334.99,2026-04-01
LEDG0122,2026-05-04,INV0122,CUST0046,1914.57,INR,AR001,CREDIT,Payment receipt for INV0122 via PayU,REC-INV0122-PAY0122,POSTED,1914.57,2026-05-04
LEDG0123,2026-05-06,INV0123,CUST0208,14659.58,INR,AR001,CREDIT,Payment receipt for INV0123 via Razorpay,REC-INV0123-PAY0123,POSTED,14659.58,2026-05-06
LEDG0124,2026-03-01,INV0124,CUST0059,73099.46,INR,AR001,CREDIT,Payment receipt for INV0124 via Razorpay,REC-INV0124-PAY0124,POSTED,73099.46,2026-03-01
LEDG0125,2026-02-06,INV0125,CUST0425,8937.17,INR,AR001,CREDIT,Payment receipt for INV0125 via Razorpay,REC-INV0125-PAY0125,POSTED,8937.17,2026-02-06
LEDG0126,2026-03-28,INV0126,CUST0038,8386.34,INR,AR001,CREDIT,Payment receipt for INV0126 via Stripe,REC-INV0126-PAY0126,POSTED,8386.34,2026-03-28
LEDG0127,2026-06-27,INV0127,CUST0041,34895.47,INR,AR001,CREDIT,Payment receipt for INV0127 via Stripe,REC-INV0127-PAY0127,POSTED,34895.47,2026-06-27
LEDG0128,2026-04-03,INV0128,CUST0365,149642.71,INR,AR001,CREDIT,Payment receipt for INV0128 via PayU,REC-INV0128-PAY0128,POSTED,149642.71,2026-04-03
LEDG0129,2026-04-27,INV0129,CUST0019,195580.93,INR,AR001,CREDIT,Payment receipt for INV0129 via Stripe,REC-INV0129-PAY0129,POSTED,195580.93,2026-04-27
LEDG0130,2026-04-14,INV0130,CUST0077,17264.29,INR,AR001,CREDIT,Payment receipt for INV0130 via Stripe,REC-INV0130-PAY0130,POSTED,17264.29,2026-04-14
LEDG0131,2026-02-02,INV0131,CUST0218,45331.57,INR,AR001,CREDIT,Payment receipt for INV0131 via Stripe,REC-INV0131-PAY0131,POSTED,45331.57,2026-02-02
LEDG0132,2026-01-26,INV0132,CUST0180,74508.78,INR,AR001,CREDIT,Payment receipt for INV0132 via Stripe,REC-INV0132-PAY0132,POSTED,74508.78,2026-01-26
LEDG0133,2026-02-24,INV0133,CUST0389,2330.85,INR,AR001,CREDIT,Payment receipt for INV0133 via Stripe,REC-INV0133-PAY0133,POSTED,2330.85,2026-02-24
LEDG0134,2026-05-19,INV0134,CUST0253,19680.69,INR,AR001,CREDIT,Payment receipt for INV0134 via Cashfree,REC-INV0134-PAY0134,POSTED,19680.69,2026-05-19
LEDG0135,2026-05-29,INV0135,CUST0413,1330.94,INR,AR001,CREDIT,Payment receipt for INV0135 via Cashfree,REC-INV0135-PAY0135,POSTED,1330.94,2026-05-29
LEDG0136,2026-05-01,INV0136,CUST0229,40275.69,INR,AR001,CREDIT,Payment receipt for INV0136 via Cashfree,REC-INV0136-PAY0136,POSTED,40275.69,2026-05-01
LEDG0137,2026-06-30,INV0137,CUST0356,13105.94,INR,AR001,CREDIT,Payment receipt for INV0137 via Razorpay,REC-INV0137-PAY0137,POSTED,13105.94,2026-06-30
LEDG0138,2026-04-27,INV0138,CUST0205,4070.98,INR,AR001,CREDIT,Payment receipt for INV0138 via Razorpay,REC-INV0138-PAY0138,POSTED,4070.98,2026-04-27
LEDG0139,2026-06-02,INV0139,CUST0301,23890.0,INR,AR001,CREDIT,Payment receipt for INV0139 via Cashfree,REC-INV0139-PAY0139,POSTED,23890.0,2026-06-02
LEDG0140,2026-06-06,INV0140,CUST0203,112179.58,INR,AR001,CREDIT,Payment receipt for INV0140 via Cashfree,REC-INV0140-PAY0140,POSTED,112179.58,2026-06-06
LEDG0141,2026-05-01,INV0141,CUST0377,6249.41,INR,AR001,CREDIT,Payment receipt for INV0141 via PayU,REC-INV0141-PAY0141,POSTED,6249.41,2026-05-01
LEDG0142,2026-03-09,INV0142,CUST0281,40283.94,INR,AR001,CREDIT,Payment receipt for INV0142 via Cashfree,REC-INV0142-PAY0142,POSTED,40283.94,2026-03-09
LEDG0143,2026-06-22,INV0143,CUST0391,62722.09,INR,AR001,CREDIT,Payment receipt for INV0143 via Cashfree,REC-INV0143-PAY0143,POSTED,62722.09,2026-06-22
LEDG0144,2026-02-19,INV0144,CUST0275,1935.15,INR,AR001,CREDIT,Payment receipt for INV0144 via Stripe,REC-INV0144-PAY0144,POSTED,1935.15,2026-02-19
LEDG0145,2026-03-18,INV0145,CUST0258,3625.31,INR,AR001,CREDIT,Payment receipt for INV0145 via Stripe,REC-INV0145-PAY0145,POSTED,3625.31,2026-03-18
LEDG0146,2026-02-13,INV0146,CUST0351,2074.17,INR,AR001,CREDIT,Payment receipt for INV0146 via PayU,REC-INV0146-PAY0146,POSTED,2074.17,2026-02-13
LEDG0147,2026-01-27,INV0147,CUST0484,193785.39,INR,AR001,CREDIT,Payment receipt for INV0147 via Cashfree,REC-INV0147-PAY0147,POSTED,193785.39,2026-01-27
LEDG0148,2026-05-07,INV0148,CUST0313,103616.63,INR,AR001,CREDIT,Payment receipt for INV0148 via Razorpay,REC-INV0148-PAY0148,POSTED,103616.63,2026-05-07
LEDG0149,2026-04-11,INV0149,CUST0313,60298.58,INR,AR001,CREDIT,Payment receipt for INV0149 via Razorpay,REC-INV0149-PAY0149,POSTED,60298.58,2026-04-11
LEDG0150,2026-04-19,INV0150,CUST0083,105903.09,INR,AR001,CREDIT,Payment receipt for INV0150 via PayU,REC-INV0150-PAY0150,POSTED,105903.09,2026-04-19
