transaction_id,payment_id,invoice_id,expected_match_type,expected_exception_type,expected_date_difference,expected_amount_match,expected_ledger_status,expected_payment_status,expected_final_decision
TXN0028,PAY0028,INV0028,FUZZY,SETTLEMENT_DELAY,5,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0029,PAY0029,INV0029,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0030,PAY0030,INV0030,FUZZY,SETTLEMENT_DELAY,96,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0031,PAY0031,INV0031,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0032,PAY0032,INV0032,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0033,PAY0033,INV0033,FUZZY,SETTLEMENT_DELAY,66,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0034,PAY0034,INV0034,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0035,PAY0035,INV0035,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0036,PAY0036,INV0036,FUZZY,AMOUNT_MISMATCH,0,False,POSTED,SUCCESS,AMOUNT_MISMATCH
TXN0037,PAY0037,INV0037,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0038,PAY0038,INV0038,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0039,PAY0039,INV0039,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0040,PAY0040,INV0040,FUZZY,SETTLEMENT_DELAY,86,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0041,PAY0041,INV0041,FUZZY,SETTLEMENT_DELAY,130,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0042,PAY0042,INV0042,FUZZY,SETTLEMENT_DELAY,64,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0043,PAY0043,INV0043,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0044,PAY0044,INV0044,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0045,PAY0045,INV0045,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0046,PAY0046,INV0046,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0047,PAY0047,INV0047,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0048,PAY0048,INV0048,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0049,PAY0049,INV0049,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0050,PAY0050,INV0050,PARTIAL,PAYMENT_REFUNDED,0,True,POSTED,REFUNDED,PAYMENT_REFUNDED
TXN0051,PAY0051,INV0051,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0052,PAY0052,INV0052,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0053,PAY0053,INV0053,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0054,PAY0054,INV0054,FUZZY,SETTLEMENT_DELAY,10,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0055,PAY0055,INV0055,FUZZY,SETTLEMENT_DELAY,5,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0056,PAY0056,INV0056,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0057,PAY0057,INV0057,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0058,PAY0058,INV0058,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0059,PAY0059,INV0059,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0060,PAY0060,INV0060,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0061,PAY0061,INV0061,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0062,PAY0062,INV0062,FUZZY,SETTLEMENT_DELAY,24,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0063,PAY0063,INV0063,FUZZY,SETTLEMENT_DELAY,4,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0064,PAY0064,INV0064,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0065,PAY0065,INV0065,FUZZY,SETTLEMENT_DELAY,13,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0066,PAY0066,INV0066,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0067,PAY0067,INV0067,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0068,PAY0068,INV0068,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0069,PAY0069,INV0069,NONE,PAYMENT_FAILED,0,True,POSTED,FAILED,PAYMENT_FAILED
TXN0070,PAY0070,INV0070,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0071,PAY0071,INV0071,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0072,PAY0072,INV0072,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0073,PAY0073,INV0073,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0074,PAY0074,INV0074,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0075,PAY0075,INV0075,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0076,PAY0076,INV0076,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0077,PAY0077,INV0077,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0078,PAY0078,INV0078,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0079,PAY0079,INV0079,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0080,PAY0080,INV0080,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0081,PAY0081,INV0081,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0082,PAY0082,INV0082,FUZZY,SETTLEMENT_DELAY,4,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0083,PAY0083,INV0083,FUZZY,SETTLEMENT_DELAY,3,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0084,PAY0084,INV0084,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0085,PAY0085,INV0085,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0086,PAY0086,INV0086,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0087,PAY0087,INV0087,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0088,PAY0088,INV0088,FUZZY,AMOUNT_MISMATCH,0,False,POSTED,SUCCESS,AMOUNT_MISMATCH
TXN0089,PAY0089,INV0089,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0090,PAY0090,INV0090,FUZZY,SETTLEMENT_DELAY,6,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0091,PAY0091,INV0091,FUZZY,SETTLEMENT_DELAY,36,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0092,PAY0092,INV0092,FUZZY,SETTLEMENT_DELAY,16,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0093,PAY0093,INV0093,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0094,PAY0094,INV0094,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0095,PAY0095,INV0095,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0096,PAY0096,INV0096,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0097,PAY0097,INV0097,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0098,PAY0098,INV0098,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0099,PAY0099,INV0099,FUZZY,SETTLEMENT_DELAY,4,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0100,PAY0100,INV0100,FUZZY,SETTLEMENT_DELAY,4,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0101,PAY0101,INV0101,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0102,PAY0102,INV0102,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0103,PAY0103,INV0103,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0104,PAY0104,INV0104,FUZZY,SETTLEMENT_DELAY,98,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0105,PAY0105,INV0105,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0106,PAY0106,INV0106,FUZZY,SETTLEMENT_DELAY,3,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0107,PAY0107,INV0107,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0108,PAY0108,INV0108,NONE,PAYMENT_FAILED,0,True,POSTED,FAILED,PAYMENT_FAILED
TXN0109,PAY0109,INV0109,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0110,PAY0110,INV0110,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0111,PAY0111,INV0111,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0112,PAY0112,INV0112,FUZZY,SETTLEMENT_DELAY,4,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0113,PAY0113,INV0113,FUZZY,SETTLEMENT_DELAY,5,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0114,PAY0114,INV0114,FUZZY,SETTLEMENT_DELAY,26,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0115,PAY0115,INV0115,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0116,PAY0116,INV0116,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0117,PAY0117,INV0117,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0118,PAY0118,INV0118,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0119,PAY0119,INV0119,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0120,PAY0120,INV0120,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0121,PAY0121,INV0121,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0122,PAY0122,INV0122,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0123,PAY0123,INV0123,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0124,PAY0124,INV0124,FUZZY,SETTLEMENT_DELAY,42,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0125,PAY0125,INV0125,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0126,PAY0126,INV0126,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0127,PAY0127,INV0127,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0128,PAY0128,INV0128,FUZZY,SETTLEMENT_DELAY,15,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0129,PAY0129,INV0129,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0130,PAY0130,INV0130,FUZZY,SETTLEMENT_DELAY,3,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0131,PAY0131,INV0131,FUZZY,SETTLEMENT_DELAY,23,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0132,PAY0132,INV0132,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0133,PAY0133,INV0133,NONE,PAYMENT_FAILED,0,True,POSTED,FAILED,PAYMENT_FAILED
TXN0134,PAY0134,INV0134,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0135,PAY0135,INV0135,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0136,PAY0136,INV0136,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0137,PAY0137,INV0137,PARTIAL,PAYMENT_REFUNDED,0,True,POSTED,REFUNDED,PAYMENT_REFUNDED
TXN0138,PAY0138,INV0138,FUZZY,SETTLEMENT_DELAY,7,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0139,PAY0139,INV0139,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0140,PAY0140,INV0140,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0141,PAY0141,INV0141,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0142,PAY0142,INV0142,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0143,PAY0143,INV0143,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0144,PAY0144,INV0144,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0145,PAY0145,INV0145,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0146,PAY0146,INV0146,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0147,PAY0147,INV0147,FUZZY,SETTLEMENT_DELAY,29,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0148,PAY0148,INV0148,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0149,PAY0149,INV0149,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0150,PAY0150,INV0150,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0151,PAY0151,INV0151,FUZZY,SETTLEMENT_DELAY,143,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0152,PAY0152,INV0152,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0153,PAY0153,INV0153,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0154,PAY0154,INV0154,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0155,PAY0155,INV0155,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0156,PAY0156,INV0156,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0157,PAY0157,INV0157,FUZZY,SETTLEMENT_DELAY,3,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0158,PAY0158,INV0158,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0159,PAY0159,INV0159,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0160,PAY0160,INV0160,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0161,PAY0161,INV0161,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0162,PAY0162,INV0162,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0163,PAY0163,INV0163,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0164,PAY0164,INV0164,FUZZY,SETTLEMENT_DELAY,4,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0165,PAY0165,INV0165,FUZZY,SETTLEMENT_DELAY,27,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0166,PAY0166,INV0166,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0167,PAY0167,INV0167,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0168,PAY0168,INV0168,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0169,PAY0169,INV0169,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0170,PAY0170,INV0170,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0171,PAY0171,INV0171,FUZZY,SETTLEMENT_DELAY,17,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0172,PAY0172,INV0172,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0173,PAY0173,INV0173,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0174,PAY0174,INV0174,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0175,PAY0175,INV0175,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0176,PAY0176,INV0176,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0177,PAY0177,INV0177,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0178,PAY0178,INV0178,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0179,PAY0179,INV0179,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0180,PAY0180,INV0180,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0181,PAY0181,INV0181,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0182,PAY0182,INV0182,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0183,PAY0183,INV0183,FUZZY,SETTLEMENT_DELAY,7,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0184,PAY0184,INV0184,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0185,PAY0185,INV0185,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0186,PAY0186,INV0186,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0187,PAY0187,INV0187,FUZZY,SETTLEMENT_DELAY,122,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0188,PAY0188,INV0188,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0189,PAY0189,INV0189,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0190,PAY0190,INV0190,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0191,PAY0191,INV0191,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0192,PAY0192,INV0192,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0193,PAY0193,INV0193,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0194,PAY0194,INV0194,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0195,PAY0195,INV0195,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0196,PAY0196,INV0196,FUZZY,SETTLEMENT_DELAY,48,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0197,PAY0197,INV0197,FUZZY,SETTLEMENT_DELAY,74,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0198,PAY0198,INV0198,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0199,PAY0199,INV0199,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0200,PAY0200,INV0200,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0201,PAY0201,INV0201,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0202,PAY0202,INV0202,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0203,PAY0203,INV0203,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0204,PAY0204,INV0204,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0205,PAY0205,INV0205,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0206,PAY0206,INV0206,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0207,PAY0207,INV0207,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0208,PAY0208,INV0208,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0209,PAY0209,INV0209,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0210,PAY0210,INV0210,FUZZY,SETTLEMENT_DELAY,5,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0211,PAY0211,INV0211,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0212,PAY0212,INV0212,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0213,PAY0213,INV0213,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0214,PAY0214,INV0214,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0215,PAY0215,INV0215,FUZZY,SETTLEMENT_DELAY,128,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0216,PAY0216,INV0216,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0217,PAY0217,INV0217,FUZZY,SETTLEMENT_DELAY,5,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0218,PAY0218,INV0218,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0219,PAY0219,INV0219,FUZZY,SETTLEMENT_DELAY,16,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0220,PAY0220,INV0220,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0221,PAY0221,INV0221,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0222,PAY0222,INV0222,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0223,PAY0223,INV0223,FUZZY,SETTLEMENT_DELAY,3,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0224,PAY0224,INV0224,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0225,PAY0225,INV0225,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0226,PAY0226,INV0226,FUZZY,SETTLEMENT_DELAY,4,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0227,PAY0227,INV0227,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0228,PAY0228,INV0228,FUZZY,SETTLEMENT_DELAY,118,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0229,PAY0229,INV0229,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
